20230923
Seconds MEASURES_rh(%) MNH_RH_30m(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
18000 10.41242 9.59993 11.00000 "2023-09-23 11:00:00" "2023-09-23 11:00:00"
18600 10.49833 9.64751 11.00000 "2023-09-23 11:10:00" "2023-09-23 11:00:00"
18600 10.49833 9.64751 11.00000 "2023-09-23 11:10:00" "2023-09-23 11:10:00"
18600 10.49833 9.64751 11.00000 "2023-09-23 11:10:00" "2023-09-23 11:00:00"
18600 10.49833 9.64751 11.00000 "2023-09-23 11:10:00" "2023-09-23 11:10:00"
19200 10.53583 9.75592 11.00000 "2023-09-23 11:20:00" "2023-09-23 11:00:00"
19200 10.53583 9.75592 11.00000 "2023-09-23 11:20:00" "2023-09-23 11:10:00"
19200 10.53583 9.75592 10.60000 "2023-09-23 11:20:00" "2023-09-23 11:20:00"
19200 10.53583 9.75592 11.00000 "2023-09-23 11:20:00" "2023-09-23 11:00:00"
19200 10.53583 9.75592 11.00000 "2023-09-23 11:20:00" "2023-09-23 11:10:00"
19200 10.53583 9.75592 10.60000 "2023-09-23 11:20:00" "2023-09-23 11:20:00"
19200 10.53583 9.75592 11.00000 "2023-09-23 11:20:00" "2023-09-23 11:00:00"
19200 10.53583 9.75592 11.00000 "2023-09-23 11:20:00" "2023-09-23 11:10:00"
19200 10.53583 9.75592 10.60000 "2023-09-23 11:20:00" "2023-09-23 11:20:00"
19800 10.64333 9.95462 11.00000 "2023-09-23 11:30:00" "2023-09-23 11:00:00"
19800 10.64333 9.95462 11.00000 "2023-09-23 11:30:00" "2023-09-23 11:10:00"
19800 10.64333 9.95462 10.60000 "2023-09-23 11:30:00" "2023-09-23 11:20:00"
19800 10.64333 9.95462 10.80000 "2023-09-23 11:30:00" "2023-09-23 11:30:00"
19800 10.64333 9.95462 11.00000 "2023-09-23 11:30:00" "2023-09-23 11:00:00"
19800 10.64333 9.95462 11.00000 "2023-09-23 11:30:00" "2023-09-23 11:10:00"
19800 10.64333 9.95462 10.60000 "2023-09-23 11:30:00" "2023-09-23 11:20:00"
19800 10.64333 9.95462 10.80000 "2023-09-23 11:30:00" "2023-09-23 11:30:00"
19800 10.64333 9.95462 11.00000 "2023-09-23 11:30:00" "2023-09-23 11:00:00"
19800 10.64333 9.95462 11.00000 "2023-09-23 11:30:00" "2023-09-23 11:10:00"
19800 10.64333 9.95462 10.60000 "2023-09-23 11:30:00" "2023-09-23 11:20:00"
19800 10.64333 9.95462 10.80000 "2023-09-23 11:30:00" "2023-09-23 11:30:00"
19800 10.64333 9.95462 11.00000 "2023-09-23 11:30:00" "2023-09-23 11:00:00"
19800 10.64333 9.95462 11.00000 "2023-09-23 11:30:00" "2023-09-23 11:10:00"
19800 10.64333 9.95462 10.60000 "2023-09-23 11:30:00" "2023-09-23 11:20:00"
19800 10.64333 9.95462 10.80000 "2023-09-23 11:30:00" "2023-09-23 11:30:00"
20400 10.77167 9.99404 11.00000 "2023-09-23 11:40:00" "2023-09-23 11:00:00"
20400 10.77167 9.99404 11.00000 "2023-09-23 11:40:00" "2023-09-23 11:10:00"
20400 10.77167 9.99404 10.60000 "2023-09-23 11:40:00" "2023-09-23 11:20:00"
20400 10.77167 9.99404 10.80000 "2023-09-23 11:40:00" "2023-09-23 11:30:00"
20400 10.77167 9.99404 10.90000 "2023-09-23 11:40:00" "2023-09-23 11:40:00"
20400 10.77167 9.99404 11.00000 "2023-09-23 11:40:00" "2023-09-23 11:00:00"
20400 10.77167 9.99404 11.00000 "2023-09-23 11:40:00" "2023-09-23 11:10:00"
20400 10.77167 9.99404 10.60000 "2023-09-23 11:40:00" "2023-09-23 11:20:00"
20400 10.77167 9.99404 10.80000 "2023-09-23 11:40:00" "2023-09-23 11:30:00"
20400 10.77167 9.99404 10.90000 "2023-09-23 11:40:00" "2023-09-23 11:40:00"
20400 10.77167 9.99404 11.00000 "2023-09-23 11:40:00" "2023-09-23 11:00:00"
20400 10.77167 9.99404 11.00000 "2023-09-23 11:40:00" "2023-09-23 11:10:00"
20400 10.77167 9.99404 10.60000 "2023-09-23 11:40:00" "2023-09-23 11:20:00"
20400 10.77167 9.99404 10.80000 "2023-09-23 11:40:00" "2023-09-23 11:30:00"
20400 10.77167 9.99404 10.90000 "2023-09-23 11:40:00" "2023-09-23 11:40:00"
