20230916
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
21000 1.85826 2.10223 1.91867 "2023-09-16 23:50:00" "2023-09-16 23:50:00"
21000 1.85826 2.10223 1.70467 "2023-09-16 23:50:00" "2023-09-16 23:00:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:10:00"
21000 1.85826 2.10223 1.87300 "2023-09-16 23:50:00" "2023-09-16 23:20:00"
21000 1.85826 2.10223 1.86867 "2023-09-16 23:50:00" "2023-09-16 23:30:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:40:00"
21000 1.85826 2.10223 1.91867 "2023-09-16 23:50:00" "2023-09-16 23:50:00"
21000 1.85826 2.10223 1.70467 "2023-09-16 23:50:00" "2023-09-16 23:00:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:10:00"
21000 1.85826 2.10223 1.87300 "2023-09-16 23:50:00" "2023-09-16 23:20:00"
21000 1.85826 2.10223 1.86867 "2023-09-16 23:50:00" "2023-09-16 23:30:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:40:00"
21000 1.85826 2.10223 1.91867 "2023-09-16 23:50:00" "2023-09-16 23:50:00"
21000 1.85826 2.10223 1.70467 "2023-09-16 23:50:00" "2023-09-16 23:00:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:10:00"
21000 1.85826 2.10223 1.87300 "2023-09-16 23:50:00" "2023-09-16 23:20:00"
21000 1.85826 2.10223 1.86867 "2023-09-16 23:50:00" "2023-09-16 23:30:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:40:00"
21000 1.85826 2.10223 1.91867 "2023-09-16 23:50:00" "2023-09-16 23:50:00"
21000 1.85826 2.10223 1.70467 "2023-09-16 23:50:00" "2023-09-16 23:00:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:10:00"
21000 1.85826 2.10223 1.87300 "2023-09-16 23:50:00" "2023-09-16 23:20:00"
21000 1.85826 2.10223 1.86867 "2023-09-16 23:50:00" "2023-09-16 23:30:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:40:00"
21000 1.85826 2.10223 1.91867 "2023-09-16 23:50:00" "2023-09-16 23:50:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:10:00"
21600 1.88097 2.11651 1.87300 "2023-09-17 00:00:00" "2023-09-16 23:20:00"
21600 1.88097 2.11651 1.86867 "2023-09-17 00:00:00" "2023-09-16 23:30:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:40:00"
21600 1.88097 2.11651 1.91867 "2023-09-17 00:00:00" "2023-09-16 23:50:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-17 00:00:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:10:00"
21600 1.88097 2.11651 1.87300 "2023-09-17 00:00:00" "2023-09-16 23:20:00"
21600 1.88097 2.11651 1.86867 "2023-09-17 00:00:00" "2023-09-16 23:30:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:40:00"
21600 1.88097 2.11651 1.91867 "2023-09-17 00:00:00" "2023-09-16 23:50:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-17 00:00:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:10:00"
21600 1.88097 2.11651 1.87300 "2023-09-17 00:00:00" "2023-09-16 23:20:00"
21600 1.88097 2.11651 1.86867 "2023-09-17 00:00:00" "2023-09-16 23:30:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:40:00"
21600 1.88097 2.11651 1.91867 "2023-09-17 00:00:00" "2023-09-16 23:50:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-17 00:00:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:10:00"
21600 1.88097 2.11651 1.87300 "2023-09-17 00:00:00" "2023-09-16 23:20:00"
21600 1.88097 2.11651 1.86867 "2023-09-17 00:00:00" "2023-09-16 23:30:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:40:00"
21600 1.88097 2.11651 1.91867 "2023-09-17 00:00:00" "2023-09-16 23:50:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-17 00:00:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:10:00"
21600 1.88097 2.11651 1.87300 "2023-09-17 00:00:00" "2023-09-16 23:20:00"
21600 1.88097 2.11651 1.86867 "2023-09-17 00:00:00" "2023-09-16 23:30:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:40:00"
21600 1.88097 2.11651 1.91867 "2023-09-17 00:00:00" "2023-09-16 23:50:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-17 00:00:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:10:00"
21600 1.88097 2.11651 1.87300 "2023-09-17 00:00:00" "2023-09-16 23:20:00"
21600 1.88097 2.11651 1.86867 "2023-09-17 00:00:00" "2023-09-16 23:30:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-16 23:40:00"
21600 1.88097 2.11651 1.91867 "2023-09-17 00:00:00" "2023-09-16 23:50:00"
21600 1.88097 2.11651 9999.00000 "2023-09-17 00:00:00" "2023-09-17 00:00:00"
22200 1.87982 2.11198 1.87300 "2023-09-17 00:10:00" "2023-09-16 23:20:00"
22200 1.87982 2.11198 1.86867 "2023-09-17 00:10:00" "2023-09-16 23:30:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-16 23:40:00"
22200 1.87982 2.11198 1.91867 "2023-09-17 00:10:00" "2023-09-16 23:50:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-17 00:00:00"
22200 1.87982 2.11198 1.84450 "2023-09-17 00:10:00" "2023-09-17 00:10:00"
22200 1.87982 2.11198 1.87300 "2023-09-17 00:10:00" "2023-09-16 23:20:00"
22200 1.87982 2.11198 1.86867 "2023-09-17 00:10:00" "2023-09-16 23:30:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-16 23:40:00"
22200 1.87982 2.11198 1.91867 "2023-09-17 00:10:00" "2023-09-16 23:50:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-17 00:00:00"
22200 1.87982 2.11198 1.84450 "2023-09-17 00:10:00" "2023-09-17 00:10:00"
22200 1.87982 2.11198 1.87300 "2023-09-17 00:10:00" "2023-09-16 23:20:00"
22200 1.87982 2.11198 1.86867 "2023-09-17 00:10:00" "2023-09-16 23:30:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-16 23:40:00"
22200 1.87982 2.11198 1.91867 "2023-09-17 00:10:00" "2023-09-16 23:50:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-17 00:00:00"
22200 1.87982 2.11198 1.84450 "2023-09-17 00:10:00" "2023-09-17 00:10:00"
22200 1.87982 2.11198 1.87300 "2023-09-17 00:10:00" "2023-09-16 23:20:00"
22200 1.87982 2.11198 1.86867 "2023-09-17 00:10:00" "2023-09-16 23:30:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-16 23:40:00"
22200 1.87982 2.11198 1.91867 "2023-09-17 00:10:00" "2023-09-16 23:50:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-17 00:00:00"
22200 1.87982 2.11198 1.84450 "2023-09-17 00:10:00" "2023-09-17 00:10:00"
22200 1.87982 2.11198 1.87300 "2023-09-17 00:10:00" "2023-09-16 23:20:00"
22200 1.87982 2.11198 1.86867 "2023-09-17 00:10:00" "2023-09-16 23:30:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-16 23:40:00"
22200 1.87982 2.11198 1.91867 "2023-09-17 00:10:00" "2023-09-16 23:50:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-17 00:00:00"
22200 1.87982 2.11198 1.84450 "2023-09-17 00:10:00" "2023-09-17 00:10:00"
22200 1.87982 2.11198 1.87300 "2023-09-17 00:10:00" "2023-09-16 23:20:00"
22200 1.87982 2.11198 1.86867 "2023-09-17 00:10:00" "2023-09-16 23:30:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-16 23:40:00"
22200 1.87982 2.11198 1.91867 "2023-09-17 00:10:00" "2023-09-16 23:50:00"
22200 1.87982 2.11198 9999.00000 "2023-09-17 00:10:00" "2023-09-17 00:00:00"
22200 1.87982 2.11198 1.84450 "2023-09-17 00:10:00" "2023-09-17 00:10:00"
22800 1.88751 2.09849 1.86867 "2023-09-17 00:20:00" "2023-09-16 23:30:00"
22800 1.88751 2.09849 9999.00000 "2023-09-17 00:20:00" "2023-09-16 23:40:00"
22800 1.88751 2.09849 1.91867 "2023-09-17 00:20:00" "2023-09-16 23:50:00"
