20230912
Seconds MEASURES_pwv(mm) MNH_PWV(mm) "AR_PWV (mm)" Date_of_forecast Date_of_computing
21600 0.51317 0.94588 0.66279 "2023-09-13 00:00:00" "2023-09-13 00:00:00"
22200 0.53037 0.90200 0.61559 "2023-09-13 00:10:00" "2023-09-13 00:00:00"
22200 0.53037 0.90200 0.61218 "2023-09-13 00:10:00" "2023-09-13 00:10:00"
22800 0.62886 0.85534 0.56898 "2023-09-13 00:20:00" "2023-09-13 00:00:00"
22800 0.62886 0.85534 0.57097 "2023-09-13 00:20:00" "2023-09-13 00:10:00"
22800 0.62886 0.85534 0.68722 "2023-09-13 00:20:00" "2023-09-13 00:20:00"
23400 0.62886 0.80418 0.52766 "2023-09-13 00:30:00" "2023-09-13 00:00:00"
23400 0.62886 0.80418 0.53206 "2023-09-13 00:30:00" "2023-09-13 00:10:00"
23400 0.62886 0.80418 0.76770 "2023-09-13 00:30:00" "2023-09-13 00:20:00"
23400 0.62886 0.80418 0.79650 "2023-09-13 00:30:00" "2023-09-13 00:30:00"
24000 0.62886 0.75001 0.48354 "2023-09-13 00:40:00" "2023-09-13 00:00:00"
24000 0.62886 0.75001 0.49020 "2023-09-13 00:40:00" "2023-09-13 00:10:00"
24000 0.62886 0.75001 0.83722 "2023-09-13 00:40:00" "2023-09-13 00:20:00"
24000 0.62886 0.75001 0.88999 "2023-09-13 00:40:00" "2023-09-13 00:30:00"
24000 0.62886 0.75001 0.91299 "2023-09-13 00:40:00" "2023-09-13 00:40:00"
24600 0.64529 0.69796 0.43833 "2023-09-13 00:50:00" "2023-09-13 00:00:00"
24600 0.64529 0.69796 0.44725 "2023-09-13 00:50:00" "2023-09-13 00:10:00"
24600 0.64529 0.69796 0.89780 "2023-09-13 00:50:00" "2023-09-13 00:20:00"
24600 0.64529 0.69796 0.97624 "2023-09-13 00:50:00" "2023-09-13 00:30:00"
24600 0.64529 0.69796 1.01022 "2023-09-13 00:50:00" "2023-09-13 00:40:00"
24600 0.64529 0.69796 1.03411 "2023-09-13 00:50:00" "2023-09-13 00:50:00"
25200 0.85380 0.64898 0.40069 "2023-09-13 01:00:00" "2023-09-13 00:10:00"
25200 0.85380 0.64898 0.94609 "2023-09-13 01:00:00" "2023-09-13 00:20:00"
25200 0.85380 0.64898 1.04809 "2023-09-13 01:00:00" "2023-09-13 00:30:00"
25200 0.85380 0.64898 1.09698 "2023-09-13 01:00:00" "2023-09-13 00:40:00"
25200 0.85380 0.64898 1.13343 "2023-09-13 01:00:00" "2023-09-13 00:50:00"
25200 0.85380 0.64898 1.18077 "2023-09-13 01:00:00" "2023-09-13 01:00:00"
25800 1.08167 0.61031 0.97572 "2023-09-13 01:10:00" "2023-09-13 00:20:00"
25800 1.08167 0.61031 1.09949 "2023-09-13 01:10:00" "2023-09-13 00:30:00"
25800 1.08167 0.61031 1.16227 "2023-09-13 01:10:00" "2023-09-13 00:40:00"
25800 1.08167 0.61031 1.21569 "2023-09-13 01:10:00" "2023-09-13 00:50:00"
25800 1.08167 0.61031 1.29646 "2023-09-13 01:10:00" "2023-09-13 01:00:00"
25800 1.08167 0.61031 1.32961 "2023-09-13 01:10:00" "2023-09-13 01:10:00"
26400 9999.00000 0.58321 1.12523 "2023-09-13 01:20:00" "2023-09-13 00:30:00"
26400 9999.00000 0.58321 1.20071 "2023-09-13 01:20:00" "2023-09-13 00:40:00"
26400 9999.00000 0.58321 1.27018 "2023-09-13 01:20:00" "2023-09-13 00:50:00"
26400 9999.00000 0.58321 1.38901 "2023-09-13 01:20:00" "2023-09-13 01:00:00"
26400 9999.00000 0.58321 1.44274 "2023-09-13 01:20:00" "2023-09-13 01:10:00"
26400 9999.00000 0.58321 1.38258 "2023-09-13 01:20:00" "2023-09-13 01:20:00"
27000 9999.00000 0.56277 1.21456 "2023-09-13 01:30:00" "2023-09-13 00:40:00"
27000 9999.00000 0.56277 1.29876 "2023-09-13 01:30:00" "2023-09-13 00:50:00"
27000 9999.00000 0.56277 1.45425 "2023-09-13 01:30:00" "2023-09-13 01:00:00"
27000 9999.00000 0.56277 1.53417 "2023-09-13 01:30:00" "2023-09-13 01:10:00"
