20230912
Seconds MEASURES_rh(%) MNH_RH_30m(%) "AR_RH (%)" Date_of_forecast Date_of_computing
18000 3.64059 14.03593 3.69368 "2023-09-12 23:00:00" "2023-09-12 23:00:00"
18600 3.33967 13.46570 4.07618 "2023-09-12 23:10:00" "2023-09-12 23:00:00"
18600 3.33967 13.46570 3.32142 "2023-09-12 23:10:00" "2023-09-12 23:10:00"
19200 3.14394 13.00574 4.83064 "2023-09-12 23:20:00" "2023-09-12 23:00:00"
19200 3.14394 13.00574 3.32441 "2023-09-12 23:20:00" "2023-09-12 23:10:00"
19200 3.14394 13.00574 3.21220 "2023-09-12 23:20:00" "2023-09-12 23:20:00"
19800 3.00270 12.81154 5.86923 "2023-09-12 23:30:00" "2023-09-12 23:00:00"
19800 3.00270 12.81154 3.76906 "2023-09-12 23:30:00" "2023-09-12 23:10:00"
19800 3.00270 12.81154 3.54312 "2023-09-12 23:30:00" "2023-09-12 23:20:00"
19800 3.00270 12.81154 3.02705 "2023-09-12 23:30:00" "2023-09-12 23:30:00"
20400 3.00000 12.54399 6.64813 "2023-09-12 23:40:00" "2023-09-12 23:00:00"
20400 3.00000 12.54399 4.14586 "2023-09-12 23:40:00" "2023-09-12 23:10:00"
20400 3.00000 12.54399 3.83244 "2023-09-12 23:40:00" "2023-09-12 23:20:00"
20400 3.00000 12.54399 2.92635 "2023-09-12 23:40:00" "2023-09-12 23:30:00"
20400 3.00000 12.54399 2.96856 "2023-09-12 23:40:00" "2023-09-12 23:40:00"
21000 3.00000 12.33438 7.40763 "2023-09-12 23:50:00" "2023-09-12 23:00:00"
21000 3.00000 12.33438 4.48248 "2023-09-12 23:50:00" "2023-09-12 23:10:00"
21000 3.00000 12.33438 4.10884 "2023-09-12 23:50:00" "2023-09-12 23:20:00"
21000 3.00000 12.33438 2.92967 "2023-09-12 23:50:00" "2023-09-12 23:30:00"
21000 3.00000 12.33438 3.06150 "2023-09-12 23:50:00" "2023-09-12 23:40:00"
21000 3.00000 12.33438 3.06187 "2023-09-12 23:50:00" "2023-09-12 23:50:00"
21600 3.00000 12.23310 4.96922 "2023-09-13 00:00:00" "2023-09-12 23:10:00"
21600 3.00000 12.23310 4.53499 "2023-09-13 00:00:00" "2023-09-12 23:20:00"
21600 3.00000 12.23310 3.13972 "2023-09-13 00:00:00" "2023-09-12 23:30:00"
21600 3.00000 12.23310 3.34839 "2023-09-13 00:00:00" "2023-09-12 23:40:00"
21600 3.00000 12.23310 3.27384 "2023-09-13 00:00:00" "2023-09-12 23:50:00"
21600 3.00000 12.23310 2.94920 "2023-09-13 00:00:00" "2023-09-13 00:00:00"
22200 3.00000 12.01219 4.89086 "2023-09-13 00:10:00" "2023-09-12 23:20:00"
22200 3.00000 12.01219 3.27300 "2023-09-13 00:10:00" "2023-09-12 23:30:00"
22200 3.00000 12.01219 3.52293 "2023-09-13 00:10:00" "2023-09-12 23:40:00"
22200 3.00000 12.01219 3.37921 "2023-09-13 00:10:00" "2023-09-12 23:50:00"
22200 3.00000 12.01219 2.80374 "2023-09-13 00:10:00" "2023-09-13 00:00:00"
22200 3.00000 12.01219 3.00544 "2023-09-13 00:10:00" "2023-09-13 00:10:00"
22800 3.00000 11.58098 3.25274 "2023-09-13 00:20:00" "2023-09-12 23:30:00"
22800 3.00000 11.58098 3.55637 "2023-09-13 00:20:00" "2023-09-12 23:40:00"
