20230914
Seconds MEASURES_rh(%) MNH_RH_30m(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
25800 9.60328 9.29720 9.80000 "2023-09-15 01:10:00" "2023-09-15 00:50:00"
25800 9.60328 9.29720 9.90000 "2023-09-15 01:10:00" "2023-09-15 01:00:00"
25800 9.60328 9.29720 9.20000 "2023-09-15 01:10:00" "2023-09-15 01:10:00"
26400 9.46066 9.20825 9.00000 "2023-09-15 01:20:00" "2023-09-15 00:30:00"
26400 9.46066 9.20825 9.20000 "2023-09-15 01:20:00" "2023-09-15 00:40:00"
26400 9.46066 9.20825 9.80000 "2023-09-15 01:20:00" "2023-09-15 00:50:00"
26400 9.46066 9.20825 9.90000 "2023-09-15 01:20:00" "2023-09-15 01:00:00"
26400 9.46066 9.20825 9.20000 "2023-09-15 01:20:00" "2023-09-15 01:10:00"
26400 9.46066 9.20825 9.00000 "2023-09-15 01:20:00" "2023-09-15 01:20:00"
27000 9.36066 9.12750 9.20000 "2023-09-15 01:30:00" "2023-09-15 00:40:00"
27000 9.36066 9.12750 9.80000 "2023-09-15 01:30:00" "2023-09-15 00:50:00"
27000 9.36066 9.12750 9.90000 "2023-09-15 01:30:00" "2023-09-15 01:00:00"
27000 9.36066 9.12750 9.20000 "2023-09-15 01:30:00" "2023-09-15 01:10:00"
27000 9.36066 9.12750 9.00000 "2023-09-15 01:30:00" "2023-09-15 01:20:00"
27000 9.36066 9.12750 9.90000 "2023-09-15 01:30:00" "2023-09-15 01:30:00"
27600 9.32787 9.09607 9.80000 "2023-09-15 01:40:00" "2023-09-15 00:50:00"
27600 9.32787 9.09607 9.90000 "2023-09-15 01:40:00" "2023-09-15 01:00:00"
27600 9.32787 9.09607 9.20000 "2023-09-15 01:40:00" "2023-09-15 01:10:00"
27600 9.32787 9.09607 9.00000 "2023-09-15 01:40:00" "2023-09-15 01:20:00"
27600 9.32787 9.09607 9.90000 "2023-09-15 01:40:00" "2023-09-15 01:30:00"
