20230901
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY persistence_WD_VX persistence_WD_VY Date_of_forecast Date_of_computing
18000 -0.79387 -0.60553 -0.29782 -0.95462 -0.75141 -0.65782 "2023-09-01 11:00:00" "2023-09-01 11:00:00"
18600 -0.78813 -0.61280 -0.27494 -0.96146 -0.75141 -0.65782 "2023-09-01 11:10:00" "2023-09-01 11:00:00"
18600 -0.78813 -0.61280 -0.27494 -0.96146 -0.79657 -0.60245 "2023-09-01 11:10:00" "2023-09-01 11:10:00"
18600 -0.78813 -0.61280 -0.27494 -0.96146 -0.75141 -0.65782 "2023-09-01 11:10:00" "2023-09-01 11:00:00"
18600 -0.78813 -0.61280 -0.27494 -0.96146 -0.79657 -0.60245 "2023-09-01 11:10:00" "2023-09-01 11:10:00"
19200 -0.77824 -0.62499 -0.23525 -0.97194 -0.75141 -0.65782 "2023-09-01 11:20:00" "2023-09-01 11:00:00"
19200 -0.77824 -0.62499 -0.23525 -0.97194 -0.79657 -0.60245 "2023-09-01 11:20:00" "2023-09-01 11:10:00"
19200 -0.77824 -0.62499 -0.23525 -0.97194 -0.75258 -0.65653 "2023-09-01 11:20:00" "2023-09-01 11:20:00"
19200 -0.77824 -0.62499 -0.23525 -0.97194 -0.75141 -0.65782 "2023-09-01 11:20:00" "2023-09-01 11:00:00"
19200 -0.77824 -0.62499 -0.23525 -0.97194 -0.79657 -0.60245 "2023-09-01 11:20:00" "2023-09-01 11:10:00"
19200 -0.77824 -0.62499 -0.23525 -0.97194 -0.75258 -0.65653 "2023-09-01 11:20:00" "2023-09-01 11:20:00"
19200 -0.77824 -0.62499 -0.23525 -0.97194 -0.75141 -0.65782 "2023-09-01 11:20:00" "2023-09-01 11:00:00"
19200 -0.77824 -0.62499 -0.23525 -0.97194 -0.79657 -0.60245 "2023-09-01 11:20:00" "2023-09-01 11:10:00"
19200 -0.77824 -0.62499 -0.23525 -0.97194 -0.75258 -0.65653 "2023-09-01 11:20:00" "2023-09-01 11:20:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.75141 -0.65782 "2023-09-01 11:30:00" "2023-09-01 11:00:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.79657 -0.60245 "2023-09-01 11:30:00" "2023-09-01 11:10:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.75258 -0.65653 "2023-09-01 11:30:00" "2023-09-01 11:20:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.74587 -0.66454 "2023-09-01 11:30:00" "2023-09-01 11:30:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.75141 -0.65782 "2023-09-01 11:30:00" "2023-09-01 11:00:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.79657 -0.60245 "2023-09-01 11:30:00" "2023-09-01 11:10:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.75258 -0.65653 "2023-09-01 11:30:00" "2023-09-01 11:20:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.74587 -0.66454 "2023-09-01 11:30:00" "2023-09-01 11:30:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.75141 -0.65782 "2023-09-01 11:30:00" "2023-09-01 11:00:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.79657 -0.60245 "2023-09-01 11:30:00" "2023-09-01 11:10:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.75258 -0.65653 "2023-09-01 11:30:00" "2023-09-01 11:20:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.74587 -0.66454 "2023-09-01 11:30:00" "2023-09-01 11:30:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.75141 -0.65782 "2023-09-01 11:30:00" "2023-09-01 11:00:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.79657 -0.60245 "2023-09-01 11:30:00" "2023-09-01 11:10:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.75258 -0.65653 "2023-09-01 11:30:00" "2023-09-01 11:20:00"
19800 -0.76716 -0.63807 -0.18342 -0.98303 -0.74587 -0.66454 "2023-09-01 11:30:00" "2023-09-01 11:30:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.75141 -0.65782 "2023-09-01 11:40:00" "2023-09-01 11:00:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.79657 -0.60245 "2023-09-01 11:40:00" "2023-09-01 11:10:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.75258 -0.65653 "2023-09-01 11:40:00" "2023-09-01 11:20:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.74587 -0.66454 "2023-09-01 11:40:00" "2023-09-01 11:30:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.70389 -0.70882 "2023-09-01 11:40:00" "2023-09-01 11:40:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.75141 -0.65782 "2023-09-01 11:40:00" "2023-09-01 11:00:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.79657 -0.60245 "2023-09-01 11:40:00" "2023-09-01 11:10:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.75258 -0.65653 "2023-09-01 11:40:00" "2023-09-01 11:20:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.74587 -0.66454 "2023-09-01 11:40:00" "2023-09-01 11:30:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.70389 -0.70882 "2023-09-01 11:40:00" "2023-09-01 11:40:00"
20400 -0.74098 -0.66474 -0.13001 -0.99151 -0.75141 -0.65782 "2023-09-01 11:40:00" "2023-09-01 11:00:00"
