20230912
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY persistence_WD_VX persistence_WD_VY Date_of_forecast Date_of_computing
18000 0.99044 0.06998 0.42113 -0.90700 0.99874 -0.04361 "2023-09-12 23:00:00" "2023-09-12 23:00:00"
18600 0.97154 0.14620 0.40023 -0.91642 0.99874 -0.04361 "2023-09-12 23:10:00" "2023-09-12 23:00:00"
18600 0.97154 0.14620 0.40023 -0.91642 0.99753 0.03134 "2023-09-12 23:10:00" "2023-09-12 23:10:00"
19200 0.96026 0.20538 0.38356 -0.92352 0.99874 -0.04361 "2023-09-12 23:20:00" "2023-09-12 23:00:00"
19200 0.96026 0.20538 0.38356 -0.92352 0.99753 0.03134 "2023-09-12 23:20:00" "2023-09-12 23:10:00"
19200 0.96026 0.20538 0.38356 -0.92352 0.98909 0.11952 "2023-09-12 23:20:00" "2023-09-12 23:20:00"
19800 0.95358 0.25583 0.37190 -0.92827 0.99874 -0.04361 "2023-09-12 23:30:00" "2023-09-12 23:00:00"
19800 0.95358 0.25583 0.37190 -0.92827 0.99753 0.03134 "2023-09-12 23:30:00" "2023-09-12 23:10:00"
19800 0.95358 0.25583 0.37190 -0.92827 0.98909 0.11952 "2023-09-12 23:30:00" "2023-09-12 23:20:00"
19800 0.95358 0.25583 0.37190 -0.92827 0.98563 0.16138 "2023-09-12 23:30:00" "2023-09-12 23:30:00"
20400 0.94145 0.30735 0.38922 -0.92114 0.99874 -0.04361 "2023-09-12 23:40:00" "2023-09-12 23:00:00"
20400 0.94145 0.30735 0.38922 -0.92114 0.99753 0.03134 "2023-09-12 23:40:00" "2023-09-12 23:10:00"
20400 0.94145 0.30735 0.38922 -0.92114 0.98909 0.11952 "2023-09-12 23:40:00" "2023-09-12 23:20:00"
20400 0.94145 0.30735 0.38922 -0.92114 0.98563 0.16138 "2023-09-12 23:40:00" "2023-09-12 23:30:00"
20400 0.94145 0.30735 0.38922 -0.92114 0.91793 0.38391 "2023-09-12 23:40:00" "2023-09-12 23:40:00"
21000 0.92136 0.36686 0.43482 -0.90052 0.99874 -0.04361 "2023-09-12 23:50:00" "2023-09-12 23:00:00"
21000 0.92136 0.36686 0.43482 -0.90052 0.99753 0.03134 "2023-09-12 23:50:00" "2023-09-12 23:10:00"
21000 0.92136 0.36686 0.43482 -0.90052 0.98909 0.11952 "2023-09-12 23:50:00" "2023-09-12 23:20:00"
21000 0.92136 0.36686 0.43482 -0.90052 0.98563 0.16138 "2023-09-12 23:50:00" "2023-09-12 23:30:00"
21000 0.92136 0.36686 0.43482 -0.90052 0.91793 0.38391 "2023-09-12 23:50:00" "2023-09-12 23:40:00"
21000 0.92136 0.36686 0.43482 -0.90052 0.88874 0.44891 "2023-09-12 23:50:00" "2023-09-12 23:50:00"
21600 0.88355 0.43733 0.46622 -0.88467 0.99753 0.03134 "2023-09-13 00:00:00" "2023-09-12 23:10:00"
21600 0.88355 0.43733 0.46622 -0.88467 0.98909 0.11952 "2023-09-13 00:00:00" "2023-09-12 23:20:00"
21600 0.88355 0.43733 0.46622 -0.88467 0.98563 0.16138 "2023-09-13 00:00:00" "2023-09-12 23:30:00"
21600 0.88355 0.43733 0.46622 -0.88467 0.91793 0.38391 "2023-09-13 00:00:00" "2023-09-12 23:40:00"
21600 0.88355 0.43733 0.46622 -0.88467 0.88874 0.44891 "2023-09-13 00:00:00" "2023-09-12 23:50:00"
21600 0.88355 0.43733 0.46622 -0.88467 0.95945 0.27512 "2023-09-13 00:00:00" "2023-09-13 00:00:00"
22200 0.82490 0.50228 0.47200 -0.88160 0.98909 0.11952 "2023-09-13 00:10:00" "2023-09-12 23:20:00"
22200 0.82490 0.50228 0.47200 -0.88160 0.98563 0.16138 "2023-09-13 00:10:00" "2023-09-12 23:30:00"
22200 0.82490 0.50228 0.47200 -0.88160 0.91793 0.38391 "2023-09-13 00:10:00" "2023-09-12 23:40:00"
22200 0.82490 0.50228 0.47200 -0.88160 0.88874 0.44891 "2023-09-13 00:10:00" "2023-09-12 23:50:00"
22200 0.82490 0.50228 0.47200 -0.88160 0.95945 0.27512 "2023-09-13 00:10:00" "2023-09-13 00:00:00"
22200 0.82490 0.50228 0.47200 -0.88160 0.94483 0.32349 "2023-09-13 00:10:00" "2023-09-13 00:10:00"
22800 0.74343 0.58853 0.45352 -0.89125 0.98563 0.16138 "2023-09-13 00:20:00" "2023-09-12 23:30:00"
22800 0.74343 0.58853 0.45352 -0.89125 0.91793 0.38391 "2023-09-13 00:20:00" "2023-09-12 23:40:00"
22800 0.74343 0.58853 0.45352 -0.89125 0.88874 0.44891 "2023-09-13 00:20:00" "2023-09-12 23:50:00"
22800 0.74343 0.58853 0.45352 -0.89125 0.95945 0.27512 "2023-09-13 00:20:00" "2023-09-13 00:00:00"
22800 0.74343 0.58853 0.45352 -0.89125 0.94483 0.32349 "2023-09-13 00:20:00" "2023-09-13 00:10:00"
22800 0.74343 0.58853 0.45352 -0.89125 0.88828 0.45448 "2023-09-13 00:20:00" "2023-09-13 00:20:00"
23400 0.56764 0.69481 0.49083 -0.87126 0.91793 0.38391 "2023-09-13 00:30:00" "2023-09-12 23:40:00"
23400 0.56764 0.69481 0.49083 -0.87126 0.88874 0.44891 "2023-09-13 00:30:00" "2023-09-12 23:50:00"
23400 0.56764 0.69481 0.49083 -0.87126 0.95945 0.27512 "2023-09-13 00:30:00" "2023-09-13 00:00:00"
23400 0.56764 0.69481 0.49083 -0.87126 0.94483 0.32349 "2023-09-13 00:30:00" "2023-09-13 00:10:00"
23400 0.56764 0.69481 0.49083 -0.87126 0.88828 0.45448 "2023-09-13 00:30:00" "2023-09-13 00:20:00"
23400 0.56764 0.69481 0.49083 -0.87126 0.82806 0.55637 "2023-09-13 00:30:00" "2023-09-13 00:30:00"
24000 0.30796 0.75450 0.53136 -0.84715 0.88874 0.44891 "2023-09-13 00:40:00" "2023-09-12 23:50:00"
24000 0.30796 0.75450 0.53136 -0.84715 0.95945 0.27512 "2023-09-13 00:40:00" "2023-09-13 00:00:00"
24000 0.30796 0.75450 0.53136 -0.84715 0.94483 0.32349 "2023-09-13 00:40:00" "2023-09-13 00:10:00"
24000 0.30796 0.75450 0.53136 -0.84715 0.88828 0.45448 "2023-09-13 00:40:00" "2023-09-13 00:20:00"
