20230915
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
18000 1.21207 4.21948 1.20356 "2023-09-15 11:00:00" "2023-09-15 11:00:00"
18600 1.25002 4.35815 1.31730 "2023-09-15 11:10:00" "2023-09-15 11:00:00"
18600 1.25002 4.35815 1.29797 "2023-09-15 11:10:00" "2023-09-15 11:10:00"
19200 1.26533 4.42165 1.43660 "2023-09-15 11:20:00" "2023-09-15 11:00:00"
19200 1.26533 4.42165 1.37910 "2023-09-15 11:20:00" "2023-09-15 11:10:00"
19200 1.26533 4.42165 1.27080 "2023-09-15 11:20:00" "2023-09-15 11:20:00"
19800 1.36933 4.49602 1.66384 "2023-09-15 11:30:00" "2023-09-15 11:00:00"
19800 1.36933 4.49602 1.58768 "2023-09-15 11:30:00" "2023-09-15 11:10:00"
19800 1.36933 4.49602 1.43648 "2023-09-15 11:30:00" "2023-09-15 11:20:00"
19800 1.36933 4.49602 1.38096 "2023-09-15 11:30:00" "2023-09-15 11:30:00"
20400 1.46659 4.50599 1.90011 "2023-09-15 11:40:00" "2023-09-15 11:00:00"
20400 1.46659 4.50599 1.80863 "2023-09-15 11:40:00" "2023-09-15 11:10:00"
20400 1.46659 4.50599 1.62640 "2023-09-15 11:40:00" "2023-09-15 11:20:00"
20400 1.46659 4.50599 1.51800 "2023-09-15 11:40:00" "2023-09-15 11:30:00"
20400 1.46659 4.50599 1.44508 "2023-09-15 11:40:00" "2023-09-15 11:40:00"
21000 1.60174 4.50524 2.07118 "2023-09-15 11:50:00" "2023-09-15 11:00:00"
21000 1.60174 4.50524 1.97144 "2023-09-15 11:50:00" "2023-09-15 11:10:00"
21000 1.60174 4.50524 1.77114 "2023-09-15 11:50:00" "2023-09-15 11:20:00"
21000 1.60174 4.50524 1.63408 "2023-09-15 11:50:00" "2023-09-15 11:30:00"
21000 1.60174 4.50524 1.52601 "2023-09-15 11:50:00" "2023-09-15 11:40:00"
21000 1.60174 4.50524 1.58402 "2023-09-15 11:50:00" "2023-09-15 11:50:00"
21600 1.66961 4.33531 2.14792 "2023-09-15 12:00:00" "2023-09-15 11:10:00"
21600 1.66961 4.33531 1.93690 "2023-09-15 12:00:00" "2023-09-15 11:20:00"
21600 1.66961 4.33531 1.77851 "2023-09-15 12:00:00" "2023-09-15 11:30:00"
21600 1.66961 4.33531 1.64566 "2023-09-15 12:00:00" "2023-09-15 11:40:00"
21600 1.66961 4.33531 1.73400 "2023-09-15 12:00:00" "2023-09-15 11:50:00"
21600 1.66961 4.33531 1.67588 "2023-09-15 12:00:00" "2023-09-15 12:00:00"
22200 1.67918 4.19694 2.05826 "2023-09-15 12:10:00" "2023-09-15 11:20:00"
22200 1.67918 4.19694 1.88827 "2023-09-15 12:10:00" "2023-09-15 11:30:00"
22200 1.67918 4.19694 1.73898 "2023-09-15 12:10:00" "2023-09-15 11:40:00"
22200 1.67918 4.19694 1.84989 "2023-09-15 12:10:00" "2023-09-15 11:50:00"
22200 1.67918 4.19694 1.72863 "2023-09-15 12:10:00" "2023-09-15 12:00:00"
22200 1.67918 4.19694 1.67283 "2023-09-15 12:10:00" "2023-09-15 12:10:00"
22800 1.64497 3.94623 2.00234 "2023-09-15 12:20:00" "2023-09-15 11:30:00"
22800 1.64497 3.94623 1.84404 "2023-09-15 12:20:00" "2023-09-15 11:40:00"
22800 1.64497 3.94623 1.97114 "2023-09-15 12:20:00" "2023-09-15 11:50:00"
