20230917
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
21000 13.38192 9.22109 14.33600 "2023-09-17 11:50:00" "2023-09-17 11:50:00"
21000 13.38192 9.22109 12.45900 "2023-09-17 11:50:00" "2023-09-17 11:00:00"
21000 13.38192 9.22109 12.13600 "2023-09-17 11:50:00" "2023-09-17 11:10:00"
21000 13.38192 9.22109 12.95500 "2023-09-17 11:50:00" "2023-09-17 11:20:00"
21000 13.38192 9.22109 13.54300 "2023-09-17 11:50:00" "2023-09-17 11:30:00"
21000 13.38192 9.22109 14.07500 "2023-09-17 11:50:00" "2023-09-17 11:40:00"
21000 13.38192 9.22109 14.33600 "2023-09-17 11:50:00" "2023-09-17 11:50:00"
21000 13.38192 9.22109 12.45900 "2023-09-17 11:50:00" "2023-09-17 11:00:00"
21000 13.38192 9.22109 12.13600 "2023-09-17 11:50:00" "2023-09-17 11:10:00"
21000 13.38192 9.22109 12.95500 "2023-09-17 11:50:00" "2023-09-17 11:20:00"
21000 13.38192 9.22109 13.54300 "2023-09-17 11:50:00" "2023-09-17 11:30:00"
21000 13.38192 9.22109 14.07500 "2023-09-17 11:50:00" "2023-09-17 11:40:00"
21000 13.38192 9.22109 14.33600 "2023-09-17 11:50:00" "2023-09-17 11:50:00"
21000 13.38192 9.22109 12.45900 "2023-09-17 11:50:00" "2023-09-17 11:00:00"
21000 13.38192 9.22109 12.13600 "2023-09-17 11:50:00" "2023-09-17 11:10:00"
21000 13.38192 9.22109 12.95500 "2023-09-17 11:50:00" "2023-09-17 11:20:00"
21000 13.38192 9.22109 13.54300 "2023-09-17 11:50:00" "2023-09-17 11:30:00"
21000 13.38192 9.22109 14.07500 "2023-09-17 11:50:00" "2023-09-17 11:40:00"
21000 13.38192 9.22109 14.33600 "2023-09-17 11:50:00" "2023-09-17 11:50:00"
21000 13.38192 9.22109 12.45900 "2023-09-17 11:50:00" "2023-09-17 11:00:00"
21000 13.38192 9.22109 12.13600 "2023-09-17 11:50:00" "2023-09-17 11:10:00"
21000 13.38192 9.22109 12.95500 "2023-09-17 11:50:00" "2023-09-17 11:20:00"
21000 13.38192 9.22109 13.54300 "2023-09-17 11:50:00" "2023-09-17 11:30:00"
21000 13.38192 9.22109 14.07500 "2023-09-17 11:50:00" "2023-09-17 11:40:00"
21000 13.38192 9.22109 14.33600 "2023-09-17 11:50:00" "2023-09-17 11:50:00"
21600 13.61270 9.31149 12.13600 "2023-09-17 12:00:00" "2023-09-17 11:10:00"
21600 13.61270 9.31149 12.95500 "2023-09-17 12:00:00" "2023-09-17 11:20:00"
21600 13.61270 9.31149 13.54300 "2023-09-17 12:00:00" "2023-09-17 11:30:00"
21600 13.61270 9.31149 14.07500 "2023-09-17 12:00:00" "2023-09-17 11:40:00"
21600 13.61270 9.31149 14.33600 "2023-09-17 12:00:00" "2023-09-17 11:50:00"
21600 13.61270 9.31149 14.15700 "2023-09-17 12:00:00" "2023-09-17 12:00:00"
21600 13.61270 9.31149 12.13600 "2023-09-17 12:00:00" "2023-09-17 11:10:00"
21600 13.61270 9.31149 12.95500 "2023-09-17 12:00:00" "2023-09-17 11:20:00"
21600 13.61270 9.31149 13.54300 "2023-09-17 12:00:00" "2023-09-17 11:30:00"
21600 13.61270 9.31149 14.07500 "2023-09-17 12:00:00" "2023-09-17 11:40:00"
21600 13.61270 9.31149 14.33600 "2023-09-17 12:00:00" "2023-09-17 11:50:00"
21600 13.61270 9.31149 14.15700 "2023-09-17 12:00:00" "2023-09-17 12:00:00"
21600 13.61270 9.31149 12.13600 "2023-09-17 12:00:00" "2023-09-17 11:10:00"
21600 13.61270 9.31149 12.95500 "2023-09-17 12:00:00" "2023-09-17 11:20:00"
21600 13.61270 9.31149 13.54300 "2023-09-17 12:00:00" "2023-09-17 11:30:00"
21600 13.61270 9.31149 14.07500 "2023-09-17 12:00:00" "2023-09-17 11:40:00"
21600 13.61270 9.31149 14.33600 "2023-09-17 12:00:00" "2023-09-17 11:50:00"
21600 13.61270 9.31149 14.15700 "2023-09-17 12:00:00" "2023-09-17 12:00:00"
21600 13.61270 9.31149 12.13600 "2023-09-17 12:00:00" "2023-09-17 11:10:00"
21600 13.61270 9.31149 12.95500 "2023-09-17 12:00:00" "2023-09-17 11:20:00"
21600 13.61270 9.31149 13.54300 "2023-09-17 12:00:00" "2023-09-17 11:30:00"
21600 13.61270 9.31149 14.07500 "2023-09-17 12:00:00" "2023-09-17 11:40:00"
21600 13.61270 9.31149 14.33600 "2023-09-17 12:00:00" "2023-09-17 11:50:00"
21600 13.61270 9.31149 14.15700 "2023-09-17 12:00:00" "2023-09-17 12:00:00"
21600 13.61270 9.31149 12.13600 "2023-09-17 12:00:00" "2023-09-17 11:10:00"
21600 13.61270 9.31149 12.95500 "2023-09-17 12:00:00" "2023-09-17 11:20:00"
21600 13.61270 9.31149 13.54300 "2023-09-17 12:00:00" "2023-09-17 11:30:00"
21600 13.61270 9.31149 14.07500 "2023-09-17 12:00:00" "2023-09-17 11:40:00"
21600 13.61270 9.31149 14.33600 "2023-09-17 12:00:00" "2023-09-17 11:50:00"
21600 13.61270 9.31149 14.15700 "2023-09-17 12:00:00" "2023-09-17 12:00:00"
21600 13.61270 9.31149 12.13600 "2023-09-17 12:00:00" "2023-09-17 11:10:00"
21600 13.61270 9.31149 12.95500 "2023-09-17 12:00:00" "2023-09-17 11:20:00"
21600 13.61270 9.31149 13.54300 "2023-09-17 12:00:00" "2023-09-17 11:30:00"
21600 13.61270 9.31149 14.07500 "2023-09-17 12:00:00" "2023-09-17 11:40:00"
21600 13.61270 9.31149 14.33600 "2023-09-17 12:00:00" "2023-09-17 11:50:00"
21600 13.61270 9.31149 14.15700 "2023-09-17 12:00:00" "2023-09-17 12:00:00"
22200 13.69126 9.44982 12.95500 "2023-09-17 12:10:00" "2023-09-17 11:20:00"
22200 13.69126 9.44982 13.54300 "2023-09-17 12:10:00" "2023-09-17 11:30:00"
22200 13.69126 9.44982 14.07500 "2023-09-17 12:10:00" "2023-09-17 11:40:00"
22200 13.69126 9.44982 14.33600 "2023-09-17 12:10:00" "2023-09-17 11:50:00"
22200 13.69126 9.44982 14.15700 "2023-09-17 12:10:00" "2023-09-17 12:00:00"
22200 13.69126 9.44982 13.24900 "2023-09-17 12:10:00" "2023-09-17 12:10:00"
22200 13.69126 9.44982 12.95500 "2023-09-17 12:10:00" "2023-09-17 11:20:00"
22200 13.69126 9.44982 13.54300 "2023-09-17 12:10:00" "2023-09-17 11:30:00"
22200 13.69126 9.44982 14.07500 "2023-09-17 12:10:00" "2023-09-17 11:40:00"
22200 13.69126 9.44982 14.33600 "2023-09-17 12:10:00" "2023-09-17 11:50:00"
22200 13.69126 9.44982 14.15700 "2023-09-17 12:10:00" "2023-09-17 12:00:00"
22200 13.69126 9.44982 13.24900 "2023-09-17 12:10:00" "2023-09-17 12:10:00"
22200 13.69126 9.44982 12.95500 "2023-09-17 12:10:00" "2023-09-17 11:20:00"
22200 13.69126 9.44982 13.54300 "2023-09-17 12:10:00" "2023-09-17 11:30:00"
22200 13.69126 9.44982 14.07500 "2023-09-17 12:10:00" "2023-09-17 11:40:00"
22200 13.69126 9.44982 14.33600 "2023-09-17 12:10:00" "2023-09-17 11:50:00"
22200 13.69126 9.44982 14.15700 "2023-09-17 12:10:00" "2023-09-17 12:00:00"
22200 13.69126 9.44982 13.24900 "2023-09-17 12:10:00" "2023-09-17 12:10:00"
22200 13.69126 9.44982 12.95500 "2023-09-17 12:10:00" "2023-09-17 11:20:00"
22200 13.69126 9.44982 13.54300 "2023-09-17 12:10:00" "2023-09-17 11:30:00"
22200 13.69126 9.44982 14.07500 "2023-09-17 12:10:00" "2023-09-17 11:40:00"
22200 13.69126 9.44982 14.33600 "2023-09-17 12:10:00" "2023-09-17 11:50:00"
