20230918
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
25200 16.98490 11.00101 17.54620 "2023-09-18 13:00:00" "2023-09-18 12:20:00"
25200 16.98490 11.00101 17.69331 "2023-09-18 13:00:00" "2023-09-18 12:30:00"
25200 16.98490 11.00101 17.39296 "2023-09-18 13:00:00" "2023-09-18 12:40:00"
25200 16.98490 11.00101 17.48427 "2023-09-18 13:00:00" "2023-09-18 12:50:00"
25200 16.98490 11.00101 17.31937 "2023-09-18 13:00:00" "2023-09-18 13:00:00"
25800 16.77338 10.94262 17.54551 "2023-09-18 13:10:00" "2023-09-18 12:20:00"
25800 16.77338 10.94262 17.71488 "2023-09-18 13:10:00" "2023-09-18 12:30:00"
25800 16.77338 10.94262 17.34969 "2023-09-18 13:10:00" "2023-09-18 12:40:00"
25800 16.77338 10.94262 17.45546 "2023-09-18 13:10:00" "2023-09-18 12:50:00"
25800 16.77338 10.94262 17.18790 "2023-09-18 13:10:00" "2023-09-18 13:00:00"
25800 16.77338 10.94262 17.14027 "2023-09-18 13:10:00" "2023-09-18 13:10:00"
26400 16.69567 10.62624 17.56193 "2023-09-18 13:20:00" "2023-09-18 12:30:00"
26400 16.69567 10.62624 17.14321 "2023-09-18 13:20:00" "2023-09-18 12:40:00"
26400 16.69567 10.62624 17.26030 "2023-09-18 13:20:00" "2023-09-18 12:50:00"
26400 16.69567 10.62624 16.91049 "2023-09-18 13:20:00" "2023-09-18 13:00:00"
26400 16.69567 10.62624 16.82490 "2023-09-18 13:20:00" "2023-09-18 13:10:00"
26400 16.69567 10.62624 16.86651 "2023-09-18 13:20:00" "2023-09-18 13:20:00"
27000 16.60636 10.59524 17.02390 "2023-09-18 13:30:00" "2023-09-18 12:40:00"
27000 16.60636 10.59524 17.15085 "2023-09-18 13:30:00" "2023-09-18 12:50:00"
27000 16.60636 10.59524 16.73334 "2023-09-18 13:30:00" "2023-09-18 13:00:00"
27000 16.60636 10.59524 16.61847 "2023-09-18 13:30:00" "2023-09-18 13:10:00"
27000 16.60636 10.59524 16.86148 "2023-09-18 13:30:00" "2023-09-18 13:20:00"
27000 16.60636 10.59524 16.59668 "2023-09-18 13:30:00" "2023-09-18 13:30:00"
