20230926
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
18000 6.62252 5.41697 5.98078 "2023-09-26 11:00:00" "2023-09-26 11:00:00"
18600 6.57392 5.37408 5.74947 "2023-09-26 11:10:00" "2023-09-26 11:00:00"
18600 6.57392 5.37408 5.77389 "2023-09-26 11:10:00" "2023-09-26 11:10:00"
19200 6.17662 5.59743 5.53971 "2023-09-26 11:20:00" "2023-09-26 11:00:00"
19200 6.17662 5.59743 5.60845 "2023-09-26 11:20:00" "2023-09-26 11:10:00"
19200 6.17662 5.59743 5.48316 "2023-09-26 11:20:00" "2023-09-26 11:20:00"
19800 5.58095 5.80822 5.36884 "2023-09-26 11:30:00" "2023-09-26 11:00:00"
19800 5.58095 5.80822 5.46392 "2023-09-26 11:30:00" "2023-09-26 11:10:00"
19800 5.58095 5.80822 5.28066 "2023-09-26 11:30:00" "2023-09-26 11:20:00"
19800 5.58095 5.80822 5.06420 "2023-09-26 11:30:00" "2023-09-26 11:30:00"
20400 4.97236 5.81076 5.12082 "2023-09-26 11:40:00" "2023-09-26 11:00:00"
20400 4.97236 5.81076 5.23982 "2023-09-26 11:40:00" "2023-09-26 11:10:00"
20400 4.97236 5.81076 4.99828 "2023-09-26 11:40:00" "2023-09-26 11:20:00"
20400 4.97236 5.81076 4.66004 "2023-09-26 11:40:00" "2023-09-26 11:30:00"
20400 4.97236 5.81076 4.66419 "2023-09-26 11:40:00" "2023-09-26 11:40:00"
21000 4.30390 5.76281 4.93029 "2023-09-26 11:50:00" "2023-09-26 11:00:00"
21000 4.30390 5.76281 5.07144 "2023-09-26 11:50:00" "2023-09-26 11:10:00"
21000 4.30390 5.76281 4.77886 "2023-09-26 11:50:00" "2023-09-26 11:20:00"
21000 4.30390 5.76281 4.32382 "2023-09-26 11:50:00" "2023-09-26 11:30:00"
21000 4.30390 5.76281 4.37104 "2023-09-26 11:50:00" "2023-09-26 11:40:00"
21000 4.30390 5.76281 4.14581 "2023-09-26 11:50:00" "2023-09-26 11:50:00"
21600 3.47907 5.73314 4.90298 "2023-09-26 12:00:00" "2023-09-26 11:10:00"
21600 3.47907 5.73314 4.56337 "2023-09-26 12:00:00" "2023-09-26 11:20:00"
21600 3.47907 5.73314 4.00282 "2023-09-26 12:00:00" "2023-09-26 11:30:00"
21600 3.47907 5.73314 4.06883 "2023-09-26 12:00:00" "2023-09-26 11:40:00"
21600 3.47907 5.73314 3.70778 "2023-09-26 12:00:00" "2023-09-26 11:50:00"
21600 3.47907 5.73314 3.72775 "2023-09-26 12:00:00" "2023-09-26 12:00:00"
22200 2.65515 5.64773 4.29933 "2023-09-26 12:10:00" "2023-09-26 11:20:00"
22200 2.65515 5.64773 3.64271 "2023-09-26 12:10:00" "2023-09-26 11:30:00"
22200 2.65515 5.64773 3.72596 "2023-09-26 12:10:00" "2023-09-26 11:40:00"
22200 2.65515 5.64773 3.23585 "2023-09-26 12:10:00" "2023-09-26 11:50:00"
22200 2.65515 5.64773 3.32097 "2023-09-26 12:10:00" "2023-09-26 12:00:00"
22200 2.65515 5.64773 3.37051 "2023-09-26 12:10:00" "2023-09-26 12:10:00"
22800 2.06005 5.36093 3.25908 "2023-09-26 12:20:00" "2023-09-26 11:30:00"
22800 2.06005 5.36093 3.35827 "2023-09-26 12:20:00" "2023-09-26 11:40:00"
22800 2.06005 5.36093 2.75047 "2023-09-26 12:20:00" "2023-09-26 11:50:00"
22800 2.06005 5.36093 2.86907 "2023-09-26 12:20:00" "2023-09-26 12:00:00"
22800 2.06005 5.36093 2.98697 "2023-09-26 12:20:00" "2023-09-26 12:10:00"
22800 2.06005 5.36093 2.96662 "2023-09-26 12:20:00" "2023-09-26 12:20:00"
23400 1.83813 4.99961 3.01436 "2023-09-26 12:30:00" "2023-09-26 11:40:00"
23400 1.83813 4.99961 2.29915 "2023-09-26 12:30:00" "2023-09-26 11:50:00"
23400 1.83813 4.99961 2.45004 "2023-09-26 12:30:00" "2023-09-26 12:00:00"
23400 1.83813 4.99961 2.61022 "2023-09-26 12:30:00" "2023-09-26 12:10:00"
