20230902
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
25200 11.48072 11.80777 11.44400 "2023-09-02 13:00:00" "2023-09-02 12:20:00"
25200 11.48072 11.80777 11.14500 "2023-09-02 13:00:00" "2023-09-02 12:30:00"
25200 11.48072 11.80777 10.74200 "2023-09-02 13:00:00" "2023-09-02 12:40:00"
25200 11.48072 11.80777 10.13600 "2023-09-02 13:00:00" "2023-09-02 12:50:00"
25200 11.48072 11.80777 11.11000 "2023-09-02 13:00:00" "2023-09-02 13:00:00"
25800 11.88605 11.58839 11.44400 "2023-09-02 13:10:00" "2023-09-02 12:20:00"
25800 11.88605 11.58839 11.14500 "2023-09-02 13:10:00" "2023-09-02 12:30:00"
25800 11.88605 11.58839 10.74200 "2023-09-02 13:10:00" "2023-09-02 12:40:00"
25800 11.88605 11.58839 10.13600 "2023-09-02 13:10:00" "2023-09-02 12:50:00"
25800 11.88605 11.58839 11.11000 "2023-09-02 13:10:00" "2023-09-02 13:00:00"
25800 11.88605 11.58839 11.25200 "2023-09-02 13:10:00" "2023-09-02 13:10:00"
26400 12.31302 11.39097 11.14500 "2023-09-02 13:20:00" "2023-09-02 12:30:00"
26400 12.31302 11.39097 10.74200 "2023-09-02 13:20:00" "2023-09-02 12:40:00"
26400 12.31302 11.39097 10.13600 "2023-09-02 13:20:00" "2023-09-02 12:50:00"
26400 12.31302 11.39097 11.11000 "2023-09-02 13:20:00" "2023-09-02 13:00:00"
26400 12.31302 11.39097 11.25200 "2023-09-02 13:20:00" "2023-09-02 13:10:00"
26400 12.31302 11.39097 11.61600 "2023-09-02 13:20:00" "2023-09-02 13:20:00"
27000 12.62598 11.19692 10.74200 "2023-09-02 13:30:00" "2023-09-02 12:40:00"
27000 12.62598 11.19692 10.13600 "2023-09-02 13:30:00" "2023-09-02 12:50:00"
27000 12.62598 11.19692 11.11000 "2023-09-02 13:30:00" "2023-09-02 13:00:00"
27000 12.62598 11.19692 11.25200 "2023-09-02 13:30:00" "2023-09-02 13:10:00"
27000 12.62598 11.19692 11.61600 "2023-09-02 13:30:00" "2023-09-02 13:20:00"
27000 12.62598 11.19692 13.12200 "2023-09-02 13:30:00" "2023-09-02 13:30:00"
27600 12.82734 11.30862 10.13600 "2023-09-02 13:40:00" "2023-09-02 12:50:00"
27600 12.82734 11.30862 11.11000 "2023-09-02 13:40:00" "2023-09-02 13:00:00"
27600 12.82734 11.30862 11.25200 "2023-09-02 13:40:00" "2023-09-02 13:10:00"
27600 12.82734 11.30862 11.61600 "2023-09-02 13:40:00" "2023-09-02 13:20:00"
27600 12.82734 11.30862 13.12200 "2023-09-02 13:40:00" "2023-09-02 13:30:00"
27600 12.82734 11.30862 12.95800 "2023-09-02 13:40:00" "2023-09-02 13:40:00"
28200 13.11107 11.98075 11.11000 "2023-09-02 13:50:00" "2023-09-02 13:00:00"
28200 13.11107 11.98075 11.25200 "2023-09-02 13:50:00" "2023-09-02 13:10:00"
28200 13.11107 11.98075 11.61600 "2023-09-02 13:50:00" "2023-09-02 13:20:00"
28200 13.11107 11.98075 13.12200 "2023-09-02 13:50:00" "2023-09-02 13:30:00"
28200 13.11107 11.98075 12.95800 "2023-09-02 13:50:00" "2023-09-02 13:40:00"
28200 13.11107 11.98075 13.03700 "2023-09-02 13:50:00" "2023-09-02 13:50:00"
28800 13.19318 12.68412 11.25200 "2023-09-02 14:00:00" "2023-09-02 13:10:00"
28800 13.19318 12.68412 11.61600 "2023-09-02 14:00:00" "2023-09-02 13:20:00"
28800 13.19318 12.68412 13.12200 "2023-09-02 14:00:00" "2023-09-02 13:30:00"
28800 13.19318 12.68412 12.95800 "2023-09-02 14:00:00" "2023-09-02 13:40:00"
28800 13.19318 12.68412 13.03700 "2023-09-02 14:00:00" "2023-09-02 13:50:00"
28800 13.19318 12.68412 12.96300 "2023-09-02 14:00:00" "2023-09-02 14:00:00"
29400 13.15374 13.10595 11.61600 "2023-09-02 14:10:00" "2023-09-02 13:20:00"
29400 13.15374 13.10595 13.12200 "2023-09-02 14:10:00" "2023-09-02 13:30:00"
29400 13.15374 13.10595 12.95800 "2023-09-02 14:10:00" "2023-09-02 13:40:00"
29400 13.15374 13.10595 13.03700 "2023-09-02 14:10:00" "2023-09-02 13:50:00"
29400 13.15374 13.10595 12.96300 "2023-09-02 14:10:00" "2023-09-02 14:00:00"
29400 13.15374 13.10595 12.91300 "2023-09-02 14:10:00" "2023-09-02 14:10:00"
30000 13.23713 13.74259 13.12200 "2023-09-02 14:20:00" "2023-09-02 13:30:00"
30000 13.23713 13.74259 12.95800 "2023-09-02 14:20:00" "2023-09-02 13:40:00"
30000 13.23713 13.74259 13.03700 "2023-09-02 14:20:00" "2023-09-02 13:50:00"
30000 13.23713 13.74259 12.96300 "2023-09-02 14:20:00" "2023-09-02 14:00:00"
30000 13.23713 13.74259 12.91300 "2023-09-02 14:20:00" "2023-09-02 14:10:00"
30000 13.23713 13.74259 13.12500 "2023-09-02 14:20:00" "2023-09-02 14:20:00"
30600 13.38561 14.10338 12.95800 "2023-09-02 14:30:00" "2023-09-02 13:40:00"
30600 13.38561 14.10338 13.03700 "2023-09-02 14:30:00" "2023-09-02 13:50:00"
30600 13.38561 14.10338 12.96300 "2023-09-02 14:30:00" "2023-09-02 14:00:00"
30600 13.38561 14.10338 12.91300 "2023-09-02 14:30:00" "2023-09-02 14:10:00"
30600 13.38561 14.10338 13.12500 "2023-09-02 14:30:00" "2023-09-02 14:20:00"
30600 13.38561 14.10338 13.94900 "2023-09-02 14:30:00" "2023-09-02 14:30:00"
31200 13.60408 14.44092 13.03700 "2023-09-02 14:40:00" "2023-09-02 13:50:00"
31200 13.60408 14.44092 12.96300 "2023-09-02 14:40:00" "2023-09-02 14:00:00"
31200 13.60408 14.44092 12.91300 "2023-09-02 14:40:00" "2023-09-02 14:10:00"
31200 13.60408 14.44092 13.12500 "2023-09-02 14:40:00" "2023-09-02 14:20:00"
31200 13.60408 14.44092 13.94900 "2023-09-02 14:40:00" "2023-09-02 14:30:00"
31200 13.60408 14.44092 12.99600 "2023-09-02 14:40:00" "2023-09-02 14:40:00"
31800 13.58533 14.21200 12.96300 "2023-09-02 14:50:00" "2023-09-02 14:00:00"
31800 13.58533 14.21200 12.91300 "2023-09-02 14:50:00" "2023-09-02 14:10:00"
31800 13.58533 14.21200 13.12500 "2023-09-02 14:50:00" "2023-09-02 14:20:00"
31800 13.58533 14.21200 13.94900 "2023-09-02 14:50:00" "2023-09-02 14:30:00"
31800 13.58533 14.21200 12.99600 "2023-09-02 14:50:00" "2023-09-02 14:40:00"
31800 13.58533 14.21200 12.89900 "2023-09-02 14:50:00" "2023-09-02 14:50:00"
32400 13.57346 14.21103 12.91300 "2023-09-02 15:00:00" "2023-09-02 14:10:00"
32400 13.57346 14.21103 13.12500 "2023-09-02 15:00:00" "2023-09-02 14:20:00"
32400 13.57346 14.21103 13.94900 "2023-09-02 15:00:00" "2023-09-02 14:30:00"
32400 13.57346 14.21103 12.99600 "2023-09-02 15:00:00" "2023-09-02 14:40:00"
32400 13.57346 14.21103 12.89900 "2023-09-02 15:00:00" "2023-09-02 14:50:00"
32400 13.57346 14.21103 14.21300 "2023-09-02 15:00:00" "2023-09-02 15:00:00"
33000 13.72626 14.01074 13.12500 "2023-09-02 15:10:00" "2023-09-02 14:20:00"
33000 13.72626 14.01074 13.94900 "2023-09-02 15:10:00" "2023-09-02 14:30:00"
33000 13.72626 14.01074 12.99600 "2023-09-02 15:10:00" "2023-09-02 14:40:00"
33000 13.72626 14.01074 12.89900 "2023-09-02 15:10:00" "2023-09-02 14:50:00"
33000 13.72626 14.01074 14.21300 "2023-09-02 15:10:00" "2023-09-02 15:00:00"
33000 13.72626 14.01074 14.09100 "2023-09-02 15:10:00" "2023-09-02 15:10:00"
33600 13.45793 13.58644 13.94900 "2023-09-02 15:20:00" "2023-09-02 14:30:00"
33600 13.45793 13.58644 12.99600 "2023-09-02 15:20:00" "2023-09-02 14:40:00"
33600 13.45793 13.58644 12.89900 "2023-09-02 15:20:00" "2023-09-02 14:50:00"
33600 13.45793 13.58644 14.21300 "2023-09-02 15:20:00" "2023-09-02 15:00:00"
33600 13.45793 13.58644 14.09100 "2023-09-02 15:20:00" "2023-09-02 15:10:00"
33600 13.45793 13.58644 13.55700 "2023-09-02 15:20:00" "2023-09-02 15:20:00"
34200 13.02854 13.20218 12.99600 "2023-09-02 15:30:00" "2023-09-02 14:40:00"
34200 13.02854 13.20218 12.89900 "2023-09-02 15:30:00" "2023-09-02 14:50:00"
34200 13.02854 13.20218 14.21300 "2023-09-02 15:30:00" "2023-09-02 15:00:00"
34200 13.02854 13.20218 14.09100 "2023-09-02 15:30:00" "2023-09-02 15:10:00"
34200 13.02854 13.20218 13.55700 "2023-09-02 15:30:00" "2023-09-02 15:20:00"
34200 13.02854 13.20218 13.62900 "2023-09-02 15:30:00" "2023-09-02 15:30:00"
34800 12.66889 12.82948 12.89900 "2023-09-02 15:40:00" "2023-09-02 14:50:00"
34800 12.66889 12.82948 14.21300 "2023-09-02 15:40:00" "2023-09-02 15:00:00"
34800 12.66889 12.82948 14.09100 "2023-09-02 15:40:00" "2023-09-02 15:10:00"
34800 12.66889 12.82948 13.55700 "2023-09-02 15:40:00" "2023-09-02 15:20:00"
34800 12.66889 12.82948 13.62900 "2023-09-02 15:40:00" "2023-09-02 15:30:00"
34800 12.66889 12.82948 13.96500 "2023-09-02 15:40:00" "2023-09-02 15:40:00"
35400 12.33062 12.70259 14.21300 "2023-09-02 15:50:00" "2023-09-02 15:00:00"
35400 12.33062 12.70259 14.09100 "2023-09-02 15:50:00" "2023-09-02 15:10:00"
35400 12.33062 12.70259 13.55700 "2023-09-02 15:50:00" "2023-09-02 15:20:00"
35400 12.33062 12.70259 13.62900 "2023-09-02 15:50:00" "2023-09-02 15:30:00"
35400 12.33062 12.70259 13.96500 "2023-09-02 15:50:00" "2023-09-02 15:40:00"
35400 12.33062 12.70259 12.55200 "2023-09-02 15:50:00" "2023-09-02 15:50:00"
36000 11.93000 12.42248 14.09100 "2023-09-02 16:00:00" "2023-09-02 15:10:00"
36000 11.93000 12.42248 13.55700 "2023-09-02 16:00:00" "2023-09-02 15:20:00"
36000 11.93000 12.42248 13.62900 "2023-09-02 16:00:00" "2023-09-02 15:30:00"
36000 11.93000 12.42248 13.96500 "2023-09-02 16:00:00" "2023-09-02 15:40:00"
36000 11.93000 12.42248 12.55200 "2023-09-02 16:00:00" "2023-09-02 15:50:00"
36000 11.93000 12.42248 11.46700 "2023-09-02 16:00:00" "2023-09-02 16:00:00"
36600 11.71636 12.25934 13.55700 "2023-09-02 16:10:00" "2023-09-02 15:20:00"
36600 11.71636 12.25934 13.62900 "2023-09-02 16:10:00" "2023-09-02 15:30:00"
36600 11.71636 12.25934 13.96500 "2023-09-02 16:10:00" "2023-09-02 15:40:00"
36600 11.71636 12.25934 12.55200 "2023-09-02 16:10:00" "2023-09-02 15:50:00"
36600 11.71636 12.25934 11.46700 "2023-09-02 16:10:00" "2023-09-02 16:00:00"
36600 11.71636 12.25934 11.41900 "2023-09-02 16:10:00" "2023-09-02 16:10:00"
