20230927
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
18000 6.89211 8.76060 6.85187 "2023-09-27 11:00:00" "2023-09-27 11:00:00"
18600 6.95552 8.86827 6.90856 "2023-09-27 11:10:00" "2023-09-27 11:00:00"
18600 6.95552 8.86827 6.91039 "2023-09-27 11:10:00" "2023-09-27 11:10:00"
19200 7.10836 8.88311 6.84327 "2023-09-27 11:20:00" "2023-09-27 11:00:00"
19200 7.10836 8.88311 6.87069 "2023-09-27 11:20:00" "2023-09-27 11:10:00"
19200 7.10836 8.88311 7.06419 "2023-09-27 11:20:00" "2023-09-27 11:20:00"
19800 7.25113 8.92197 6.85259 "2023-09-27 11:30:00" "2023-09-27 11:00:00"
19800 7.25113 8.92197 6.89820 "2023-09-27 11:30:00" "2023-09-27 11:10:00"
19800 7.25113 8.92197 7.22572 "2023-09-27 11:30:00" "2023-09-27 11:20:00"
19800 7.25113 8.92197 7.18565 "2023-09-27 11:30:00" "2023-09-27 11:30:00"
20400 7.28080 8.85981 6.83157 "2023-09-27 11:40:00" "2023-09-27 11:00:00"
20400 7.28080 8.85981 6.89544 "2023-09-27 11:40:00" "2023-09-27 11:10:00"
20400 7.28080 8.85981 7.33684 "2023-09-27 11:40:00" "2023-09-27 11:20:00"
20400 7.28080 8.85981 7.26132 "2023-09-27 11:40:00" "2023-09-27 11:30:00"
20400 7.28080 8.85981 7.20162 "2023-09-27 11:40:00" "2023-09-27 11:40:00"
21000 7.35859 8.61803 6.80048 "2023-09-27 11:50:00" "2023-09-27 11:00:00"
21000 7.35859 8.61803 6.87962 "2023-09-27 11:50:00" "2023-09-27 11:10:00"
21000 7.35859 8.61803 7.42279 "2023-09-27 11:50:00" "2023-09-27 11:20:00"
21000 7.35859 8.61803 7.32190 "2023-09-27 11:50:00" "2023-09-27 11:30:00"
21000 7.35859 8.61803 7.23832 "2023-09-27 11:50:00" "2023-09-27 11:40:00"
