20230925
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
36000 4.08886 7.39350 4.26871 "2023-09-26 04:00:00" "2023-09-26 04:00:00"
36600 4.40189 7.46615 3.51114 "2023-09-26 04:10:00" "2023-09-26 03:20:00"
36600 4.40189 7.46615 4.15800 "2023-09-26 04:10:00" "2023-09-26 03:30:00"
36600 4.40189 7.46615 4.59671 "2023-09-26 04:10:00" "2023-09-26 03:40:00"
36600 4.40189 7.46615 4.06986 "2023-09-26 04:10:00" "2023-09-26 03:50:00"
36600 4.40189 7.46615 4.26871 "2023-09-26 04:10:00" "2023-09-26 04:00:00"
36600 4.40189 7.46615 4.65287 "2023-09-26 04:10:00" "2023-09-26 04:10:00"
36600 4.40189 7.46615 3.51114 "2023-09-26 04:10:00" "2023-09-26 03:20:00"
36600 4.40189 7.46615 4.15800 "2023-09-26 04:10:00" "2023-09-26 03:30:00"
36600 4.40189 7.46615 4.59671 "2023-09-26 04:10:00" "2023-09-26 03:40:00"
36600 4.40189 7.46615 4.06986 "2023-09-26 04:10:00" "2023-09-26 03:50:00"
36600 4.40189 7.46615 4.26871 "2023-09-26 04:10:00" "2023-09-26 04:00:00"
36600 4.40189 7.46615 4.65287 "2023-09-26 04:10:00" "2023-09-26 04:10:00"
36600 4.40189 7.46615 3.51114 "2023-09-26 04:10:00" "2023-09-26 03:20:00"
36600 4.40189 7.46615 4.15800 "2023-09-26 04:10:00" "2023-09-26 03:30:00"
36600 4.40189 7.46615 4.59671 "2023-09-26 04:10:00" "2023-09-26 03:40:00"
36600 4.40189 7.46615 4.06986 "2023-09-26 04:10:00" "2023-09-26 03:50:00"
36600 4.40189 7.46615 4.26871 "2023-09-26 04:10:00" "2023-09-26 04:00:00"
36600 4.40189 7.46615 4.65287 "2023-09-26 04:10:00" "2023-09-26 04:10:00"
36600 4.40189 7.46615 3.51114 "2023-09-26 04:10:00" "2023-09-26 03:20:00"
