20230926
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
24000 1.95634 5.35210 1.96905 "2023-09-27 00:40:00" "2023-09-27 00:40:00"
24600 1.98090 5.34327 2.02621 "2023-09-27 00:50:00" "2023-09-27 00:40:00"
24600 1.98090 5.34327 1.95059 "2023-09-27 00:50:00" "2023-09-27 00:50:00"
25200 2.02429 5.29587 2.07495 "2023-09-27 01:00:00" "2023-09-27 00:40:00"
25200 2.02429 5.29587 1.93806 "2023-09-27 01:00:00" "2023-09-27 00:50:00"
25200 2.02429 5.29587 2.00391 "2023-09-27 01:00:00" "2023-09-27 01:00:00"
25800 2.04632 5.24876 2.12419 "2023-09-27 01:10:00" "2023-09-27 00:40:00"
25800 2.04632 5.24876 1.94428 "2023-09-27 01:10:00" "2023-09-27 00:50:00"
25800 2.04632 5.24876 2.06188 "2023-09-27 01:10:00" "2023-09-27 01:00:00"
25800 2.04632 5.24876 2.00860 "2023-09-27 01:10:00" "2023-09-27 01:10:00"
26400 2.10286 5.17736 2.17413 "2023-09-27 01:20:00" "2023-09-27 00:40:00"
26400 2.10286 5.17736 1.96460 "2023-09-27 01:20:00" "2023-09-27 00:50:00"
26400 2.10286 5.17736 2.11985 "2023-09-27 01:20:00" "2023-09-27 01:00:00"
26400 2.10286 5.17736 2.05471 "2023-09-27 01:20:00" "2023-09-27 01:10:00"
26400 2.10286 5.17736 2.06955 "2023-09-27 01:20:00" "2023-09-27 01:20:00"
27000 2.12898 5.13799 2.18039 "2023-09-27 01:30:00" "2023-09-27 00:40:00"
27000 2.12898 5.13799 1.94695 "2023-09-27 01:30:00" "2023-09-27 00:50:00"
27000 2.12898 5.13799 2.12839 "2023-09-27 01:30:00" "2023-09-27 01:00:00"
27000 2.12898 5.13799 2.05700 "2023-09-27 01:30:00" "2023-09-27 01:10:00"
27000 2.12898 5.13799 2.08653 "2023-09-27 01:30:00" "2023-09-27 01:20:00"
27000 2.12898 5.13799 2.11338 "2023-09-27 01:30:00" "2023-09-27 01:30:00"
27600 2.20673 5.09513 1.93609 "2023-09-27 01:40:00" "2023-09-27 00:50:00"
27600 2.20673 5.09513 2.13740 "2023-09-27 01:40:00" "2023-09-27 01:00:00"
27600 2.20673 5.09513 2.05975 "2023-09-27 01:40:00" "2023-09-27 01:10:00"
27600 2.20673 5.09513 2.10134 "2023-09-27 01:40:00" "2023-09-27 01:20:00"
27600 2.20673 5.09513 2.14307 "2023-09-27 01:40:00" "2023-09-27 01:30:00"
27600 2.20673 5.09513 2.17322 "2023-09-27 01:40:00" "2023-09-27 01:40:00"
28200 2.32345 5.04900 2.12151 "2023-09-27 01:50:00" "2023-09-27 01:00:00"
28200 2.32345 5.04900 2.04067 "2023-09-27 01:50:00" "2023-09-27 01:10:00"
28200 2.32345 5.04900 2.09021 "2023-09-27 01:50:00" "2023-09-27 01:20:00"
28200 2.32345 5.04900 2.14275 "2023-09-27 01:50:00" "2023-09-27 01:30:00"
28200 2.32345 5.04900 2.18523 "2023-09-27 01:50:00" "2023-09-27 01:40:00"
28200 2.32345 5.04900 2.31719 "2023-09-27 01:50:00" "2023-09-27 01:50:00"
28800 2.38580 5.01589 2.04617 "2023-09-27 02:00:00" "2023-09-27 01:10:00"
28800 2.38580 5.01589 2.10225 "2023-09-27 02:00:00" "2023-09-27 01:20:00"
28800 2.38580 5.01589 2.16269 "2023-09-27 02:00:00" "2023-09-27 01:30:00"
28800 2.38580 5.01589 2.21475 "2023-09-27 02:00:00" "2023-09-27 01:40:00"
28800 2.38580 5.01589 2.41649 "2023-09-27 02:00:00" "2023-09-27 01:50:00"
28800 2.38580 5.01589 2.39397 "2023-09-27 02:00:00" "2023-09-27 02:00:00"
29400 2.43317 4.99324 2.11255 "2023-09-27 02:10:00" "2023-09-27 01:20:00"
29400 2.43317 4.99324 2.17854 "2023-09-27 02:10:00" "2023-09-27 01:30:00"
29400 2.43317 4.99324 2.23804 "2023-09-27 02:10:00" "2023-09-27 01:40:00"
29400 2.43317 4.99324 2.49124 "2023-09-27 02:10:00" "2023-09-27 01:50:00"
29400 2.43317 4.99324 2.42637 "2023-09-27 02:10:00" "2023-09-27 02:00:00"
29400 2.43317 4.99324 2.47112 "2023-09-27 02:10:00" "2023-09-27 02:10:00"
30000 2.37106 4.96131 2.18108 "2023-09-27 02:20:00" "2023-09-27 01:30:00"
30000 2.37106 4.96131 2.24509 "2023-09-27 02:20:00" "2023-09-27 01:40:00"
30000 2.37106 4.96131 2.53509 "2023-09-27 02:20:00" "2023-09-27 01:50:00"
30000 2.37106 4.96131 2.44293 "2023-09-27 02:20:00" "2023-09-27 02:00:00"
