20230908
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
20400 4.65531 2.18882 4.27600 "2023-09-08 23:40:00" "2023-09-08 23:40:00"
21000 4.83800 2.20382 4.27600 "2023-09-08 23:50:00" "2023-09-08 23:40:00"
21000 4.83800 2.20382 5.06280 "2023-09-08 23:50:00" "2023-09-08 23:50:00"
21000 4.83800 2.20382 4.27600 "2023-09-08 23:50:00" "2023-09-08 23:40:00"
21000 4.83800 2.20382 5.06280 "2023-09-08 23:50:00" "2023-09-08 23:50:00"
21600 4.96026 2.21099 4.27600 "2023-09-09 00:00:00" "2023-09-08 23:40:00"
21600 4.96026 2.21099 5.06280 "2023-09-09 00:00:00" "2023-09-08 23:50:00"
21600 4.96026 2.21099 9999.00000 "2023-09-09 00:00:00" "2023-09-09 00:00:00"
21600 4.96026 2.21099 4.27600 "2023-09-09 00:00:00" "2023-09-08 23:40:00"
21600 4.96026 2.21099 5.06280 "2023-09-09 00:00:00" "2023-09-08 23:50:00"
21600 4.96026 2.21099 9999.00000 "2023-09-09 00:00:00" "2023-09-09 00:00:00"
21600 4.96026 2.21099 4.27600 "2023-09-09 00:00:00" "2023-09-08 23:40:00"
21600 4.96026 2.21099 5.06280 "2023-09-09 00:00:00" "2023-09-08 23:50:00"
21600 4.96026 2.21099 9999.00000 "2023-09-09 00:00:00" "2023-09-09 00:00:00"
22200 5.24044 2.20145 4.27600 "2023-09-09 00:10:00" "2023-09-08 23:40:00"
22200 5.24044 2.20145 5.06280 "2023-09-09 00:10:00" "2023-09-08 23:50:00"
22200 5.24044 2.20145 9999.00000 "2023-09-09 00:10:00" "2023-09-09 00:00:00"
22200 5.24044 2.20145 5.51643 "2023-09-09 00:10:00" "2023-09-09 00:10:00"
22200 5.24044 2.20145 4.27600 "2023-09-09 00:10:00" "2023-09-08 23:40:00"
22200 5.24044 2.20145 5.06280 "2023-09-09 00:10:00" "2023-09-08 23:50:00"
22200 5.24044 2.20145 9999.00000 "2023-09-09 00:10:00" "2023-09-09 00:00:00"
22200 5.24044 2.20145 5.51643 "2023-09-09 00:10:00" "2023-09-09 00:10:00"
22200 5.24044 2.20145 4.27600 "2023-09-09 00:10:00" "2023-09-08 23:40:00"
22200 5.24044 2.20145 5.06280 "2023-09-09 00:10:00" "2023-09-08 23:50:00"
22200 5.24044 2.20145 9999.00000 "2023-09-09 00:10:00" "2023-09-09 00:00:00"
22200 5.24044 2.20145 5.51643 "2023-09-09 00:10:00" "2023-09-09 00:10:00"
22200 5.24044 2.20145 4.27600 "2023-09-09 00:10:00" "2023-09-08 23:40:00"
22200 5.24044 2.20145 5.06280 "2023-09-09 00:10:00" "2023-09-08 23:50:00"
22200 5.24044 2.20145 9999.00000 "2023-09-09 00:10:00" "2023-09-09 00:00:00"
22200 5.24044 2.20145 5.51643 "2023-09-09 00:10:00" "2023-09-09 00:10:00"
22800 5.16397 2.17244 4.27600 "2023-09-09 00:20:00" "2023-09-08 23:40:00"
22800 5.16397 2.17244 5.06280 "2023-09-09 00:20:00" "2023-09-08 23:50:00"
22800 5.16397 2.17244 9999.00000 "2023-09-09 00:20:00" "2023-09-09 00:00:00"
22800 5.16397 2.17244 5.51643 "2023-09-09 00:20:00" "2023-09-09 00:10:00"
22800 5.16397 2.17244 5.20100 "2023-09-09 00:20:00" "2023-09-09 00:20:00"
22800 5.16397 2.17244 4.27600 "2023-09-09 00:20:00" "2023-09-08 23:40:00"
22800 5.16397 2.17244 5.06280 "2023-09-09 00:20:00" "2023-09-08 23:50:00"
22800 5.16397 2.17244 9999.00000 "2023-09-09 00:20:00" "2023-09-09 00:00:00"
22800 5.16397 2.17244 5.51643 "2023-09-09 00:20:00" "2023-09-09 00:10:00"
22800 5.16397 2.17244 5.20100 "2023-09-09 00:20:00" "2023-09-09 00:20:00"
22800 5.16397 2.17244 4.27600 "2023-09-09 00:20:00" "2023-09-08 23:40:00"
22800 5.16397 2.17244 5.06280 "2023-09-09 00:20:00" "2023-09-08 23:50:00"
22800 5.16397 2.17244 9999.00000 "2023-09-09 00:20:00" "2023-09-09 00:00:00"
22800 5.16397 2.17244 5.51643 "2023-09-09 00:20:00" "2023-09-09 00:10:00"
22800 5.16397 2.17244 5.20100 "2023-09-09 00:20:00" "2023-09-09 00:20:00"
22800 5.16397 2.17244 4.27600 "2023-09-09 00:20:00" "2023-09-08 23:40:00"
22800 5.16397 2.17244 5.06280 "2023-09-09 00:20:00" "2023-09-08 23:50:00"
22800 5.16397 2.17244 9999.00000 "2023-09-09 00:20:00" "2023-09-09 00:00:00"
22800 5.16397 2.17244 5.51643 "2023-09-09 00:20:00" "2023-09-09 00:10:00"
22800 5.16397 2.17244 5.20100 "2023-09-09 00:20:00" "2023-09-09 00:20:00"
22800 5.16397 2.17244 4.27600 "2023-09-09 00:20:00" "2023-09-08 23:40:00"
22800 5.16397 2.17244 5.06280 "2023-09-09 00:20:00" "2023-09-08 23:50:00"
