20230907
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
20400 3.70221 3.92295 4.14255 "2023-09-07 23:40:00" "2023-09-07 23:40:00"
21000 3.63586 3.87463 4.11410 "2023-09-07 23:50:00" "2023-09-07 23:40:00"
21000 3.63586 3.87463 4.00020 "2023-09-07 23:50:00" "2023-09-07 23:50:00"
21600 3.59956 3.83409 4.07824 "2023-09-08 00:00:00" "2023-09-07 23:40:00"
21600 3.59956 3.83409 3.91582 "2023-09-08 00:00:00" "2023-09-07 23:50:00"
21600 3.59956 3.83409 3.84646 "2023-09-08 00:00:00" "2023-09-08 00:00:00"
22200 3.60232 3.76129 4.02252 "2023-09-08 00:10:00" "2023-09-07 23:40:00"
22200 3.60232 3.76129 3.81824 "2023-09-08 00:10:00" "2023-09-07 23:50:00"
22200 3.60232 3.76129 3.70043 "2023-09-08 00:10:00" "2023-09-08 00:00:00"
22200 3.60232 3.76129 3.77471 "2023-09-08 00:10:00" "2023-09-08 00:10:00"
22800 3.66053 3.65681 3.94063 "2023-09-08 00:20:00" "2023-09-07 23:40:00"
22800 3.66053 3.65681 3.70416 "2023-09-08 00:20:00" "2023-09-07 23:50:00"
22800 3.66053 3.65681 3.54798 "2023-09-08 00:20:00" "2023-09-08 00:00:00"
22800 3.66053 3.65681 3.64681 "2023-09-08 00:20:00" "2023-09-08 00:10:00"
22800 3.66053 3.65681 3.72706 "2023-09-08 00:20:00" "2023-09-08 00:20:00"
23400 3.61577 3.55718 3.88334 "2023-09-08 00:30:00" "2023-09-07 23:40:00"
23400 3.61577 3.55718 3.62770 "2023-09-08 00:30:00" "2023-09-07 23:50:00"
23400 3.61577 3.55718 3.43869 "2023-09-08 00:30:00" "2023-09-08 00:00:00"
23400 3.61577 3.55718 3.55717 "2023-09-08 00:30:00" "2023-09-08 00:10:00"
23400 3.61577 3.55718 3.69288 "2023-09-08 00:30:00" "2023-09-08 00:20:00"
23400 3.61577 3.55718 3.63345 "2023-09-08 00:30:00" "2023-09-08 00:30:00"
24000 3.57810 3.46822 3.55591 "2023-09-08 00:40:00" "2023-09-07 23:50:00"
24000 3.57810 3.46822 3.34433 "2023-09-08 00:40:00" "2023-09-08 00:00:00"
