20230902
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
31800 2.30475 1.75987 2.32125 "2023-09-03 02:50:00" "2023-09-03 02:30:00"
31800 2.30475 1.75987 2.30165 "2023-09-03 02:50:00" "2023-09-03 02:40:00"
31800 2.30475 1.75987 2.30167 "2023-09-03 02:50:00" "2023-09-03 02:50:00"
32400 2.31045 1.79684 2.30805 "2023-09-03 03:00:00" "2023-09-03 02:10:00"
32400 2.31045 1.79684 2.31788 "2023-09-03 03:00:00" "2023-09-03 02:20:00"
32400 2.31045 1.79684 2.32126 "2023-09-03 03:00:00" "2023-09-03 02:30:00"
32400 2.31045 1.79684 2.30153 "2023-09-03 03:00:00" "2023-09-03 02:40:00"
32400 2.31045 1.79684 2.29652 "2023-09-03 03:00:00" "2023-09-03 02:50:00"
32400 2.31045 1.79684 2.34339 "2023-09-03 03:00:00" "2023-09-03 03:00:00"
33000 2.30725 1.85257 2.35186 "2023-09-03 03:10:00" "2023-09-03 02:20:00"
33000 2.30725 1.85257 2.34860 "2023-09-03 03:10:00" "2023-09-03 02:30:00"
33000 2.30725 1.85257 2.32659 "2023-09-03 03:10:00" "2023-09-03 02:40:00"
33000 2.30725 1.85257 2.31827 "2023-09-03 03:10:00" "2023-09-03 02:50:00"
33000 2.30725 1.85257 2.40014 "2023-09-03 03:10:00" "2023-09-03 03:00:00"
33000 2.30725 1.85257 2.30313 "2023-09-03 03:10:00" "2023-09-03 03:10:00"
33600 2.29726 1.92878 2.36159 "2023-09-03 03:20:00" "2023-09-03 02:30:00"
33600 2.29726 1.92878 2.34099 "2023-09-03 03:20:00" "2023-09-03 02:40:00"
33600 2.29726 1.92878 2.33050 "2023-09-03 03:20:00" "2023-09-03 02:50:00"
33600 2.29726 1.92878 2.44004 "2023-09-03 03:20:00" "2023-09-03 03:00:00"
33600 2.29726 1.92878 2.29692 "2023-09-03 03:20:00" "2023-09-03 03:10:00"
33600 2.29726 1.92878 2.25575 "2023-09-03 03:20:00" "2023-09-03 03:20:00"
34200 2.31716 1.96450 2.33739 "2023-09-03 03:30:00" "2023-09-03 02:40:00"
34200 2.31716 1.96450 2.32408 "2023-09-03 03:30:00" "2023-09-03 02:50:00"
34200 2.31716 1.96450 2.45603 "2023-09-03 03:30:00" "2023-09-03 03:00:00"
34200 2.31716 1.96450 2.27879 "2023-09-03 03:30:00" "2023-09-03 03:10:00"
34200 2.31716 1.96450 2.21083 "2023-09-03 03:30:00" "2023-09-03 03:20:00"
34200 2.31716 1.96450 2.25863 "2023-09-03 03:30:00" "2023-09-03 03:30:00"
34800 2.29252 1.98333 2.33322 "2023-09-03 03:40:00" "2023-09-03 02:50:00"
34800 2.29252 1.98333 2.48518 "2023-09-03 03:40:00" "2023-09-03 03:00:00"
34800 2.29252 1.98333 2.27584 "2023-09-03 03:40:00" "2023-09-03 03:10:00"
34800 2.29252 1.98333 2.18640 "2023-09-03 03:40:00" "2023-09-03 03:20:00"
34800 2.29252 1.98333 2.25881 "2023-09-03 03:40:00" "2023-09-03 03:30:00"
34800 2.29252 1.98333 2.21742 "2023-09-03 03:40:00" "2023-09-03 03:40:00"
35400 2.35477 1.97455 2.53861 "2023-09-03 03:50:00" "2023-09-03 03:00:00"
35400 2.35477 1.97455 2.31010 "2023-09-03 03:50:00" "2023-09-03 03:10:00"
