20230921
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
20400 1.99296 4.78844 1.85133 "2023-09-21 23:40:00" "2023-09-21 23:40:00"
21000 1.94519 4.80091 1.90412 "2023-09-21 23:50:00" "2023-09-21 23:40:00"
21000 1.94519 4.80091 1.85511 "2023-09-21 23:50:00" "2023-09-21 23:50:00"
21600 1.93682 4.80622 1.96855 "2023-09-22 00:00:00" "2023-09-21 23:40:00"
21600 1.93682 4.80622 1.89262 "2023-09-22 00:00:00" "2023-09-21 23:50:00"
21600 1.93682 4.80622 1.88551 "2023-09-22 00:00:00" "2023-09-22 00:00:00"
22200 1.92858 4.78884 2.01348 "2023-09-22 00:10:00" "2023-09-21 23:40:00"
22200 1.92858 4.78884 1.92124 "2023-09-22 00:10:00" "2023-09-21 23:50:00"
22200 1.92858 4.78884 1.92478 "2023-09-22 00:10:00" "2023-09-22 00:00:00"
22200 1.92858 4.78884 1.87919 "2023-09-22 00:10:00" "2023-09-22 00:10:00"
22800 1.94986 4.74898 2.07275 "2023-09-22 00:20:00" "2023-09-21 23:40:00"
22800 1.94986 4.74898 1.96919 "2023-09-22 00:20:00" "2023-09-21 23:50:00"
22800 1.94986 4.74898 1.97989 "2023-09-22 00:20:00" "2023-09-22 00:00:00"
22800 1.94986 4.74898 1.91406 "2023-09-22 00:20:00" "2023-09-22 00:10:00"
22800 1.94986 4.74898 1.90373 "2023-09-22 00:20:00" "2023-09-22 00:20:00"
23400 2.00486 4.69404 2.13420 "2023-09-22 00:30:00" "2023-09-21 23:40:00"
23400 2.00486 4.69404 2.02088 "2023-09-22 00:30:00" "2023-09-21 23:50:00"
23400 2.00486 4.69404 2.03619 "2023-09-22 00:30:00" "2023-09-22 00:00:00"
23400 2.00486 4.69404 1.95759 "2023-09-22 00:30:00" "2023-09-22 00:10:00"
23400 2.00486 4.69404 1.93521 "2023-09-22 00:30:00" "2023-09-22 00:20:00"
23400 2.00486 4.69404 1.98987 "2023-09-22 00:30:00" "2023-09-22 00:30:00"
24000 2.12468 4.65194 2.05429 "2023-09-22 00:40:00" "2023-09-21 23:50:00"
24000 2.12468 4.65194 2.07219 "2023-09-22 00:40:00" "2023-09-22 00:00:00"
24000 2.12468 4.65194 1.98425 "2023-09-22 00:40:00" "2023-09-22 00:10:00"
24000 2.12468 4.65194 1.95547 "2023-09-22 00:40:00" "2023-09-22 00:20:00"
24000 2.12468 4.65194 2.04149 "2023-09-22 00:40:00" "2023-09-22 00:30:00"
24000 2.12468 4.65194 2.10972 "2023-09-22 00:40:00" "2023-09-22 00:40:00"
24600 2.19490 4.59592 2.08798 "2023-09-22 00:50:00" "2023-09-22 00:00:00"
24600 2.19490 4.59592 1.99297 "2023-09-22 00:50:00" "2023-09-22 00:10:00"
24600 2.19490 4.59592 1.95981 "2023-09-22 00:50:00" "2023-09-22 00:20:00"
24600 2.19490 4.59592 2.06761 "2023-09-22 00:50:00" "2023-09-22 00:30:00"
24600 2.19490 4.59592 2.19086 "2023-09-22 00:50:00" "2023-09-22 00:40:00"
24600 2.19490 4.59592 2.19830 "2023-09-22 00:50:00" "2023-09-22 00:50:00"
25200 2.24281 4.53270 1.98312 "2023-09-22 01:00:00" "2023-09-22 00:10:00"
25200 2.24281 4.53270 1.94662 "2023-09-22 01:00:00" "2023-09-22 00:20:00"
25200 2.24281 4.53270 2.06977 "2023-09-22 01:00:00" "2023-09-22 00:30:00"
25200 2.24281 4.53270 2.23018 "2023-09-22 01:00:00" "2023-09-22 00:40:00"
25200 2.24281 4.53270 2.24430 "2023-09-22 01:00:00" "2023-09-22 00:50:00"
25200 2.24281 4.53270 2.23166 "2023-09-22 01:00:00" "2023-09-22 01:00:00"
25800 2.28697 4.49763 1.94446 "2023-09-22 01:10:00" "2023-09-22 00:20:00"
25800 2.28697 4.49763 2.07961 "2023-09-22 01:10:00" "2023-09-22 00:30:00"
25800 2.28697 4.49763 2.26512 "2023-09-22 01:10:00" "2023-09-22 00:40:00"
25800 2.28697 4.49763 2.28548 "2023-09-22 01:10:00" "2023-09-22 00:50:00"
25800 2.28697 4.49763 2.26463 "2023-09-22 01:10:00" "2023-09-22 01:00:00"
25800 2.28697 4.49763 2.27434 "2023-09-22 01:10:00" "2023-09-22 01:10:00"
26400 2.29440 4.46696 2.07830 "2023-09-22 01:20:00" "2023-09-22 00:30:00"
26400 2.29440 4.46696 2.28407 "2023-09-22 01:20:00" "2023-09-22 00:40:00"
26400 2.29440 4.46696 2.30825 "2023-09-22 01:20:00" "2023-09-22 00:50:00"
26400 2.29440 4.46696 2.28308 "2023-09-22 01:20:00" "2023-09-22 01:00:00"
26400 2.29440 4.46696 2.29584 "2023-09-22 01:20:00" "2023-09-22 01:10:00"
26400 2.29440 4.46696 2.29344 "2023-09-22 01:20:00" "2023-09-22 01:20:00"
27000 2.30012 4.44975 2.28050 "2023-09-22 01:30:00" "2023-09-22 00:40:00"
27000 2.30012 4.44975 2.30703 "2023-09-22 01:30:00" "2023-09-22 00:50:00"
27000 2.30012 4.44975 2.27885 "2023-09-22 01:30:00" "2023-09-22 01:00:00"
27000 2.30012 4.44975 2.29475 "2023-09-22 01:30:00" "2023-09-22 01:10:00"
27000 2.30012 4.44975 2.29556 "2023-09-22 01:30:00" "2023-09-22 01:20:00"
27000 2.30012 4.44975 2.30598 "2023-09-22 01:30:00" "2023-09-22 01:30:00"
27600 2.21856 4.44392 2.31921 "2023-09-22 01:40:00" "2023-09-22 00:50:00"
27600 2.21856 4.44392 2.28872 "2023-09-22 01:40:00" "2023-09-22 01:00:00"
27600 2.21856 4.44392 2.30662 "2023-09-22 01:40:00" "2023-09-22 01:10:00"
27600 2.21856 4.44392 2.30976 "2023-09-22 01:40:00" "2023-09-22 01:20:00"
27600 2.21856 4.44392 2.35024 "2023-09-22 01:40:00" "2023-09-22 01:30:00"
27600 2.21856 4.44392 2.21281 "2023-09-22 01:40:00" "2023-09-22 01:40:00"
28200 2.31784 4.43585 2.30586 "2023-09-22 01:50:00" "2023-09-22 01:00:00"
28200 2.31784 4.43585 2.32492 "2023-09-22 01:50:00" "2023-09-22 01:10:00"
28200 2.31784 4.43585 2.32955 "2023-09-22 01:50:00" "2023-09-22 01:20:00"
28200 2.31784 4.43585 2.38875 "2023-09-22 01:50:00" "2023-09-22 01:30:00"
28200 2.31784 4.43585 2.15118 "2023-09-22 01:50:00" "2023-09-22 01:40:00"
28200 2.31784 4.43585 2.29901 "2023-09-22 01:50:00" "2023-09-22 01:50:00"
28800 2.42572 4.40493 2.34749 "2023-09-22 02:00:00" "2023-09-22 01:10:00"
28800 2.42572 4.40493 2.35191 "2023-09-22 02:00:00" "2023-09-22 01:20:00"
28800 2.42572 4.40493 2.42284 "2023-09-22 02:00:00" "2023-09-22 01:30:00"
28800 2.42572 4.40493 2.12118 "2023-09-22 02:00:00" "2023-09-22 01:40:00"
