20230930
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY "AR_WIND_DIRECTION (°)_VX" "AR_WIND_DIRECTION (°)_VY" Date_of_forecast Date_of_computing
18000 -0.15898 -0.98675 0.00804 -0.99997 -0.15272 -0.98827 "2023-09-30 11:00:00" "2023-09-30 11:00:00"
18600 -0.17680 -0.98348 0.00479 -0.99999 -0.15416 -0.98805 "2023-09-30 11:10:00" "2023-09-30 11:00:00"
18600 -0.17680 -0.98348 0.00479 -0.99999 -0.16638 -0.98606 "2023-09-30 11:10:00" "2023-09-30 11:10:00"
19200 -0.19074 -0.98082 -0.00239 -1.00000 -0.15224 -0.98834 "2023-09-30 11:20:00" "2023-09-30 11:00:00"
19200 -0.19074 -0.98082 -0.00239 -1.00000 -0.17078 -0.98531 "2023-09-30 11:20:00" "2023-09-30 11:10:00"
19200 -0.19074 -0.98082 -0.00239 -1.00000 -0.17859 -0.98392 "2023-09-30 11:20:00" "2023-09-30 11:20:00"
19800 -0.19868 -0.97912 -0.00085 -1.00000 -0.14760 -0.98904 "2023-09-30 11:30:00" "2023-09-30 11:00:00"
19800 -0.19868 -0.97912 -0.00085 -1.00000 -0.17238 -0.98503 "2023-09-30 11:30:00" "2023-09-30 11:10:00"
19800 -0.19868 -0.97912 -0.00085 -1.00000 -0.18300 -0.98311 "2023-09-30 11:30:00" "2023-09-30 11:20:00"
19800 -0.19868 -0.97912 -0.00085 -1.00000 -0.18806 -0.98216 "2023-09-30 11:30:00" "2023-09-30 11:30:00"
20400 -0.21269 -0.97616 0.00875 -0.99996 -0.14379 -0.98961 "2023-09-30 11:40:00" "2023-09-30 11:00:00"
20400 -0.21269 -0.97616 0.00875 -0.99996 -0.17312 -0.98490 "2023-09-30 11:40:00" "2023-09-30 11:10:00"
20400 -0.21269 -0.97616 0.00875 -0.99996 -0.18657 -0.98244 "2023-09-30 11:40:00" "2023-09-30 11:20:00"
20400 -0.21269 -0.97616 0.00875 -0.99996 -0.19423 -0.98095 "2023-09-30 11:40:00" "2023-09-30 11:30:00"
20400 -0.21269 -0.97616 0.00875 -0.99996 -0.17916 -0.98382 "2023-09-30 11:40:00" "2023-09-30 11:40:00"
21000 -0.21793 -0.97507 0.03246 -0.99947 -0.14121 -0.98998 "2023-09-30 11:50:00" "2023-09-30 11:00:00"
21000 -0.21793 -0.97507 0.03246 -0.99947 -0.17419 -0.98471 "2023-09-30 11:50:00" "2023-09-30 11:10:00"
21000 -0.21793 -0.97507 0.03246 -0.99947 -0.18960 -0.98186 "2023-09-30 11:50:00" "2023-09-30 11:20:00"
21000 -0.21793 -0.97507 0.03246 -0.99947 -0.19989 -0.97982 "2023-09-30 11:50:00" "2023-09-30 11:30:00"
21000 -0.21793 -0.97507 0.03246 -0.99947 -0.17631 -0.98433 "2023-09-30 11:50:00" "2023-09-30 11:40:00"
21000 -0.21793 -0.97507 0.03246 -0.99947 -0.15009 -0.98864 "2023-09-30 11:50:00" "2023-09-30 11:50:00"
21600 -0.20745 -0.97619 0.04414 -0.99903 -0.17432 -0.98469 "2023-09-30 12:00:00" "2023-09-30 11:10:00"
21600 -0.20745 -0.97619 0.04414 -0.99903 -0.19130 -0.98153 "2023-09-30 12:00:00" "2023-09-30 11:20:00"
21600 -0.20745 -0.97619 0.04414 -0.99903 -0.20361 -0.97905 "2023-09-30 12:00:00" "2023-09-30 11:30:00"
21600 -0.20745 -0.97619 0.04414 -0.99903 -0.17304 -0.98491 "2023-09-30 12:00:00" "2023-09-30 11:40:00"
21600 -0.20745 -0.97619 0.04414 -0.99903 -0.12784 -0.99178 "2023-09-30 12:00:00" "2023-09-30 11:50:00"
