20230920
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY persistence_WD_VX persistence_WD_VY Date_of_forecast Date_of_computing
24000 -0.12455 -0.98935 -0.03126 -0.99951 -0.11146 -0.99367 "2023-09-20 12:40:00" "2023-09-20 11:50:00"
24000 -0.12455 -0.98935 -0.03126 -0.99951 -0.13214 -0.99043 "2023-09-20 12:40:00" "2023-09-20 12:00:00"
24000 -0.12455 -0.98935 -0.03126 -0.99951 -0.14081 -0.98941 "2023-09-20 12:40:00" "2023-09-20 12:10:00"
24000 -0.12455 -0.98935 -0.03126 -0.99951 -0.07145 -0.99670 "2023-09-20 12:40:00" "2023-09-20 12:20:00"
24000 -0.12455 -0.98935 -0.03126 -0.99951 -0.20274 -0.97901 "2023-09-20 12:40:00" "2023-09-20 12:30:00"
24000 -0.12455 -0.98935 -0.03126 -0.99951 -0.19931 -0.97965 "2023-09-20 12:40:00" "2023-09-20 12:40:00"
24600 -0.12660 -0.98920 -0.02388 -0.99971 -0.13214 -0.99043 "2023-09-20 12:50:00" "2023-09-20 12:00:00"
24600 -0.12660 -0.98920 -0.02388 -0.99971 -0.14081 -0.98941 "2023-09-20 12:50:00" "2023-09-20 12:10:00"
24600 -0.12660 -0.98920 -0.02388 -0.99971 -0.07145 -0.99670 "2023-09-20 12:50:00" "2023-09-20 12:20:00"
24600 -0.12660 -0.98920 -0.02388 -0.99971 -0.20274 -0.97901 "2023-09-20 12:50:00" "2023-09-20 12:30:00"
24600 -0.12660 -0.98920 -0.02388 -0.99971 -0.19931 -0.97965 "2023-09-20 12:50:00" "2023-09-20 12:40:00"
24600 -0.12660 -0.98920 -0.02388 -0.99971 -0.15806 -0.98680 "2023-09-20 12:50:00" "2023-09-20 12:50:00"
25200 -0.10920 -0.99168 -0.00626 -0.99998 -0.14081 -0.98941 "2023-09-20 13:00:00" "2023-09-20 12:10:00"
25200 -0.10920 -0.99168 -0.00626 -0.99998 -0.07145 -0.99670 "2023-09-20 13:00:00" "2023-09-20 12:20:00"
25200 -0.10920 -0.99168 -0.00626 -0.99998 -0.20274 -0.97901 "2023-09-20 13:00:00" "2023-09-20 12:30:00"
25200 -0.10920 -0.99168 -0.00626 -0.99998 -0.19931 -0.97965 "2023-09-20 13:00:00" "2023-09-20 12:40:00"
25200 -0.10920 -0.99168 -0.00626 -0.99998 -0.15806 -0.98680 "2023-09-20 13:00:00" "2023-09-20 12:50:00"
25200 -0.10920 -0.99168 -0.00626 -0.99998 -0.09061 -0.99568 "2023-09-20 13:00:00" "2023-09-20 13:00:00"
25800 -0.09907 -0.99309 0.01504 -0.99989 -0.07145 -0.99670 "2023-09-20 13:10:00" "2023-09-20 12:20:00"
25800 -0.09907 -0.99309 0.01504 -0.99989 -0.20274 -0.97901 "2023-09-20 13:10:00" "2023-09-20 12:30:00"
25800 -0.09907 -0.99309 0.01504 -0.99989 -0.19931 -0.97965 "2023-09-20 13:10:00" "2023-09-20 12:40:00"
25800 -0.09907 -0.99309 0.01504 -0.99989 -0.15806 -0.98680 "2023-09-20 13:10:00" "2023-09-20 12:50:00"
25800 -0.09907 -0.99309 0.01504 -0.99989 -0.09061 -0.99568 "2023-09-20 13:10:00" "2023-09-20 13:00:00"
25800 -0.09907 -0.99309 0.01504 -0.99989 -0.01395 -0.99924 "2023-09-20 13:10:00" "2023-09-20 13:10:00"
26400 -0.10464 -0.99209 0.02933 -0.99957 -0.20274 -0.97901 "2023-09-20 13:20:00" "2023-09-20 12:30:00"
26400 -0.10464 -0.99209 0.02933 -0.99957 -0.19931 -0.97965 "2023-09-20 13:20:00" "2023-09-20 12:40:00"
26400 -0.10464 -0.99209 0.02933 -0.99957 -0.15806 -0.98680 "2023-09-20 13:20:00" "2023-09-20 12:50:00"
26400 -0.10464 -0.99209 0.02933 -0.99957 -0.09061 -0.99568 "2023-09-20 13:20:00" "2023-09-20 13:00:00"
26400 -0.10464 -0.99209 0.02933 -0.99957 -0.01395 -0.99924 "2023-09-20 13:20:00" "2023-09-20 13:10:00"
26400 -0.10464 -0.99209 0.02933 -0.99957 -0.10614 -0.99317 "2023-09-20 13:20:00" "2023-09-20 13:20:00"
27000 -0.11123 -0.99142 0.08846 -0.99608 -0.19931 -0.97965 "2023-09-20 13:30:00" "2023-09-20 12:40:00"
27000 -0.11123 -0.99142 0.08846 -0.99608 -0.15806 -0.98680 "2023-09-20 13:30:00" "2023-09-20 12:50:00"
27000 -0.11123 -0.99142 0.08846 -0.99608 -0.09061 -0.99568 "2023-09-20 13:30:00" "2023-09-20 13:00:00"
27000 -0.11123 -0.99142 0.08846 -0.99608 -0.01395 -0.99924 "2023-09-20 13:30:00" "2023-09-20 13:10:00"
27000 -0.11123 -0.99142 0.08846 -0.99608 -0.10614 -0.99317 "2023-09-20 13:30:00" "2023-09-20 13:20:00"
27000 -0.11123 -0.99142 0.08846 -0.99608 -0.13545 -0.98879 "2023-09-20 13:30:00" "2023-09-20 13:30:00"
27600 -0.10858 -0.99161 0.12914 -0.99163 -0.15806 -0.98680 "2023-09-20 13:40:00" "2023-09-20 12:50:00"
27600 -0.10858 -0.99161 0.12914 -0.99163 -0.09061 -0.99568 "2023-09-20 13:40:00" "2023-09-20 13:00:00"
27600 -0.10858 -0.99161 0.12914 -0.99163 -0.01395 -0.99924 "2023-09-20 13:40:00" "2023-09-20 13:10:00"
27600 -0.10858 -0.99161 0.12914 -0.99163 -0.10614 -0.99317 "2023-09-20 13:40:00" "2023-09-20 13:20:00"
27600 -0.10858 -0.99161 0.12914 -0.99163 -0.13545 -0.98879 "2023-09-20 13:40:00" "2023-09-20 13:30:00"
27600 -0.10858 -0.99161 0.12914 -0.99163 -0.10603 -0.99227 "2023-09-20 13:40:00" "2023-09-20 13:40:00"
28200 -0.09144 -0.99292 0.16859 -0.98569 -0.09061 -0.99568 "2023-09-20 13:50:00" "2023-09-20 13:00:00"
28200 -0.09144 -0.99292 0.16859 -0.98569 -0.01395 -0.99924 "2023-09-20 13:50:00" "2023-09-20 13:10:00"
28200 -0.09144 -0.99292 0.16859 -0.98569 -0.10614 -0.99317 "2023-09-20 13:50:00" "2023-09-20 13:20:00"
28200 -0.09144 -0.99292 0.16859 -0.98569 -0.13545 -0.98879 "2023-09-20 13:50:00" "2023-09-20 13:30:00"
28200 -0.09144 -0.99292 0.16859 -0.98569 -0.10603 -0.99227 "2023-09-20 13:50:00" "2023-09-20 13:40:00"
28200 -0.09144 -0.99292 0.16859 -0.98569 -0.15109 -0.98741 "2023-09-20 13:50:00" "2023-09-20 13:50:00"
