20230928
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY persistence_WD_VX persistence_WD_VY Date_of_forecast Date_of_computing
18000 -0.50550 -0.86127 -0.37744 -0.92604 -0.49641 -0.86676 "2023-09-28 11:00:00" "2023-09-28 11:00:00"
18600 -0.51126 -0.85759 -0.40628 -0.91375 -0.49641 -0.86676 "2023-09-28 11:10:00" "2023-09-28 11:00:00"
18600 -0.51126 -0.85759 -0.40628 -0.91375 -0.47506 -0.87863 "2023-09-28 11:10:00" "2023-09-28 11:10:00"
19200 -0.51515 -0.85492 -0.43998 -0.89801 -0.49641 -0.86676 "2023-09-28 11:20:00" "2023-09-28 11:00:00"
19200 -0.51515 -0.85492 -0.43998 -0.89801 -0.47506 -0.87863 "2023-09-28 11:20:00" "2023-09-28 11:10:00"
19200 -0.51515 -0.85492 -0.43998 -0.89801 -0.47383 -0.87999 "2023-09-28 11:20:00" "2023-09-28 11:20:00"
19800 -0.53559 -0.84184 -0.48230 -0.87601 -0.49641 -0.86676 "2023-09-28 11:30:00" "2023-09-28 11:00:00"
19800 -0.53559 -0.84184 -0.48230 -0.87601 -0.47506 -0.87863 "2023-09-28 11:30:00" "2023-09-28 11:10:00"
19800 -0.53559 -0.84184 -0.48230 -0.87601 -0.47383 -0.87999 "2023-09-28 11:30:00" "2023-09-28 11:20:00"
19800 -0.53559 -0.84184 -0.48230 -0.87601 -0.50132 -0.86482 "2023-09-28 11:30:00" "2023-09-28 11:30:00"
20400 -0.56525 -0.82128 -0.51211 -0.85892 -0.49641 -0.86676 "2023-09-28 11:40:00" "2023-09-28 11:00:00"
20400 -0.56525 -0.82128 -0.51211 -0.85892 -0.47506 -0.87863 "2023-09-28 11:40:00" "2023-09-28 11:10:00"
20400 -0.56525 -0.82128 -0.51211 -0.85892 -0.47383 -0.87999 "2023-09-28 11:40:00" "2023-09-28 11:20:00"
20400 -0.56525 -0.82128 -0.51211 -0.85892 -0.50132 -0.86482 "2023-09-28 11:40:00" "2023-09-28 11:30:00"
20400 -0.56525 -0.82128 -0.51211 -0.85892 -0.54743 -0.83657 "2023-09-28 11:40:00" "2023-09-28 11:40:00"
