20230920
Seconds MEASURES_glf(%) MNH_GLF(%) "AR_GLF (%)" Date_of_forecast Date_of_computing
20400 29.51054 47.90181 30.05990 "2023-09-20 23:40:00" "2023-09-20 23:40:00"
21000 29.46400 48.26809 31.02957 "2023-09-20 23:50:00" "2023-09-20 23:40:00"
21000 29.46400 48.26809 29.94645 "2023-09-20 23:50:00" "2023-09-20 23:50:00"
21600 29.40885 47.73000 32.52251 "2023-09-21 00:00:00" "2023-09-20 23:40:00"
21600 29.40885 47.73000 30.85241 "2023-09-21 00:00:00" "2023-09-20 23:50:00"
21600 29.40885 47.73000 29.24529 "2023-09-21 00:00:00" "2023-09-21 00:00:00"
22200 29.53333 46.69985 32.45201 "2023-09-21 00:10:00" "2023-09-20 23:40:00"
22200 29.53333 46.69985 30.30421 "2023-09-21 00:10:00" "2023-09-20 23:50:00"
22200 29.53333 46.69985 27.45437 "2023-09-21 00:10:00" "2023-09-21 00:00:00"
22200 29.53333 46.69985 30.43941 "2023-09-21 00:10:00" "2023-09-21 00:10:00"
22800 29.53333 44.61634 31.59739 "2023-09-21 00:20:00" "2023-09-20 23:40:00"
22800 29.53333 44.61634 29.05184 "2023-09-21 00:20:00" "2023-09-20 23:50:00"
22800 29.53333 44.61634 25.18961 "2023-09-21 00:20:00" "2023-09-21 00:00:00"
22800 29.53333 44.61634 30.32448 "2023-09-21 00:20:00" "2023-09-21 00:10:00"
22800 29.53333 44.61634 33.12825 "2023-09-21 00:20:00" "2023-09-21 00:20:00"
23400 29.04733 43.56178 30.75052 "2023-09-21 00:30:00" "2023-09-20 23:40:00"
23400 29.04733 43.56178 27.92784 "2023-09-21 00:30:00" "2023-09-20 23:50:00"
23400 29.04733 43.56178 23.19817 "2023-09-21 00:30:00" "2023-09-21 00:00:00"
23400 29.04733 43.56178 30.06293 "2023-09-21 00:30:00" "2023-09-21 00:10:00"
23400 29.04733 43.56178 34.33765 "2023-09-21 00:30:00" "2023-09-21 00:20:00"
23400 29.04733 43.56178 34.92104 "2023-09-21 00:30:00" "2023-09-21 00:30:00"
24000 29.65569 44.33987 26.66719 "2023-09-21 00:40:00" "2023-09-20 23:50:00"
24000 29.65569 44.33987 21.26713 "2023-09-21 00:40:00" "2023-09-21 00:00:00"
24000 29.65569 44.33987 29.60979 "2023-09-21 00:40:00" "2023-09-21 00:10:00"
24000 29.65569 44.33987 35.15838 "2023-09-21 00:40:00" "2023-09-21 00:20:00"
24000 29.65569 44.33987 36.25160 "2023-09-21 00:40:00" "2023-09-21 00:30:00"
24000 29.65569 44.33987 37.48269 "2023-09-21 00:40:00" "2023-09-21 00:40:00"
24600 29.77833 45.10552 18.89507 "2023-09-21 00:50:00" "2023-09-21 00:00:00"
24600 29.77833 45.10552 28.35512 "2023-09-21 00:50:00" "2023-09-21 00:10:00"
24600 29.77833 45.10552 34.96666 "2023-09-21 00:50:00" "2023-09-21 00:20:00"
24600 29.77833 45.10552 36.48417 "2023-09-21 00:50:00" "2023-09-21 00:30:00"
24600 29.77833 45.10552 38.58366 "2023-09-21 00:50:00" "2023-09-21 00:40:00"
24600 29.77833 45.10552 38.99268 "2023-09-21 00:50:00" "2023-09-21 00:50:00"
25200 31.74167 45.10731 27.51629 "2023-09-21 01:00:00" "2023-09-21 00:10:00"
25200 31.74167 45.10731 34.88249 "2023-09-21 01:00:00" "2023-09-21 00:20:00"
25200 31.74167 45.10731 36.76155 "2023-09-21 01:00:00" "2023-09-21 00:30:00"
25200 31.74167 45.10731 39.61108 "2023-09-21 01:00:00" "2023-09-21 00:40:00"
25200 31.74167 45.10731 40.43235 "2023-09-21 01:00:00" "2023-09-21 00:50:00"
25200 31.74167 45.10731 41.80451 "2023-09-21 01:00:00" "2023-09-21 01:00:00"
25800 9999.00000 45.18758 36.53838 "2023-09-21 01:10:00" "2023-09-21 00:20:00"
25800 9999.00000 45.18758 38.70126 "2023-09-21 01:10:00" "2023-09-21 00:30:00"
25800 9999.00000 45.18758 42.18491 "2023-09-21 01:10:00" "2023-09-21 00:40:00"
25800 9999.00000 45.18758 43.37353 "2023-09-21 01:10:00" "2023-09-21 00:50:00"
25800 9999.00000 45.18758 45.31046 "2023-09-21 01:10:00" "2023-09-21 01:00:00"
25800 9999.00000 45.18758 42.82036 "2023-09-21 01:10:00" "2023-09-21 01:10:00"
26400 9999.00000 46.52293 40.73275 "2023-09-21 01:20:00" "2023-09-21 00:30:00"
26400 9999.00000 46.52293 44.69754 "2023-09-21 01:20:00" "2023-09-21 00:40:00"
26400 9999.00000 46.52293 46.21044 "2023-09-21 01:20:00" "2023-09-21 00:50:00"
26400 9999.00000 46.52293 48.76017 "2023-09-21 01:20:00" "2023-09-21 01:00:00"
26400 9999.00000 46.52293 44.28548 "2023-09-21 01:20:00" "2023-09-21 01:10:00"
26400 9999.00000 46.52293 42.17545 "2023-09-21 01:20:00" "2023-09-21 01:20:00"
27000 9999.00000 47.10741 45.93604 "2023-09-21 01:30:00" "2023-09-21 00:40:00"
27000 9999.00000 47.10741 47.71403 "2023-09-21 01:30:00" "2023-09-21 00:50:00"
27000 9999.00000 47.10741 50.78518 "2023-09-21 01:30:00" "2023-09-21 01:00:00"
27000 9999.00000 47.10741 44.79395 "2023-09-21 01:30:00" "2023-09-21 01:10:00"
27000 9999.00000 47.10741 41.68439 "2023-09-21 01:30:00" "2023-09-21 01:20:00"
27000 9999.00000 47.10741 42.21176 "2023-09-21 01:30:00" "2023-09-21 01:30:00"
27600 9999.00000 47.00220 48.35690 "2023-09-21 01:40:00" "2023-09-21 00:50:00"
27600 9999.00000 47.00220 51.80920 "2023-09-21 01:40:00" "2023-09-21 01:00:00"
27600 9999.00000 47.00220 44.52826 "2023-09-21 01:40:00" "2023-09-21 01:10:00"
27600 9999.00000 47.00220 40.56365 "2023-09-21 01:40:00" "2023-09-21 01:20:00"
27600 9999.00000 47.00220 41.42343 "2023-09-21 01:40:00" "2023-09-21 01:30:00"
27600 9999.00000 47.00220 42.35368 "2023-09-21 01:40:00" "2023-09-21 01:40:00"
28200 9999.00000 46.64336 53.40900 "2023-09-21 01:50:00" "2023-09-21 01:00:00"
28200 9999.00000 46.64336 45.15634 "2023-09-21 01:50:00" "2023-09-21 01:10:00"
28200 9999.00000 46.64336 40.48364 "2023-09-21 01:50:00" "2023-09-21 01:20:00"
28200 9999.00000 46.64336 41.60904 "2023-09-21 01:50:00" "2023-09-21 01:30:00"
28200 9999.00000 46.64336 43.09047 "2023-09-21 01:50:00" "2023-09-21 01:40:00"
28200 9999.00000 46.64336 42.54507 "2023-09-21 01:50:00" "2023-09-21 01:50:00"
28800 9999.00000 47.00909 45.74333 "2023-09-21 02:00:00" "2023-09-21 01:10:00"
28800 9999.00000 47.00909 40.59236 "2023-09-21 02:00:00" "2023-09-21 01:20:00"
28800 9999.00000 47.00909 41.94135 "2023-09-21 02:00:00" "2023-09-21 01:30:00"
28800 9999.00000 47.00909 43.88509 "2023-09-21 02:00:00" "2023-09-21 01:40:00"
28800 9999.00000 47.00909 42.85285 "2023-09-21 02:00:00" "2023-09-21 01:50:00"
28800 9999.00000 47.00909 41.85273 "2023-09-21 02:00:00" "2023-09-21 02:00:00"
29400 9999.00000 46.87426 40.09162 "2023-09-21 02:10:00" "2023-09-21 01:20:00"
29400 9999.00000 46.87426 41.59996 "2023-09-21 02:10:00" "2023-09-21 01:30:00"
29400 9999.00000 46.87426 43.93360 "2023-09-21 02:10:00" "2023-09-21 01:40:00"
29400 9999.00000 46.87426 42.55283 "2023-09-21 02:10:00" "2023-09-21 01:50:00"
29400 9999.00000 46.87426 41.24759 "2023-09-21 02:10:00" "2023-09-21 02:00:00"
29400 9999.00000 46.87426 42.02193 "2023-09-21 02:10:00" "2023-09-21 02:10:00"
30000 36.13333 46.68686 40.77768 "2023-09-21 02:20:00" "2023-09-21 01:30:00"
30000 36.13333 46.68686 43.39498 "2023-09-21 02:20:00" "2023-09-21 01:40:00"
30000 36.13333 46.68686 41.72141 "2023-09-21 02:20:00" "2023-09-21 01:50:00"
30000 36.13333 46.68686 40.08605 "2023-09-21 02:20:00" "2023-09-21 02:00:00"
30000 36.13333 46.68686 41.08275 "2023-09-21 02:20:00" "2023-09-21 02:10:00"
