20230920
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
20400 29.51054 47.90181 29.70000 "2023-09-20 23:40:00" "2023-09-20 23:40:00"
21000 29.46400 48.26809 29.70000 "2023-09-20 23:50:00" "2023-09-20 23:40:00"
21000 29.46400 48.26809 28.90000 "2023-09-20 23:50:00" "2023-09-20 23:50:00"
21000 29.46400 48.26809 29.70000 "2023-09-20 23:50:00" "2023-09-20 23:40:00"
21000 29.46400 48.26809 28.90000 "2023-09-20 23:50:00" "2023-09-20 23:50:00"
21600 29.40885 47.73000 29.70000 "2023-09-21 00:00:00" "2023-09-20 23:40:00"
21600 29.40885 47.73000 28.90000 "2023-09-21 00:00:00" "2023-09-20 23:50:00"
21600 29.40885 47.73000 30.20000 "2023-09-21 00:00:00" "2023-09-21 00:00:00"
21600 29.40885 47.73000 29.70000 "2023-09-21 00:00:00" "2023-09-20 23:40:00"
21600 29.40885 47.73000 28.90000 "2023-09-21 00:00:00" "2023-09-20 23:50:00"
21600 29.40885 47.73000 30.20000 "2023-09-21 00:00:00" "2023-09-21 00:00:00"
21600 29.40885 47.73000 29.70000 "2023-09-21 00:00:00" "2023-09-20 23:40:00"
21600 29.40885 47.73000 28.90000 "2023-09-21 00:00:00" "2023-09-20 23:50:00"
21600 29.40885 47.73000 30.20000 "2023-09-21 00:00:00" "2023-09-21 00:00:00"
22200 29.53333 46.69985 29.70000 "2023-09-21 00:10:00" "2023-09-20 23:40:00"
22200 29.53333 46.69985 28.90000 "2023-09-21 00:10:00" "2023-09-20 23:50:00"
22200 29.53333 46.69985 30.20000 "2023-09-21 00:10:00" "2023-09-21 00:00:00"
22200 29.53333 46.69985 29.65000 "2023-09-21 00:10:00" "2023-09-21 00:10:00"
22200 29.53333 46.69985 29.70000 "2023-09-21 00:10:00" "2023-09-20 23:40:00"
22200 29.53333 46.69985 28.90000 "2023-09-21 00:10:00" "2023-09-20 23:50:00"
22200 29.53333 46.69985 30.20000 "2023-09-21 00:10:00" "2023-09-21 00:00:00"
22200 29.53333 46.69985 29.65000 "2023-09-21 00:10:00" "2023-09-21 00:10:00"
22200 29.53333 46.69985 29.70000 "2023-09-21 00:10:00" "2023-09-20 23:40:00"
22200 29.53333 46.69985 28.90000 "2023-09-21 00:10:00" "2023-09-20 23:50:00"
22200 29.53333 46.69985 30.20000 "2023-09-21 00:10:00" "2023-09-21 00:00:00"
22200 29.53333 46.69985 29.65000 "2023-09-21 00:10:00" "2023-09-21 00:10:00"
22200 29.53333 46.69985 29.70000 "2023-09-21 00:10:00" "2023-09-20 23:40:00"
22200 29.53333 46.69985 28.90000 "2023-09-21 00:10:00" "2023-09-20 23:50:00"
22200 29.53333 46.69985 30.20000 "2023-09-21 00:10:00" "2023-09-21 00:00:00"
22200 29.53333 46.69985 29.65000 "2023-09-21 00:10:00" "2023-09-21 00:10:00"
22800 29.53333 44.61634 29.70000 "2023-09-21 00:20:00" "2023-09-20 23:40:00"
22800 29.53333 44.61634 28.90000 "2023-09-21 00:20:00" "2023-09-20 23:50:00"
22800 29.53333 44.61634 30.20000 "2023-09-21 00:20:00" "2023-09-21 00:00:00"
22800 29.53333 44.61634 29.65000 "2023-09-21 00:20:00" "2023-09-21 00:10:00"
22800 29.53333 44.61634 9999.00000 "2023-09-21 00:20:00" "2023-09-21 00:20:00"
22800 29.53333 44.61634 29.70000 "2023-09-21 00:20:00" "2023-09-20 23:40:00"
22800 29.53333 44.61634 28.90000 "2023-09-21 00:20:00" "2023-09-20 23:50:00"
22800 29.53333 44.61634 30.20000 "2023-09-21 00:20:00" "2023-09-21 00:00:00"
22800 29.53333 44.61634 29.65000 "2023-09-21 00:20:00" "2023-09-21 00:10:00"
22800 29.53333 44.61634 9999.00000 "2023-09-21 00:20:00" "2023-09-21 00:20:00"
22800 29.53333 44.61634 29.70000 "2023-09-21 00:20:00" "2023-09-20 23:40:00"
22800 29.53333 44.61634 28.90000 "2023-09-21 00:20:00" "2023-09-20 23:50:00"
22800 29.53333 44.61634 30.20000 "2023-09-21 00:20:00" "2023-09-21 00:00:00"
22800 29.53333 44.61634 29.65000 "2023-09-21 00:20:00" "2023-09-21 00:10:00"
22800 29.53333 44.61634 9999.00000 "2023-09-21 00:20:00" "2023-09-21 00:20:00"
22800 29.53333 44.61634 29.70000 "2023-09-21 00:20:00" "2023-09-20 23:40:00"
22800 29.53333 44.61634 28.90000 "2023-09-21 00:20:00" "2023-09-20 23:50:00"
22800 29.53333 44.61634 30.20000 "2023-09-21 00:20:00" "2023-09-21 00:00:00"
22800 29.53333 44.61634 29.65000 "2023-09-21 00:20:00" "2023-09-21 00:10:00"
22800 29.53333 44.61634 9999.00000 "2023-09-21 00:20:00" "2023-09-21 00:20:00"
22800 29.53333 44.61634 29.70000 "2023-09-21 00:20:00" "2023-09-20 23:40:00"
22800 29.53333 44.61634 28.90000 "2023-09-21 00:20:00" "2023-09-20 23:50:00"
