20230902
Seconds MEASURES_glf(%) MNH_GLF(%) "AR_GLF (%)" Date_of_forecast Date_of_computing
31200 70.88286 69.19676 76.69377 "2023-09-03 02:40:00" "2023-09-03 02:00:00"
31200 70.88286 69.19676 75.03629 "2023-09-03 02:40:00" "2023-09-03 02:10:00"
31200 70.88286 69.19676 70.89575 "2023-09-03 02:40:00" "2023-09-03 02:20:00"
31200 70.88286 69.19676 70.95095 "2023-09-03 02:40:00" "2023-09-03 02:30:00"
31200 70.88286 69.19676 71.74299 "2023-09-03 02:40:00" "2023-09-03 02:40:00"
31800 70.44229 68.27547 75.16180 "2023-09-03 02:50:00" "2023-09-03 02:00:00"
31800 70.44229 68.27547 73.40935 "2023-09-03 02:50:00" "2023-09-03 02:10:00"
31800 70.44229 68.27547 68.68421 "2023-09-03 02:50:00" "2023-09-03 02:20:00"
31800 70.44229 68.27547 68.77608 "2023-09-03 02:50:00" "2023-09-03 02:30:00"
31800 70.44229 68.27547 70.41219 "2023-09-03 02:50:00" "2023-09-03 02:40:00"
31800 70.44229 68.27547 70.05850 "2023-09-03 02:50:00" "2023-09-03 02:50:00"
32400 69.64363 66.87217 72.34010 "2023-09-03 03:00:00" "2023-09-03 02:10:00"
32400 69.64363 66.87217 67.29060 "2023-09-03 03:00:00" "2023-09-03 02:20:00"
32400 69.64363 66.87217 67.42793 "2023-09-03 03:00:00" "2023-09-03 02:30:00"
32400 69.64363 66.87217 69.58465 "2023-09-03 03:00:00" "2023-09-03 02:40:00"
32400 69.64363 66.87217 68.98509 "2023-09-03 03:00:00" "2023-09-03 02:50:00"
32400 69.64363 66.87217 69.59926 "2023-09-03 03:00:00" "2023-09-03 03:00:00"
33000 68.74783 65.92867 66.31532 "2023-09-03 03:10:00" "2023-09-03 02:20:00"
33000 68.74783 65.92867 66.47046 "2023-09-03 03:10:00" "2023-09-03 02:30:00"
33000 68.74783 65.92867 69.02566 "2023-09-03 03:10:00" "2023-09-03 02:40:00"
33000 68.74783 65.92867 68.22155 "2023-09-03 03:10:00" "2023-09-03 02:50:00"
33000 68.74783 65.92867 68.81241 "2023-09-03 03:10:00" "2023-09-03 03:00:00"
33000 68.74783 65.92867 69.00618 "2023-09-03 03:10:00" "2023-09-03 03:10:00"
33600 68.79589 64.42903 65.75294 "2023-09-03 03:20:00" "2023-09-03 02:30:00"
33600 68.79589 64.42903 68.51802 "2023-09-03 03:20:00" "2023-09-03 02:40:00"
33600 68.79589 64.42903 67.54532 "2023-09-03 03:20:00" "2023-09-03 02:50:00"
33600 68.79589 64.42903 68.16484 "2023-09-03 03:20:00" "2023-09-03 03:00:00"
33600 68.79589 64.42903 68.52802 "2023-09-03 03:20:00" "2023-09-03 03:10:00"
33600 68.79589 64.42903 68.53941 "2023-09-03 03:20:00" "2023-09-03 03:20:00"
34200 70.54171 63.89596 67.65738 "2023-09-03 03:30:00" "2023-09-03 02:40:00"
34200 70.54171 63.89596 66.60101 "2023-09-03 03:30:00" "2023-09-03 02:50:00"
34200 70.54171 63.89596 67.16272 "2023-09-03 03:30:00" "2023-09-03 03:00:00"
34200 70.54171 63.89596 67.60933 "2023-09-03 03:30:00" "2023-09-03 03:10:00"
34200 70.54171 63.89596 67.59815 "2023-09-03 03:30:00" "2023-09-03 03:20:00"
34200 70.54171 63.89596 68.61625 "2023-09-03 03:30:00" "2023-09-03 03:30:00"
34800 70.34906 62.35157 65.78231 "2023-09-03 03:40:00" "2023-09-03 02:50:00"
34800 70.34906 62.35157 66.32497 "2023-09-03 03:40:00" "2023-09-03 03:00:00"
34800 70.34906 62.35157 66.82158 "2023-09-03 03:40:00" "2023-09-03 03:10:00"
34800 70.34906 62.35157 66.78279 "2023-09-03 03:40:00" "2023-09-03 03:20:00"
34800 70.34906 62.35157 68.23473 "2023-09-03 03:40:00" "2023-09-03 03:30:00"
34800 70.34906 62.35157 67.93721 "2023-09-03 03:40:00" "2023-09-03 03:40:00"
35400 67.84151 62.59943 65.02067 "2023-09-03 03:50:00" "2023-09-03 03:00:00"
35400 67.84151 62.59943 65.54742 "2023-09-03 03:50:00" "2023-09-03 03:10:00"
35400 67.84151 62.59943 65.47922 "2023-09-03 03:50:00" "2023-09-03 03:20:00"
35400 67.84151 62.59943 67.28412 "2023-09-03 03:50:00" "2023-09-03 03:30:00"
35400 67.84151 62.59943 66.51184 "2023-09-03 03:50:00" "2023-09-03 03:40:00"
35400 67.84151 62.59943 64.71927 "2023-09-03 03:50:00" "2023-09-03 03:50:00"
36000 55.95825 65.09591 64.75165 "2023-09-03 04:00:00" "2023-09-03 03:10:00"
36000 55.95825 65.09591 64.66825 "2023-09-03 04:00:00" "2023-09-03 03:20:00"
36000 55.95825 65.09591 66.68159 "2023-09-03 04:00:00" "2023-09-03 03:30:00"
36000 55.95825 65.09591 65.58418 "2023-09-03 04:00:00" "2023-09-03 03:40:00"
36000 55.95825 65.09591 63.31799 "2023-09-03 04:00:00" "2023-09-03 03:50:00"
36000 55.95825 65.09591 59.55775 "2023-09-03 04:00:00" "2023-09-03 04:00:00"
36600 47.88571 67.49682 63.49294 "2023-09-03 04:10:00" "2023-09-03 03:20:00"
36600 47.88571 67.49682 65.62803 "2023-09-03 04:10:00" "2023-09-03 03:30:00"
36600 47.88571 67.49682 64.23318 "2023-09-03 04:10:00" "2023-09-03 03:40:00"
36600 47.88571 67.49682 61.43811 "2023-09-03 04:10:00" "2023-09-03 03:50:00"
36600 47.88571 67.49682 55.94023 "2023-09-03 04:10:00" "2023-09-03 04:00:00"
36600 47.88571 67.49682 53.75582 "2023-09-03 04:10:00" "2023-09-03 04:10:00"
37200 50.94685 68.65013 65.15175 "2023-09-03 04:20:00" "2023-09-03 03:30:00"
37200 50.94685 68.65013 63.61407 "2023-09-03 04:20:00" "2023-09-03 03:40:00"
37200 50.94685 68.65013 60.51568 "2023-09-03 04:20:00" "2023-09-03 03:50:00"
37200 50.94685 68.65013 53.59133 "2023-09-03 04:20:00" "2023-09-03 04:00:00"
37200 50.94685 68.65013 50.04282 "2023-09-03 04:20:00" "2023-09-03 04:10:00"
37200 50.94685 68.65013 52.72558 "2023-09-03 04:20:00" "2023-09-03 04:20:00"
37800 51.67778 67.61150 65.39048 "2023-09-03 04:30:00" "2023-09-03 03:40:00"
37800 51.67778 67.61150 62.11457 "2023-09-03 04:30:00" "2023-09-03 03:50:00"
37800 51.67778 67.61150 54.27675 "2023-09-03 04:30:00" "2023-09-03 04:00:00"
37800 51.67778 67.61150 49.55979 "2023-09-03 04:30:00" "2023-09-03 04:10:00"
37800 51.67778 67.61150 53.73904 "2023-09-03 04:30:00" "2023-09-03 04:20:00"
37800 51.67778 67.61150 52.70961 "2023-09-03 04:30:00" "2023-09-03 04:30:00"
38400 49.95028 67.54641 64.66707 "2023-09-03 04:40:00" "2023-09-03 03:50:00"
38400 49.95028 67.54641 56.30986 "2023-09-03 04:40:00" "2023-09-03 04:00:00"
38400 49.95028 67.54641 50.67435 "2023-09-03 04:40:00" "2023-09-03 04:10:00"
38400 49.95028 67.54641 55.95335 "2023-09-03 04:40:00" "2023-09-03 04:20:00"
38400 49.95028 67.54641 53.76762 "2023-09-03 04:40:00" "2023-09-03 04:30:00"
38400 49.95028 67.54641 52.59635 "2023-09-03 04:40:00" "2023-09-03 04:40:00"
39000 50.33619 67.39961 57.84718 "2023-09-03 04:50:00" "2023-09-03 04:00:00"
39000 50.33619 67.39961 51.74226 "2023-09-03 04:50:00" "2023-09-03 04:10:00"
39000 50.33619 67.39961 57.74017 "2023-09-03 04:50:00" "2023-09-03 04:20:00"
39000 50.33619 67.39961 54.81267 "2023-09-03 04:50:00" "2023-09-03 04:30:00"
39000 50.33619 67.39961 53.11854 "2023-09-03 04:50:00" "2023-09-03 04:40:00"
39000 50.33619 67.39961 54.63767 "2023-09-03 04:50:00" "2023-09-03 04:50:00"
39600 51.84067 64.67314 51.18260 "2023-09-03 05:00:00" "2023-09-03 04:10:00"
39600 51.84067 64.67314 57.57481 "2023-09-03 05:00:00" "2023-09-03 04:20:00"
39600 51.84067 64.67314 54.05590 "2023-09-03 05:00:00" "2023-09-03 04:30:00"
39600 51.84067 64.67314 51.96087 "2023-09-03 05:00:00" "2023-09-03 04:40:00"
39600 51.84067 64.67314 54.51929 "2023-09-03 05:00:00" "2023-09-03 04:50:00"
39600 51.84067 64.67314 58.22224 "2023-09-03 05:00:00" "2023-09-03 05:00:00"
40200 60.18333 62.28152 57.74068 "2023-09-03 05:10:00" "2023-09-03 04:20:00"
40200 60.18333 62.28152 53.91518 "2023-09-03 05:10:00" "2023-09-03 04:30:00"
40200 60.18333 62.28152 51.58779 "2023-09-03 05:10:00" "2023-09-03 04:40:00"
40200 60.18333 62.28152 54.92674 "2023-09-03 05:10:00" "2023-09-03 04:50:00"
40200 60.18333 62.28152 60.53631 "2023-09-03 05:10:00" "2023-09-03 05:00:00"
40200 60.18333 62.28152 64.18749 "2023-09-03 05:10:00" "2023-09-03 05:10:00"
