20230907
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "PERSISTENCE("")" Date_of_forecast Date_of_computing
18600 0.73505 0.65413 0.70560 "2023-09-07 23:10:00" "2023-09-07 23:10:00"
19200 0.73800 0.64669 0.70560 "2023-09-07 23:20:00" "2023-09-07 23:10:00"
19200 0.73800 0.64669 0.75825 "2023-09-07 23:20:00" "2023-09-07 23:20:00"
19200 0.73800 0.64669 0.70560 "2023-09-07 23:20:00" "2023-09-07 23:10:00"
19200 0.73800 0.64669 0.75825 "2023-09-07 23:20:00" "2023-09-07 23:20:00"
19800 0.73264 0.63042 0.70560 "2023-09-07 23:30:00" "2023-09-07 23:10:00"
19800 0.73264 0.63042 0.75825 "2023-09-07 23:30:00" "2023-09-07 23:20:00"
19800 0.73264 0.63042 0.62000 "2023-09-07 23:30:00" "2023-09-07 23:30:00"
19800 0.73264 0.63042 0.70560 "2023-09-07 23:30:00" "2023-09-07 23:10:00"
19800 0.73264 0.63042 0.75825 "2023-09-07 23:30:00" "2023-09-07 23:20:00"
19800 0.73264 0.63042 0.62000 "2023-09-07 23:30:00" "2023-09-07 23:30:00"
19800 0.73264 0.63042 0.70560 "2023-09-07 23:30:00" "2023-09-07 23:10:00"
19800 0.73264 0.63042 0.75825 "2023-09-07 23:30:00" "2023-09-07 23:20:00"
19800 0.73264 0.63042 0.62000 "2023-09-07 23:30:00" "2023-09-07 23:30:00"
20400 0.73156 0.62660 0.70560 "2023-09-07 23:40:00" "2023-09-07 23:10:00"
20400 0.73156 0.62660 0.75825 "2023-09-07 23:40:00" "2023-09-07 23:20:00"
20400 0.73156 0.62660 0.62000 "2023-09-07 23:40:00" "2023-09-07 23:30:00"
20400 0.73156 0.62660 0.74857 "2023-09-07 23:40:00" "2023-09-07 23:40:00"
20400 0.73156 0.62660 0.70560 "2023-09-07 23:40:00" "2023-09-07 23:10:00"
20400 0.73156 0.62660 0.75825 "2023-09-07 23:40:00" "2023-09-07 23:20:00"
20400 0.73156 0.62660 0.62000 "2023-09-07 23:40:00" "2023-09-07 23:30:00"
20400 0.73156 0.62660 0.74857 "2023-09-07 23:40:00" "2023-09-07 23:40:00"
20400 0.73156 0.62660 0.70560 "2023-09-07 23:40:00" "2023-09-07 23:10:00"
20400 0.73156 0.62660 0.75825 "2023-09-07 23:40:00" "2023-09-07 23:20:00"
20400 0.73156 0.62660 0.62000 "2023-09-07 23:40:00" "2023-09-07 23:30:00"
20400 0.73156 0.62660 0.74857 "2023-09-07 23:40:00" "2023-09-07 23:40:00"
20400 0.73156 0.62660 0.70560 "2023-09-07 23:40:00" "2023-09-07 23:10:00"
20400 0.73156 0.62660 0.75825 "2023-09-07 23:40:00" "2023-09-07 23:20:00"
20400 0.73156 0.62660 0.62000 "2023-09-07 23:40:00" "2023-09-07 23:30:00"
20400 0.73156 0.62660 0.74857 "2023-09-07 23:40:00" "2023-09-07 23:40:00"
21000 0.72283 0.63357 0.70560 "2023-09-07 23:50:00" "2023-09-07 23:10:00"
21000 0.72283 0.63357 0.75825 "2023-09-07 23:50:00" "2023-09-07 23:20:00"
21000 0.72283 0.63357 0.62000 "2023-09-07 23:50:00" "2023-09-07 23:30:00"
21000 0.72283 0.63357 0.74857 "2023-09-07 23:50:00" "2023-09-07 23:40:00"
21000 0.72283 0.63357 0.70150 "2023-09-07 23:50:00" "2023-09-07 23:50:00"
