20230927
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "PERSISTENCE("")" Date_of_forecast Date_of_computing
21000 0.57772 0.62905 0.56380 "2023-09-27 23:50:00" "2023-09-27 23:50:00"
21600 0.60545 0.62125 0.56380 "2023-09-28 00:00:00" "2023-09-27 23:50:00"
21600 0.60545 0.62125 0.61350 "2023-09-28 00:00:00" "2023-09-28 00:00:00"
21600 0.60545 0.62125 0.56380 "2023-09-28 00:00:00" "2023-09-27 23:50:00"
21600 0.60545 0.62125 0.61350 "2023-09-28 00:00:00" "2023-09-28 00:00:00"
22200 0.62862 0.60870 0.56380 "2023-09-28 00:10:00" "2023-09-27 23:50:00"
22200 0.62862 0.60870 0.61350 "2023-09-28 00:10:00" "2023-09-28 00:00:00"
22200 0.62862 0.60870 0.66114 "2023-09-28 00:10:00" "2023-09-28 00:10:00"
22200 0.62862 0.60870 0.56380 "2023-09-28 00:10:00" "2023-09-27 23:50:00"
22200 0.62862 0.60870 0.61350 "2023-09-28 00:10:00" "2023-09-28 00:00:00"
22200 0.62862 0.60870 0.66114 "2023-09-28 00:10:00" "2023-09-28 00:10:00"
22200 0.62862 0.60870 0.56380 "2023-09-28 00:10:00" "2023-09-27 23:50:00"
22200 0.62862 0.60870 0.61350 "2023-09-28 00:10:00" "2023-09-28 00:00:00"
22200 0.62862 0.60870 0.66114 "2023-09-28 00:10:00" "2023-09-28 00:10:00"
22800 0.65743 0.60231 0.56380 "2023-09-28 00:20:00" "2023-09-27 23:50:00"
22800 0.65743 0.60231 0.61350 "2023-09-28 00:20:00" "2023-09-28 00:00:00"
22800 0.65743 0.60231 0.66114 "2023-09-28 00:20:00" "2023-09-28 00:10:00"
22800 0.65743 0.60231 0.71625 "2023-09-28 00:20:00" "2023-09-28 00:20:00"
22800 0.65743 0.60231 0.56380 "2023-09-28 00:20:00" "2023-09-27 23:50:00"
22800 0.65743 0.60231 0.61350 "2023-09-28 00:20:00" "2023-09-28 00:00:00"
22800 0.65743 0.60231 0.66114 "2023-09-28 00:20:00" "2023-09-28 00:10:00"
22800 0.65743 0.60231 0.71625 "2023-09-28 00:20:00" "2023-09-28 00:20:00"
22800 0.65743 0.60231 0.56380 "2023-09-28 00:20:00" "2023-09-27 23:50:00"
22800 0.65743 0.60231 0.61350 "2023-09-28 00:20:00" "2023-09-28 00:00:00"
22800 0.65743 0.60231 0.66114 "2023-09-28 00:20:00" "2023-09-28 00:10:00"
22800 0.65743 0.60231 0.71625 "2023-09-28 00:20:00" "2023-09-28 00:20:00"
