20230906
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "AR_SEEING (arcsec)" Date_of_forecast Date_of_computing
18600 0.60157 0.52191 0.66849 "2023-09-06 23:10:00" "2023-09-06 23:10:00"
19200 0.59524 0.52079 0.67085 "2023-09-06 23:20:00" "2023-09-06 23:10:00"
19200 0.59524 0.52079 0.64605 "2023-09-06 23:20:00" "2023-09-06 23:20:00"
19800 0.59549 0.52914 0.66147 "2023-09-06 23:30:00" "2023-09-06 23:10:00"
19800 0.59549 0.52914 0.62166 "2023-09-06 23:30:00" "2023-09-06 23:20:00"
19800 0.59549 0.52914 0.63025 "2023-09-06 23:30:00" "2023-09-06 23:30:00"
20400 0.61474 0.53023 0.65509 "2023-09-06 23:40:00" "2023-09-06 23:10:00"
20400 0.61474 0.53023 0.60286 "2023-09-06 23:40:00" "2023-09-06 23:20:00"
20400 0.61474 0.53023 0.61830 "2023-09-06 23:40:00" "2023-09-06 23:30:00"
20400 0.61474 0.53023 0.62815 "2023-09-06 23:40:00" "2023-09-06 23:40:00"
21000 0.61348 0.54083 0.64648 "2023-09-06 23:50:00" "2023-09-06 23:10:00"
21000 0.61348 0.54083 0.58410 "2023-09-06 23:50:00" "2023-09-06 23:20:00"
21000 0.61348 0.54083 0.60397 "2023-09-06 23:50:00" "2023-09-06 23:30:00"
21000 0.61348 0.54083 0.61837 "2023-09-06 23:50:00" "2023-09-06 23:40:00"
21000 0.61348 0.54083 0.61985 "2023-09-06 23:50:00" "2023-09-06 23:50:00"
21600 0.60656 0.54711 0.64569 "2023-09-07 00:00:00" "2023-09-06 23:10:00"
21600 0.60656 0.54711 0.57613 "2023-09-07 00:00:00" "2023-09-06 23:20:00"
21600 0.60656 0.54711 0.59951 "2023-09-07 00:00:00" "2023-09-06 23:30:00"
21600 0.60656 0.54711 0.61758 "2023-09-07 00:00:00" "2023-09-06 23:40:00"
21600 0.60656 0.54711 0.61850 "2023-09-07 00:00:00" "2023-09-06 23:50:00"
21600 0.60656 0.54711 0.60682 "2023-09-07 00:00:00" "2023-09-07 00:00:00"
22200 0.59350 0.54682 0.56621 "2023-09-07 00:10:00" "2023-09-06 23:20:00"
22200 0.59350 0.54682 0.59200 "2023-09-07 00:10:00" "2023-09-06 23:30:00"
22200 0.59350 0.54682 0.61290 "2023-09-07 00:10:00" "2023-09-06 23:40:00"
22200 0.59350 0.54682 0.61328 "2023-09-07 00:10:00" "2023-09-06 23:50:00"
22200 0.59350 0.54682 0.59393 "2023-09-07 00:10:00" "2023-09-07 00:00:00"
22200 0.59350 0.54682 0.59025 "2023-09-07 00:10:00" "2023-09-07 00:10:00"
22800 0.58637 0.55185 0.59189 "2023-09-07 00:20:00" "2023-09-06 23:30:00"
22800 0.58637 0.55185 0.61465 "2023-09-07 00:20:00" "2023-09-06 23:40:00"
22800 0.58637 0.55185 0.61449 "2023-09-07 00:20:00" "2023-09-06 23:50:00"
22800 0.58637 0.55185 0.58900 "2023-09-07 00:20:00" "2023-09-07 00:00:00"
22800 0.58637 0.55185 0.58967 "2023-09-07 00:20:00" "2023-09-07 00:10:00"
22800 0.58637 0.55185 0.58758 "2023-09-07 00:20:00" "2023-09-07 00:20:00"
23400 0.59583 0.54426 0.61989 "2023-09-07 00:30:00" "2023-09-06 23:40:00"
23400 0.59583 0.54426 0.61920 "2023-09-07 00:30:00" "2023-09-06 23:50:00"
23400 0.59583 0.54426 0.58872 "2023-09-07 00:30:00" "2023-09-07 00:00:00"
23400 0.59583 0.54426 0.59143 "2023-09-07 00:30:00" "2023-09-07 00:10:00"
23400 0.59583 0.54426 0.58645 "2023-09-07 00:30:00" "2023-09-07 00:20:00"
23400 0.59583 0.54426 0.59363 "2023-09-07 00:30:00" "2023-09-07 00:30:00"
24000 0.59045 0.54581 0.61421 "2023-09-07 00:40:00" "2023-09-06 23:50:00"
24000 0.59045 0.54581 0.58017 "2023-09-07 00:40:00" "2023-09-07 00:00:00"
24000 0.59045 0.54581 0.58480 "2023-09-07 00:40:00" "2023-09-07 00:10:00"
24000 0.59045 0.54581 0.57773 "2023-09-07 00:40:00" "2023-09-07 00:20:00"
24000 0.59045 0.54581 0.59518 "2023-09-07 00:40:00" "2023-09-07 00:30:00"
24000 0.59045 0.54581 0.59330 "2023-09-07 00:40:00" "2023-09-07 00:40:00"
24600 0.58625 0.54264 0.58037 "2023-09-07 00:50:00" "2023-09-07 00:00:00"
24600 0.58625 0.54264 0.58667 "2023-09-07 00:50:00" "2023-09-07 00:10:00"
24600 0.58625 0.54264 0.57777 "2023-09-07 00:50:00" "2023-09-07 00:20:00"
24600 0.58625 0.54264 0.60251 "2023-09-07 00:50:00" "2023-09-07 00:30:00"
24600 0.58625 0.54264 0.59813 "2023-09-07 00:50:00" "2023-09-07 00:40:00"
24600 0.58625 0.54264 0.58741 "2023-09-07 00:50:00" "2023-09-07 00:50:00"
25200 0.58971 0.54337 0.57948 "2023-09-07 01:00:00" "2023-09-07 00:10:00"
25200 0.58971 0.54337 0.56920 "2023-09-07 01:00:00" "2023-09-07 00:20:00"
25200 0.58971 0.54337 0.60017 "2023-09-07 01:00:00" "2023-09-07 00:30:00"
25200 0.58971 0.54337 0.59389 "2023-09-07 01:00:00" "2023-09-07 00:40:00"
25200 0.58971 0.54337 0.57386 "2023-09-07 01:00:00" "2023-09-07 00:50:00"
25200 0.58971 0.54337 0.58524 "2023-09-07 01:00:00" "2023-09-07 01:00:00"
25800 0.60592 0.56392 0.56762 "2023-09-07 01:10:00" "2023-09-07 00:20:00"
25800 0.60592 0.56392 0.60332 "2023-09-07 01:10:00" "2023-09-07 00:30:00"
25800 0.60592 0.56392 0.59529 "2023-09-07 01:10:00" "2023-09-07 00:40:00"
25800 0.60592 0.56392 0.56835 "2023-09-07 01:10:00" "2023-09-07 00:50:00"
25800 0.60592 0.56392 0.58745 "2023-09-07 01:10:00" "2023-09-07 01:00:00"
25800 0.60592 0.56392 0.60735 "2023-09-07 01:10:00" "2023-09-07 01:10:00"
26400 0.61309 0.57609 0.60411 "2023-09-07 01:20:00" "2023-09-07 00:30:00"
26400 0.61309 0.57609 0.59474 "2023-09-07 01:20:00" "2023-09-07 00:40:00"
26400 0.61309 0.57609 0.56207 "2023-09-07 01:20:00" "2023-09-07 00:50:00"
26400 0.61309 0.57609 0.58697 "2023-09-07 01:20:00" "2023-09-07 01:00:00"
26400 0.61309 0.57609 0.61997 "2023-09-07 01:20:00" "2023-09-07 01:10:00"
26400 0.61309 0.57609 0.61335 "2023-09-07 01:20:00" "2023-09-07 01:20:00"
