20230917
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
27000 4.00848 3.27978 3.87680 "2023-09-18 01:30:00" "2023-09-18 01:30:00"
27600 3.73044 3.33424 3.87680 "2023-09-18 01:40:00" "2023-09-18 01:30:00"
27600 3.73044 3.33424 4.14957 "2023-09-18 01:40:00" "2023-09-18 01:40:00"
28200 3.51264 3.35845 3.87680 "2023-09-18 01:50:00" "2023-09-18 01:30:00"
28200 3.51264 3.35845 4.14957 "2023-09-18 01:50:00" "2023-09-18 01:40:00"
28200 3.51264 3.35845 4.29838 "2023-09-18 01:50:00" "2023-09-18 01:50:00"
28800 3.34244 3.33592 3.87680 "2023-09-18 02:00:00" "2023-09-18 01:30:00"
28800 3.34244 3.33592 4.14957 "2023-09-18 02:00:00" "2023-09-18 01:40:00"
28800 3.34244 3.33592 4.29838 "2023-09-18 02:00:00" "2023-09-18 01:50:00"
28800 3.34244 3.33592 3.93414 "2023-09-18 02:00:00" "2023-09-18 02:00:00"
29400 3.20039 3.28430 3.87680 "2023-09-18 02:10:00" "2023-09-18 01:30:00"
29400 3.20039 3.28430 4.14957 "2023-09-18 02:10:00" "2023-09-18 01:40:00"
29400 3.20039 3.28430 4.29838 "2023-09-18 02:10:00" "2023-09-18 01:50:00"
29400 3.20039 3.28430 3.93414 "2023-09-18 02:10:00" "2023-09-18 02:00:00"
29400 3.20039 3.28430 3.11725 "2023-09-18 02:10:00" "2023-09-18 02:10:00"
30000 3.13872 3.19658 3.87680 "2023-09-18 02:20:00" "2023-09-18 01:30:00"
30000 3.13872 3.19658 4.14957 "2023-09-18 02:20:00" "2023-09-18 01:40:00"
30000 3.13872 3.19658 4.29838 "2023-09-18 02:20:00" "2023-09-18 01:50:00"
30000 3.13872 3.19658 3.93414 "2023-09-18 02:20:00" "2023-09-18 02:00:00"
30000 3.13872 3.19658 3.11725 "2023-09-18 02:20:00" "2023-09-18 02:10:00"
30000 3.13872 3.19658 2.21057 "2023-09-18 02:20:00" "2023-09-18 02:20:00"
30600 2.95288 3.09427 4.14957 "2023-09-18 02:30:00" "2023-09-18 01:40:00"
30600 2.95288 3.09427 4.29838 "2023-09-18 02:30:00" "2023-09-18 01:50:00"
30600 2.95288 3.09427 3.93414 "2023-09-18 02:30:00" "2023-09-18 02:00:00"
30600 2.95288 3.09427 3.11725 "2023-09-18 02:30:00" "2023-09-18 02:10:00"
30600 2.95288 3.09427 2.21057 "2023-09-18 02:30:00" "2023-09-18 02:20:00"
30600 2.95288 3.09427 2.68513 "2023-09-18 02:30:00" "2023-09-18 02:30:00"
31200 3.09951 2.99773 4.29838 "2023-09-18 02:40:00" "2023-09-18 01:50:00"
31200 3.09951 2.99773 3.93414 "2023-09-18 02:40:00" "2023-09-18 02:00:00"
31200 3.09951 2.99773 3.11725 "2023-09-18 02:40:00" "2023-09-18 02:10:00"
31200 3.09951 2.99773 2.21057 "2023-09-18 02:40:00" "2023-09-18 02:20:00"
31200 3.09951 2.99773 2.68513 "2023-09-18 02:40:00" "2023-09-18 02:30:00"
31200 3.09951 2.99773 2.99933 "2023-09-18 02:40:00" "2023-09-18 02:40:00"
31800 3.32669 2.89772 3.93414 "2023-09-18 02:50:00" "2023-09-18 02:00:00"
31800 3.32669 2.89772 3.11725 "2023-09-18 02:50:00" "2023-09-18 02:10:00"
31800 3.32669 2.89772 2.21057 "2023-09-18 02:50:00" "2023-09-18 02:20:00"
31800 3.32669 2.89772 2.68513 "2023-09-18 02:50:00" "2023-09-18 02:30:00"
31800 3.32669 2.89772 2.99933 "2023-09-18 02:50:00" "2023-09-18 02:40:00"
31800 3.32669 2.89772 3.77286 "2023-09-18 02:50:00" "2023-09-18 02:50:00"
