20230901
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
27600 3.21957 3.74739 2.92586 "2023-09-02 01:40:00" "2023-09-02 01:20:00"
27600 3.21957 3.74739 3.17485 "2023-09-02 01:40:00" "2023-09-02 01:30:00"
27600 3.21957 3.74739 3.23770 "2023-09-02 01:40:00" "2023-09-02 01:40:00"
28200 3.13436 3.74775 3.03961 "2023-09-02 01:50:00" "2023-09-02 01:00:00"
28200 3.13436 3.74775 3.31610 "2023-09-02 01:50:00" "2023-09-02 01:10:00"
28200 3.13436 3.74775 2.87980 "2023-09-02 01:50:00" "2023-09-02 01:20:00"
28200 3.13436 3.74775 3.21378 "2023-09-02 01:50:00" "2023-09-02 01:30:00"
28200 3.13436 3.74775 3.30373 "2023-09-02 01:50:00" "2023-09-02 01:40:00"
28200 3.13436 3.74775 3.17294 "2023-09-02 01:50:00" "2023-09-02 01:50:00"
28800 3.04900 3.73863 3.33009 "2023-09-02 02:00:00" "2023-09-02 01:10:00"
28800 3.04900 3.73863 2.83943 "2023-09-02 02:00:00" "2023-09-02 01:20:00"
28800 3.04900 3.73863 3.23999 "2023-09-02 02:00:00" "2023-09-02 01:30:00"
28800 3.04900 3.73863 3.35422 "2023-09-02 02:00:00" "2023-09-02 01:40:00"
28800 3.04900 3.73863 3.12522 "2023-09-02 02:00:00" "2023-09-02 01:50:00"
28800 3.04900 3.73863 3.06320 "2023-09-02 02:00:00" "2023-09-02 02:00:00"
29400 3.06381 3.70312 2.80456 "2023-09-02 02:10:00" "2023-09-02 01:20:00"
29400 3.06381 3.70312 3.24828 "2023-09-02 02:10:00" "2023-09-02 01:30:00"
29400 3.06381 3.70312 3.38118 "2023-09-02 02:10:00" "2023-09-02 01:40:00"
29400 3.06381 3.70312 3.07276 "2023-09-02 02:10:00" "2023-09-02 01:50:00"
29400 3.06381 3.70312 2.99852 "2023-09-02 02:10:00" "2023-09-02 02:00:00"
29400 3.06381 3.70312 3.04155 "2023-09-02 02:10:00" "2023-09-02 02:10:00"
30000 3.16403 3.63758 3.21356 "2023-09-02 02:20:00" "2023-09-02 01:30:00"
30000 3.16403 3.63758 3.35570 "2023-09-02 02:20:00" "2023-09-02 01:40:00"
30000 3.16403 3.63758 2.98470 "2023-09-02 02:20:00" "2023-09-02 01:50:00"
30000 3.16403 3.63758 2.89834 "2023-09-02 02:20:00" "2023-09-02 02:00:00"
30000 3.16403 3.63758 2.97808 "2023-09-02 02:20:00" "2023-09-02 02:10:00"
30000 3.16403 3.63758 3.16930 "2023-09-02 02:20:00" "2023-09-02 02:20:00"
30600 3.17370 3.64380 3.35924 "2023-09-02 02:30:00" "2023-09-02 01:40:00"
30600 3.17370 3.64380 2.94654 "2023-09-02 02:30:00" "2023-09-02 01:50:00"
30600 3.17370 3.64380 2.85046 "2023-09-02 02:30:00" "2023-09-02 02:00:00"
30600 3.17370 3.64380 2.95931 "2023-09-02 02:30:00" "2023-09-02 02:10:00"
30600 3.17370 3.64380 3.29599 "2023-09-02 02:30:00" "2023-09-02 02:20:00"
30600 3.17370 3.64380 3.19625 "2023-09-02 02:30:00" "2023-09-02 02:30:00"
31200 3.17660 3.64512 2.96382 "2023-09-02 02:40:00" "2023-09-02 01:50:00"
31200 3.17660 3.64512 2.86733 "2023-09-02 02:40:00" "2023-09-02 02:00:00"
31200 3.17660 3.64512 2.99875 "2023-09-02 02:40:00" "2023-09-02 02:10:00"
31200 3.17660 3.64512 3.45116 "2023-09-02 02:40:00" "2023-09-02 02:20:00"
31200 3.17660 3.64512 3.26412 "2023-09-02 02:40:00" "2023-09-02 02:30:00"
31200 3.17660 3.64512 3.15463 "2023-09-02 02:40:00" "2023-09-02 02:40:00"
31800 3.15034 3.56027 2.81662 "2023-09-02 02:50:00" "2023-09-02 02:00:00"
31800 3.15034 3.56027 2.96479 "2023-09-02 02:50:00" "2023-09-02 02:10:00"
31800 3.15034 3.56027 3.50727 "2023-09-02 02:50:00" "2023-09-02 02:20:00"
31800 3.15034 3.56027 3.25617 "2023-09-02 02:50:00" "2023-09-02 02:30:00"
31800 3.15034 3.56027 3.08538 "2023-09-02 02:50:00" "2023-09-02 02:40:00"
31800 3.15034 3.56027 3.12020 "2023-09-02 02:50:00" "2023-09-02 02:50:00"
32400 3.04989 3.39383 2.84538 "2023-09-02 03:00:00" "2023-09-02 02:10:00"
32400 3.04989 3.39383 3.44828 "2023-09-02 03:00:00" "2023-09-02 02:20:00"
32400 3.04989 3.39383 3.14774 "2023-09-02 03:00:00" "2023-09-02 02:30:00"
32400 3.04989 3.39383 2.93064 "2023-09-02 03:00:00" "2023-09-02 02:40:00"
32400 3.04989 3.39383 2.99703 "2023-09-02 03:00:00" "2023-09-02 02:50:00"
32400 3.04989 3.39383 3.07472 "2023-09-02 03:00:00" "2023-09-02 03:00:00"
33000 2.81279 3.26942 3.34955 "2023-09-02 03:10:00" "2023-09-02 02:20:00"
33000 2.81279 3.26942 3.01560 "2023-09-02 03:10:00" "2023-09-02 02:30:00"
33000 2.81279 3.26942 2.76173 "2023-09-02 03:10:00" "2023-09-02 02:40:00"
33000 2.81279 3.26942 2.84927 "2023-09-02 03:10:00" "2023-09-02 02:50:00"
33000 2.81279 3.26942 2.98883 "2023-09-02 03:10:00" "2023-09-02 03:00:00"
33000 2.81279 3.26942 2.86745 "2023-09-02 03:10:00" "2023-09-02 03:10:00"
33600 2.61053 3.20035 2.95827 "2023-09-02 03:20:00" "2023-09-02 02:30:00"
33600 2.61053 3.20035 2.68481 "2023-09-02 03:20:00" "2023-09-02 02:40:00"
33600 2.61053 3.20035 2.78887 "2023-09-02 03:20:00" "2023-09-02 02:50:00"
33600 2.61053 3.20035 2.96984 "2023-09-02 03:20:00" "2023-09-02 03:00:00"
