20230905
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
20400 3.56077 4.40877 3.53641 "2023-09-05 23:40:00" "2023-09-05 23:40:00"
21000 3.53206 4.38634 3.58740 "2023-09-05 23:50:00" "2023-09-05 23:40:00"
21000 3.53206 4.38634 3.48868 "2023-09-05 23:50:00" "2023-09-05 23:50:00"
21600 3.62419 4.38269 3.62627 "2023-09-06 00:00:00" "2023-09-05 23:40:00"
21600 3.62419 4.38269 3.42700 "2023-09-06 00:00:00" "2023-09-05 23:50:00"
21600 3.62419 4.38269 3.57621 "2023-09-06 00:00:00" "2023-09-06 00:00:00"
22200 3.75170 4.40447 3.69240 "2023-09-06 00:10:00" "2023-09-05 23:40:00"
22200 3.75170 4.40447 3.42035 "2023-09-06 00:10:00" "2023-09-05 23:50:00"
22200 3.75170 4.40447 3.63477 "2023-09-06 00:10:00" "2023-09-06 00:00:00"
22200 3.75170 4.40447 3.77496 "2023-09-06 00:10:00" "2023-09-06 00:10:00"
22800 3.88402 4.42036 3.74646 "2023-09-06 00:20:00" "2023-09-05 23:40:00"
22800 3.88402 4.42036 3.41440 "2023-09-06 00:20:00" "2023-09-05 23:50:00"
22800 3.88402 4.42036 3.68147 "2023-09-06 00:20:00" "2023-09-06 00:00:00"
22800 3.88402 4.42036 3.86882 "2023-09-06 00:20:00" "2023-09-06 00:10:00"
22800 3.88402 4.42036 3.84788 "2023-09-06 00:20:00" "2023-09-06 00:20:00"
23400 3.85585 4.41007 3.75785 "2023-09-06 00:30:00" "2023-09-05 23:40:00"
23400 3.85585 4.41007 3.36377 "2023-09-06 00:30:00" "2023-09-05 23:50:00"
23400 3.85585 4.41007 3.68495 "2023-09-06 00:30:00" "2023-09-06 00:00:00"
23400 3.85585 4.41007 3.91520 "2023-09-06 00:30:00" "2023-09-06 00:10:00"
23400 3.85585 4.41007 3.92970 "2023-09-06 00:30:00" "2023-09-06 00:20:00"
23400 3.85585 4.41007 3.98467 "2023-09-06 00:30:00" "2023-09-06 00:30:00"
24000 3.50581 4.39177 3.31972 "2023-09-06 00:40:00" "2023-09-05 23:50:00"
24000 3.50581 4.39177 3.67822 "2023-09-06 00:40:00" "2023-09-06 00:00:00"
24000 3.50581 4.39177 3.95421 "2023-09-06 00:40:00" "2023-09-06 00:10:00"
24000 3.50581 4.39177 3.99145 "2023-09-06 00:40:00" "2023-09-06 00:20:00"
24000 3.50581 4.39177 4.02704 "2023-09-06 00:40:00" "2023-09-06 00:30:00"
24000 3.50581 4.39177 3.56332 "2023-09-06 00:40:00" "2023-09-06 00:40:00"
24600 3.24371 4.36030 3.65665 "2023-09-06 00:50:00" "2023-09-06 00:00:00"
24600 3.24371 4.36030 3.96096 "2023-09-06 00:50:00" "2023-09-06 00:10:00"
24600 3.24371 4.36030 4.01031 "2023-09-06 00:50:00" "2023-09-06 00:20:00"
24600 3.24371 4.36030 4.04047 "2023-09-06 00:50:00" "2023-09-06 00:30:00"
24600 3.24371 4.36030 3.33290 "2023-09-06 00:50:00" "2023-09-06 00:40:00"
24600 3.24371 4.36030 3.28305 "2023-09-06 00:50:00" "2023-09-06 00:50:00"
25200 2.98106 4.32276 3.93945 "2023-09-06 01:00:00" "2023-09-06 00:10:00"
25200 2.98106 4.32276 4.01134 "2023-09-06 01:00:00" "2023-09-06 00:20:00"
25200 2.98106 4.32276 4.04321 "2023-09-06 01:00:00" "2023-09-06 00:30:00"
25200 2.98106 4.32276 3.13771 "2023-09-06 01:00:00" "2023-09-06 00:40:00"
25200 2.98106 4.32276 3.13798 "2023-09-06 01:00:00" "2023-09-06 00:50:00"
25200 2.98106 4.32276 2.97973 "2023-09-06 01:00:00" "2023-09-06 01:00:00"
25800 2.67404 4.29826 4.00530 "2023-09-06 01:10:00" "2023-09-06 00:20:00"
25800 2.67404 4.29826 4.02760 "2023-09-06 01:10:00" "2023-09-06 00:30:00"
25800 2.67404 4.29826 2.94314 "2023-09-06 01:10:00" "2023-09-06 00:40:00"
25800 2.67404 4.29826 2.96328 "2023-09-06 01:10:00" "2023-09-06 00:50:00"
25800 2.67404 4.29826 2.72033 "2023-09-06 01:10:00" "2023-09-06 01:00:00"
25800 2.67404 4.29826 2.61477 "2023-09-06 01:10:00" "2023-09-06 01:10:00"
26400 2.63532 4.27851 4.01320 "2023-09-06 01:20:00" "2023-09-06 00:30:00"
26400 2.63532 4.27851 2.78966 "2023-09-06 01:20:00" "2023-09-06 00:40:00"
26400 2.63532 4.27851 2.82152 "2023-09-06 01:20:00" "2023-09-06 00:50:00"
26400 2.63532 4.27851 2.50592 "2023-09-06 01:20:00" "2023-09-06 01:00:00"
26400 2.63532 4.27851 2.36201 "2023-09-06 01:20:00" "2023-09-06 01:10:00"
26400 2.63532 4.27851 2.70763 "2023-09-06 01:20:00" "2023-09-06 01:20:00"
27000 2.69386 4.27483 2.71537 "2023-09-06 01:30:00" "2023-09-06 00:40:00"
27000 2.69386 4.27483 2.76938 "2023-09-06 01:30:00" "2023-09-06 00:50:00"
27000 2.69386 4.27483 2.38750 "2023-09-06 01:30:00" "2023-09-06 01:00:00"
27000 2.69386 4.27483 2.20173 "2023-09-06 01:30:00" "2023-09-06 01:10:00"
27000 2.69386 4.27483 2.76231 "2023-09-06 01:30:00" "2023-09-06 01:20:00"
27000 2.69386 4.27483 2.61612 "2023-09-06 01:30:00" "2023-09-06 01:30:00"
27600 2.89808 4.28761 2.75974 "2023-09-06 01:40:00" "2023-09-06 00:50:00"
27600 2.89808 4.28761 2.32403 "2023-09-06 01:40:00" "2023-09-06 01:00:00"
27600 2.89808 4.28761 2.09808 "2023-09-06 01:40:00" "2023-09-06 01:10:00"
27600 2.89808 4.28761 2.82331 "2023-09-06 01:40:00" "2023-09-06 01:20:00"
27600 2.89808 4.28761 2.66351 "2023-09-06 01:40:00" "2023-09-06 01:30:00"
27600 2.89808 4.28761 2.83843 "2023-09-06 01:40:00" "2023-09-06 01:40:00"
28200 3.09046 4.28959 2.29751 "2023-09-06 01:50:00" "2023-09-06 01:00:00"
28200 3.09046 4.28959 2.03977 "2023-09-06 01:50:00" "2023-09-06 01:10:00"
28200 3.09046 4.28959 2.91961 "2023-09-06 01:50:00" "2023-09-06 01:20:00"
28200 3.09046 4.28959 2.73563 "2023-09-06 01:50:00" "2023-09-06 01:30:00"
28200 3.09046 4.28959 2.97781 "2023-09-06 01:50:00" "2023-09-06 01:40:00"
28200 3.09046 4.28959 3.02907 "2023-09-06 01:50:00" "2023-09-06 01:50:00"
28800 3.11134 4.26287 2.00548 "2023-09-06 02:00:00" "2023-09-06 01:10:00"
28800 3.11134 4.26287 2.99770 "2023-09-06 02:00:00" "2023-09-06 01:20:00"
28800 3.11134 4.26287 2.78928 "2023-09-06 02:00:00" "2023-09-06 01:30:00"
28800 3.11134 4.26287 3.09419 "2023-09-06 02:00:00" "2023-09-06 01:40:00"
28800 3.11134 4.26287 3.14222 "2023-09-06 02:00:00" "2023-09-06 01:50:00"
28800 3.11134 4.26287 3.07352 "2023-09-06 02:00:00" "2023-09-06 02:00:00"
29400 3.08663 4.21892 3.02274 "2023-09-06 02:10:00" "2023-09-06 01:20:00"
29400 3.08663 4.21892 2.81412 "2023-09-06 02:10:00" "2023-09-06 01:30:00"
29400 3.08663 4.21892 3.17627 "2023-09-06 02:10:00" "2023-09-06 01:40:00"
29400 3.08663 4.21892 3.23378 "2023-09-06 02:10:00" "2023-09-06 01:50:00"
29400 3.08663 4.21892 3.13396 "2023-09-06 02:10:00" "2023-09-06 02:00:00"
29400 3.08663 4.21892 3.09710 "2023-09-06 02:10:00" "2023-09-06 02:10:00"
30000 3.00813 4.17249 2.82271 "2023-09-06 02:20:00" "2023-09-06 01:30:00"
30000 3.00813 4.17249 3.22026 "2023-09-06 02:20:00" "2023-09-06 01:40:00"
30000 3.00813 4.17249 3.28693 "2023-09-06 02:20:00" "2023-09-06 01:50:00"
30000 3.00813 4.17249 3.16315 "2023-09-06 02:20:00" "2023-09-06 02:00:00"
30000 3.00813 4.17249 3.11219 "2023-09-06 02:20:00" "2023-09-06 02:10:00"
30000 3.00813 4.17249 3.05379 "2023-09-06 02:20:00" "2023-09-06 02:20:00"
30600 2.94364 4.14752 3.25228 "2023-09-06 02:30:00" "2023-09-06 01:40:00"
30600 2.94364 4.14752 3.32315 "2023-09-06 02:30:00" "2023-09-06 01:50:00"
30600 2.94364 4.14752 3.17635 "2023-09-06 02:30:00" "2023-09-06 02:00:00"
30600 2.94364 4.14752 3.11373 "2023-09-06 02:30:00" "2023-09-06 02:10:00"
30600 2.94364 4.14752 3.01081 "2023-09-06 02:30:00" "2023-09-06 02:20:00"
30600 2.94364 4.14752 2.92627 "2023-09-06 02:30:00" "2023-09-06 02:30:00"
31200 3.26662 4.13673 3.35540 "2023-09-06 02:40:00" "2023-09-06 01:50:00"
31200 3.26662 4.13673 3.19583 "2023-09-06 02:40:00" "2023-09-06 02:00:00"
31200 3.26662 4.13673 3.12106 "2023-09-06 02:40:00" "2023-09-06 02:10:00"
31200 3.26662 4.13673 2.98351 "2023-09-06 02:40:00" "2023-09-06 02:20:00"
31200 3.26662 4.13673 2.83338 "2023-09-06 02:40:00" "2023-09-06 02:30:00"
31200 3.26662 4.13673 3.16910 "2023-09-06 02:40:00" "2023-09-06 02:40:00"
31800 3.48028 4.13686 3.21094 "2023-09-06 02:50:00" "2023-09-06 02:00:00"
31800 3.48028 4.13686 3.12915 "2023-09-06 02:50:00" "2023-09-06 02:10:00"
31800 3.48028 4.13686 2.96123 "2023-09-06 02:50:00" "2023-09-06 02:20:00"
31800 3.48028 4.13686 2.76165 "2023-09-06 02:50:00" "2023-09-06 02:30:00"
31800 3.48028 4.13686 3.35477 "2023-09-06 02:50:00" "2023-09-06 02:40:00"
31800 3.48028 4.13686 3.52121 "2023-09-06 02:50:00" "2023-09-06 02:50:00"
32400 3.68792 4.18359 3.17450 "2023-09-06 03:00:00" "2023-09-06 02:10:00"
32400 3.68792 4.18359 2.98163 "2023-09-06 03:00:00" "2023-09-06 02:20:00"
32400 3.68792 4.18359 2.74050 "2023-09-06 03:00:00" "2023-09-06 02:30:00"
32400 3.68792 4.18359 3.52809 "2023-09-06 03:00:00" "2023-09-06 02:40:00"
32400 3.68792 4.18359 3.71091 "2023-09-06 03:00:00" "2023-09-06 02:50:00"
