20230928
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
20400 3.97142 3.95891 3.74833 "2023-09-28 23:40:00" "2023-09-28 23:40:00"
21000 3.98753 3.97618 3.74833 "2023-09-28 23:50:00" "2023-09-28 23:40:00"
21000 3.98753 3.97618 3.97013 "2023-09-28 23:50:00" "2023-09-28 23:50:00"
21600 4.08149 3.97489 3.74833 "2023-09-29 00:00:00" "2023-09-28 23:40:00"
21600 4.08149 3.97489 3.97013 "2023-09-29 00:00:00" "2023-09-28 23:50:00"
21600 4.08149 3.97489 3.23986 "2023-09-29 00:00:00" "2023-09-29 00:00:00"
22200 4.12632 3.98974 3.74833 "2023-09-29 00:10:00" "2023-09-28 23:40:00"
22200 4.12632 3.98974 3.97013 "2023-09-29 00:10:00" "2023-09-28 23:50:00"
22200 4.12632 3.98974 3.23986 "2023-09-29 00:10:00" "2023-09-29 00:00:00"
22200 4.12632 3.98974 4.59150 "2023-09-29 00:10:00" "2023-09-29 00:10:00"
22800 4.04908 4.01154 3.74833 "2023-09-29 00:20:00" "2023-09-28 23:40:00"
22800 4.04908 4.01154 3.97013 "2023-09-29 00:20:00" "2023-09-28 23:50:00"
22800 4.04908 4.01154 3.23986 "2023-09-29 00:20:00" "2023-09-29 00:00:00"
22800 4.04908 4.01154 4.59150 "2023-09-29 00:20:00" "2023-09-29 00:10:00"
22800 4.04908 4.01154 4.18243 "2023-09-29 00:20:00" "2023-09-29 00:20:00"
23400 4.02822 4.04440 3.74833 "2023-09-29 00:30:00" "2023-09-28 23:40:00"
23400 4.02822 4.04440 3.97013 "2023-09-29 00:30:00" "2023-09-28 23:50:00"
23400 4.02822 4.04440 3.23986 "2023-09-29 00:30:00" "2023-09-29 00:00:00"
23400 4.02822 4.04440 4.59150 "2023-09-29 00:30:00" "2023-09-29 00:10:00"
23400 4.02822 4.04440 4.18243 "2023-09-29 00:30:00" "2023-09-29 00:20:00"
23400 4.02822 4.04440 4.21157 "2023-09-29 00:30:00" "2023-09-29 00:30:00"
24000 4.03716 4.06074 3.97013 "2023-09-29 00:40:00" "2023-09-28 23:50:00"
24000 4.03716 4.06074 3.23986 "2023-09-29 00:40:00" "2023-09-29 00:00:00"
24000 4.03716 4.06074 4.59150 "2023-09-29 00:40:00" "2023-09-29 00:10:00"
24000 4.03716 4.06074 4.18243 "2023-09-29 00:40:00" "2023-09-29 00:20:00"
24000 4.03716 4.06074 4.21157 "2023-09-29 00:40:00" "2023-09-29 00:30:00"
24000 4.03716 4.06074 4.74512 "2023-09-29 00:40:00" "2023-09-29 00:40:00"
24600 4.03816 4.05545 3.23986 "2023-09-29 00:50:00" "2023-09-29 00:00:00"
24600 4.03816 4.05545 4.59150 "2023-09-29 00:50:00" "2023-09-29 00:10:00"
24600 4.03816 4.05545 4.18243 "2023-09-29 00:50:00" "2023-09-29 00:20:00"
