20230901
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
27600 3.21957 3.74739 3.57012 "2023-09-02 01:40:00" "2023-09-02 01:20:00"
27600 3.21957 3.74739 3.69914 "2023-09-02 01:40:00" "2023-09-02 01:30:00"
27600 3.21957 3.74739 3.33225 "2023-09-02 01:40:00" "2023-09-02 01:40:00"
28200 3.13436 3.74775 2.82000 "2023-09-02 01:50:00" "2023-09-02 01:00:00"
28200 3.13436 3.74775 3.27257 "2023-09-02 01:50:00" "2023-09-02 01:10:00"
28200 3.13436 3.74775 3.57012 "2023-09-02 01:50:00" "2023-09-02 01:20:00"
28200 3.13436 3.74775 3.69914 "2023-09-02 01:50:00" "2023-09-02 01:30:00"
28200 3.13436 3.74775 3.33225 "2023-09-02 01:50:00" "2023-09-02 01:40:00"
28200 3.13436 3.74775 2.54014 "2023-09-02 01:50:00" "2023-09-02 01:50:00"
28800 3.04900 3.73863 3.27257 "2023-09-02 02:00:00" "2023-09-02 01:10:00"
28800 3.04900 3.73863 3.57012 "2023-09-02 02:00:00" "2023-09-02 01:20:00"
28800 3.04900 3.73863 3.69914 "2023-09-02 02:00:00" "2023-09-02 01:30:00"
28800 3.04900 3.73863 3.33225 "2023-09-02 02:00:00" "2023-09-02 01:40:00"
28800 3.04900 3.73863 2.54014 "2023-09-02 02:00:00" "2023-09-02 01:50:00"
28800 3.04900 3.73863 2.87888 "2023-09-02 02:00:00" "2023-09-02 02:00:00"
29400 3.06381 3.70312 3.57012 "2023-09-02 02:10:00" "2023-09-02 01:20:00"
29400 3.06381 3.70312 3.69914 "2023-09-02 02:10:00" "2023-09-02 01:30:00"
29400 3.06381 3.70312 3.33225 "2023-09-02 02:10:00" "2023-09-02 01:40:00"
29400 3.06381 3.70312 2.54014 "2023-09-02 02:10:00" "2023-09-02 01:50:00"
29400 3.06381 3.70312 2.87888 "2023-09-02 02:10:00" "2023-09-02 02:00:00"
29400 3.06381 3.70312 3.29314 "2023-09-02 02:10:00" "2023-09-02 02:10:00"
30000 3.16403 3.63758 3.69914 "2023-09-02 02:20:00" "2023-09-02 01:30:00"
30000 3.16403 3.63758 3.33225 "2023-09-02 02:20:00" "2023-09-02 01:40:00"
30000 3.16403 3.63758 2.54014 "2023-09-02 02:20:00" "2023-09-02 01:50:00"
30000 3.16403 3.63758 2.87888 "2023-09-02 02:20:00" "2023-09-02 02:00:00"
