20230906
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
27600 60.13132 51.90300 65.40000 "2023-09-07 01:40:00" "2023-09-07 01:00:00"
27600 60.13132 51.90300 59.15000 "2023-09-07 01:40:00" "2023-09-07 01:10:00"
27600 60.13132 51.90300 67.31429 "2023-09-07 01:40:00" "2023-09-07 01:20:00"
27600 60.13132 51.90300 63.90000 "2023-09-07 01:40:00" "2023-09-07 01:30:00"
27600 60.13132 51.90300 76.20000 "2023-09-07 01:40:00" "2023-09-07 01:40:00"
28200 60.30526 52.52871 65.40000 "2023-09-07 01:50:00" "2023-09-07 01:00:00"
28200 60.30526 52.52871 59.15000 "2023-09-07 01:50:00" "2023-09-07 01:10:00"
28200 60.30526 52.52871 67.31429 "2023-09-07 01:50:00" "2023-09-07 01:20:00"
28200 60.30526 52.52871 63.90000 "2023-09-07 01:50:00" "2023-09-07 01:30:00"
28200 60.30526 52.52871 76.20000 "2023-09-07 01:50:00" "2023-09-07 01:40:00"
28200 60.30526 52.52871 68.85000 "2023-09-07 01:50:00" "2023-09-07 01:50:00"
28800 61.44463 54.44538 59.15000 "2023-09-07 02:00:00" "2023-09-07 01:10:00"
28800 61.44463 54.44538 67.31429 "2023-09-07 02:00:00" "2023-09-07 01:20:00"
28800 61.44463 54.44538 63.90000 "2023-09-07 02:00:00" "2023-09-07 01:30:00"
28800 61.44463 54.44538 76.20000 "2023-09-07 02:00:00" "2023-09-07 01:40:00"
28800 61.44463 54.44538 68.85000 "2023-09-07 02:00:00" "2023-09-07 01:50:00"
28800 61.44463 54.44538 58.47143 "2023-09-07 02:00:00" "2023-09-07 02:00:00"
29400 59.80647 58.16870 67.31429 "2023-09-07 02:10:00" "2023-09-07 01:20:00"
29400 59.80647 58.16870 63.90000 "2023-09-07 02:10:00" "2023-09-07 01:30:00"
29400 59.80647 58.16870 76.20000 "2023-09-07 02:10:00" "2023-09-07 01:40:00"
29400 59.80647 58.16870 68.85000 "2023-09-07 02:10:00" "2023-09-07 01:50:00"
29400 59.80647 58.16870 58.47143 "2023-09-07 02:10:00" "2023-09-07 02:00:00"
29400 59.80647 58.16870 41.12500 "2023-09-07 02:10:00" "2023-09-07 02:10:00"
30000 57.97805 61.71656 63.90000 "2023-09-07 02:20:00" "2023-09-07 01:30:00"
30000 57.97805 61.71656 76.20000 "2023-09-07 02:20:00" "2023-09-07 01:40:00"
30000 57.97805 61.71656 68.85000 "2023-09-07 02:20:00" "2023-09-07 01:50:00"
30000 57.97805 61.71656 58.47143 "2023-09-07 02:20:00" "2023-09-07 02:00:00"
30000 57.97805 61.71656 41.12500 "2023-09-07 02:20:00" "2023-09-07 02:10:00"
30000 57.97805 61.71656 65.52857 "2023-09-07 02:20:00" "2023-09-07 02:20:00"
30600 58.92371 64.73262 76.20000 "2023-09-07 02:30:00" "2023-09-07 01:40:00"
30600 58.92371 64.73262 68.85000 "2023-09-07 02:30:00" "2023-09-07 01:50:00"
30600 58.92371 64.73262 58.47143 "2023-09-07 02:30:00" "2023-09-07 02:00:00"
30600 58.92371 64.73262 41.12500 "2023-09-07 02:30:00" "2023-09-07 02:10:00"
30600 58.92371 64.73262 65.52857 "2023-09-07 02:30:00" "2023-09-07 02:20:00"
30600 58.92371 64.73262 70.15000 "2023-09-07 02:30:00" "2023-09-07 02:30:00"
31200 58.84602 61.96378 68.85000 "2023-09-07 02:40:00" "2023-09-07 01:50:00"
31200 58.84602 61.96378 58.47143 "2023-09-07 02:40:00" "2023-09-07 02:00:00"
31200 58.84602 61.96378 41.12500 "2023-09-07 02:40:00" "2023-09-07 02:10:00"
31200 58.84602 61.96378 65.52857 "2023-09-07 02:40:00" "2023-09-07 02:20:00"
31200 58.84602 61.96378 70.15000 "2023-09-07 02:40:00" "2023-09-07 02:30:00"
31200 58.84602 61.96378 65.80000 "2023-09-07 02:40:00" "2023-09-07 02:40:00"
31800 53.40418 58.85366 58.47143 "2023-09-07 02:50:00" "2023-09-07 02:00:00"
31800 53.40418 58.85366 41.12500 "2023-09-07 02:50:00" "2023-09-07 02:10:00"
31800 53.40418 58.85366 65.52857 "2023-09-07 02:50:00" "2023-09-07 02:20:00"
31800 53.40418 58.85366 70.15000 "2023-09-07 02:50:00" "2023-09-07 02:30:00"
31800 53.40418 58.85366 65.80000 "2023-09-07 02:50:00" "2023-09-07 02:40:00"
31800 53.40418 58.85366 49.88750 "2023-09-07 02:50:00" "2023-09-07 02:50:00"
32400 47.24818 58.28193 41.12500 "2023-09-07 03:00:00" "2023-09-07 02:10:00"
32400 47.24818 58.28193 65.52857 "2023-09-07 03:00:00" "2023-09-07 02:20:00"
32400 47.24818 58.28193 70.15000 "2023-09-07 03:00:00" "2023-09-07 02:30:00"
32400 47.24818 58.28193 65.80000 "2023-09-07 03:00:00" "2023-09-07 02:40:00"
32400 47.24818 58.28193 49.88750 "2023-09-07 03:00:00" "2023-09-07 02:50:00"
32400 47.24818 58.28193 57.32857 "2023-09-07 03:00:00" "2023-09-07 03:00:00"
33000 44.07766 53.52313 65.52857 "2023-09-07 03:10:00" "2023-09-07 02:20:00"
33000 44.07766 53.52313 70.15000 "2023-09-07 03:10:00" "2023-09-07 02:30:00"
33000 44.07766 53.52313 65.80000 "2023-09-07 03:10:00" "2023-09-07 02:40:00"
33000 44.07766 53.52313 49.88750 "2023-09-07 03:10:00" "2023-09-07 02:50:00"
33000 44.07766 53.52313 57.32857 "2023-09-07 03:10:00" "2023-09-07 03:00:00"
33000 44.07766 53.52313 51.55000 "2023-09-07 03:10:00" "2023-09-07 03:10:00"
33600 43.85959 46.27757 70.15000 "2023-09-07 03:20:00" "2023-09-07 02:30:00"
33600 43.85959 46.27757 65.80000 "2023-09-07 03:20:00" "2023-09-07 02:40:00"
33600 43.85959 46.27757 49.88750 "2023-09-07 03:20:00" "2023-09-07 02:50:00"
33600 43.85959 46.27757 57.32857 "2023-09-07 03:20:00" "2023-09-07 03:00:00"
33600 43.85959 46.27757 51.55000 "2023-09-07 03:20:00" "2023-09-07 03:10:00"
33600 43.85959 46.27757 44.87143 "2023-09-07 03:20:00" "2023-09-07 03:20:00"
34200 44.47543 41.32429 65.80000 "2023-09-07 03:30:00" "2023-09-07 02:40:00"
34200 44.47543 41.32429 49.88750 "2023-09-07 03:30:00" "2023-09-07 02:50:00"
34200 44.47543 41.32429 57.32857 "2023-09-07 03:30:00" "2023-09-07 03:00:00"
34200 44.47543 41.32429 51.55000 "2023-09-07 03:30:00" "2023-09-07 03:10:00"
34200 44.47543 41.32429 44.87143 "2023-09-07 03:30:00" "2023-09-07 03:20:00"
34200 44.47543 41.32429 27.85000 "2023-09-07 03:30:00" "2023-09-07 03:30:00"
34800 44.46591 40.87846 49.88750 "2023-09-07 03:40:00" "2023-09-07 02:50:00"
34800 44.46591 40.87846 57.32857 "2023-09-07 03:40:00" "2023-09-07 03:00:00"
34800 44.46591 40.87846 51.55000 "2023-09-07 03:40:00" "2023-09-07 03:10:00"
34800 44.46591 40.87846 44.87143 "2023-09-07 03:40:00" "2023-09-07 03:20:00"
34800 44.46591 40.87846 27.85000 "2023-09-07 03:40:00" "2023-09-07 03:30:00"
34800 44.46591 40.87846 35.21429 "2023-09-07 03:40:00" "2023-09-07 03:40:00"
35400 45.95469 40.71728 57.32857 "2023-09-07 03:50:00" "2023-09-07 03:00:00"
35400 45.95469 40.71728 51.55000 "2023-09-07 03:50:00" "2023-09-07 03:10:00"
35400 45.95469 40.71728 44.87143 "2023-09-07 03:50:00" "2023-09-07 03:20:00"
35400 45.95469 40.71728 27.85000 "2023-09-07 03:50:00" "2023-09-07 03:30:00"
35400 45.95469 40.71728 35.21429 "2023-09-07 03:50:00" "2023-09-07 03:40:00"
35400 45.95469 40.71728 48.11250 "2023-09-07 03:50:00" "2023-09-07 03:50:00"
36000 48.60514 39.93333 51.55000 "2023-09-07 04:00:00" "2023-09-07 03:10:00"
36000 48.60514 39.93333 44.87143 "2023-09-07 04:00:00" "2023-09-07 03:20:00"
36000 48.60514 39.93333 27.85000 "2023-09-07 04:00:00" "2023-09-07 03:30:00"
36000 48.60514 39.93333 35.21429 "2023-09-07 04:00:00" "2023-09-07 03:40:00"
36000 48.60514 39.93333 48.11250 "2023-09-07 04:00:00" "2023-09-07 03:50:00"
36000 48.60514 39.93333 54.75714 "2023-09-07 04:00:00" "2023-09-07 04:00:00"
36600 50.29586 41.71923 44.87143 "2023-09-07 04:10:00" "2023-09-07 03:20:00"
36600 50.29586 41.71923 27.85000 "2023-09-07 04:10:00" "2023-09-07 03:30:00"
36600 50.29586 41.71923 35.21429 "2023-09-07 04:10:00" "2023-09-07 03:40:00"
36600 50.29586 41.71923 48.11250 "2023-09-07 04:10:00" "2023-09-07 03:50:00"
36600 50.29586 41.71923 54.75714 "2023-09-07 04:10:00" "2023-09-07 04:00:00"
36600 50.29586 41.71923 54.82500 "2023-09-07 04:10:00" "2023-09-07 04:10:00"
37200 49.02496 43.54441 27.85000 "2023-09-07 04:20:00" "2023-09-07 03:30:00"
37200 49.02496 43.54441 35.21429 "2023-09-07 04:20:00" "2023-09-07 03:40:00"
37200 49.02496 43.54441 48.11250 "2023-09-07 04:20:00" "2023-09-07 03:50:00"
37200 49.02496 43.54441 54.75714 "2023-09-07 04:20:00" "2023-09-07 04:00:00"
37200 49.02496 43.54441 54.82500 "2023-09-07 04:20:00" "2023-09-07 04:10:00"
37200 49.02496 43.54441 48.72857 "2023-09-07 04:20:00" "2023-09-07 04:20:00"
37800 46.68146 44.36678 35.21429 "2023-09-07 04:30:00" "2023-09-07 03:40:00"
37800 46.68146 44.36678 48.11250 "2023-09-07 04:30:00" "2023-09-07 03:50:00"
37800 46.68146 44.36678 54.75714 "2023-09-07 04:30:00" "2023-09-07 04:00:00"
37800 46.68146 44.36678 54.82500 "2023-09-07 04:30:00" "2023-09-07 04:10:00"
