20230913
Seconds MEASURES_glf(%) MNH_GLF(%) "AR_GLF (%)" Date_of_forecast Date_of_computing
20400 47.84984 48.48731 50.60448 "2023-09-13 23:40:00" "2023-09-13 23:40:00"
21000 47.76628 48.02185 47.52690 "2023-09-13 23:50:00" "2023-09-13 23:40:00"
21000 47.76628 48.02185 49.58257 "2023-09-13 23:50:00" "2023-09-13 23:50:00"
21600 47.71192 46.59573 44.91763 "2023-09-14 00:00:00" "2023-09-13 23:40:00"
21600 47.71192 46.59573 48.63197 "2023-09-14 00:00:00" "2023-09-13 23:50:00"
21600 47.71192 46.59573 45.77448 "2023-09-14 00:00:00" "2023-09-14 00:00:00"
22200 47.06191 43.68462 41.27494 "2023-09-14 00:10:00" "2023-09-13 23:40:00"
22200 47.06191 43.68462 46.06822 "2023-09-14 00:10:00" "2023-09-13 23:50:00"
22200 47.06191 43.68462 42.11117 "2023-09-14 00:10:00" "2023-09-14 00:00:00"
22200 47.06191 43.68462 46.28011 "2023-09-14 00:10:00" "2023-09-14 00:10:00"
22800 45.45345 39.68304 36.36032 "2023-09-14 00:20:00" "2023-09-13 23:40:00"
22800 45.45345 39.68304 41.99673 "2023-09-14 00:20:00" "2023-09-13 23:50:00"
22800 45.45345 39.68304 37.09740 "2023-09-14 00:20:00" "2023-09-14 00:00:00"
22800 45.45345 39.68304 43.55207 "2023-09-14 00:20:00" "2023-09-14 00:10:00"
22800 45.45345 39.68304 45.33251 "2023-09-14 00:20:00" "2023-09-14 00:20:00"
23400 44.47929 38.22334 33.37096 "2023-09-14 00:30:00" "2023-09-13 23:40:00"
23400 44.47929 38.22334 39.72651 "2023-09-14 00:30:00" "2023-09-13 23:50:00"
23400 44.47929 38.22334 34.06087 "2023-09-14 00:30:00" "2023-09-14 00:00:00"
23400 44.47929 38.22334 42.04614 "2023-09-14 00:30:00" "2023-09-14 00:10:00"
23400 44.47929 38.22334 44.15298 "2023-09-14 00:30:00" "2023-09-14 00:20:00"
23400 44.47929 38.22334 44.69566 "2023-09-14 00:30:00" "2023-09-14 00:30:00"
24000 44.81222 38.59528 41.14978 "2023-09-14 00:40:00" "2023-09-13 23:50:00"
24000 44.81222 38.59528 34.83229 "2023-09-14 00:40:00" "2023-09-14 00:00:00"
24000 44.81222 38.59528 44.03410 "2023-09-14 00:40:00" "2023-09-14 00:10:00"
24000 44.81222 38.59528 46.38288 "2023-09-14 00:40:00" "2023-09-14 00:20:00"
24000 44.81222 38.59528 47.17334 "2023-09-14 00:40:00" "2023-09-14 00:30:00"
24000 44.81222 38.59528 40.71559 "2023-09-14 00:40:00" "2023-09-14 00:40:00"
24600 44.85243 38.03349 33.90395 "2023-09-14 00:50:00" "2023-09-14 00:00:00"
24600 44.85243 38.03349 44.07103 "2023-09-14 00:50:00" "2023-09-14 00:10:00"
24600 44.85243 38.03349 46.66750 "2023-09-14 00:50:00" "2023-09-14 00:20:00"
24600 44.85243 38.03349 47.64486 "2023-09-14 00:50:00" "2023-09-14 00:30:00"
24600 44.85243 38.03349 37.88642 "2023-09-14 00:50:00" "2023-09-14 00:40:00"
24600 44.85243 38.03349 42.51717 "2023-09-14 00:50:00" "2023-09-14 00:50:00"
25200 43.39838 38.33044 44.75500 "2023-09-14 01:00:00" "2023-09-14 00:10:00"
25200 43.39838 38.33044 47.55761 "2023-09-14 01:00:00" "2023-09-14 00:20:00"
25200 43.39838 38.33044 48.68802 "2023-09-14 01:00:00" "2023-09-14 00:30:00"
25200 43.39838 38.33044 36.54735 "2023-09-14 01:00:00" "2023-09-14 00:40:00"
25200 43.39838 38.33044 42.47125 "2023-09-14 01:00:00" "2023-09-14 00:50:00"
25200 43.39838 38.33044 42.19815 "2023-09-14 01:00:00" "2023-09-14 01:00:00"
25800 41.37615 40.64552 49.76457 "2023-09-14 01:10:00" "2023-09-14 00:20:00"
25800 41.37615 40.64552 51.02982 "2023-09-14 01:10:00" "2023-09-14 00:30:00"
25800 41.37615 40.64552 37.02050 "2023-09-14 01:10:00" "2023-09-14 00:40:00"
25800 41.37615 40.64552 43.92536 "2023-09-14 01:10:00" "2023-09-14 00:50:00"
25800 41.37615 40.64552 43.64014 "2023-09-14 01:10:00" "2023-09-14 01:00:00"
25800 41.37615 40.64552 40.46598 "2023-09-14 01:10:00" "2023-09-14 01:10:00"
26400 39.29881 42.70578 53.66251 "2023-09-14 01:20:00" "2023-09-14 00:30:00"
26400 39.29881 42.70578 38.07800 "2023-09-14 01:20:00" "2023-09-14 00:40:00"
26400 39.29881 42.70578 45.82361 "2023-09-14 01:20:00" "2023-09-14 00:50:00"
26400 39.29881 42.70578 45.52702 "2023-09-14 01:20:00" "2023-09-14 01:00:00"
26400 39.29881 42.70578 40.21689 "2023-09-14 01:20:00" "2023-09-14 01:10:00"
26400 39.29881 42.70578 37.98307 "2023-09-14 01:20:00" "2023-09-14 01:20:00"
27000 35.64873 44.78928 39.09202 "2023-09-14 01:30:00" "2023-09-14 00:40:00"
27000 35.64873 44.78928 47.55021 "2023-09-14 01:30:00" "2023-09-14 00:50:00"
27000 35.64873 44.78928 47.22453 "2023-09-14 01:30:00" "2023-09-14 01:00:00"
27000 35.64873 44.78928 40.49186 "2023-09-14 01:30:00" "2023-09-14 01:10:00"
27000 35.64873 44.78928 37.35464 "2023-09-14 01:30:00" "2023-09-14 01:20:00"
27000 35.64873 44.78928 35.40964 "2023-09-14 01:30:00" "2023-09-14 01:30:00"
27600 34.69119 45.53178 48.45462 "2023-09-14 01:40:00" "2023-09-14 00:50:00"
27600 34.69119 45.53178 48.10724 "2023-09-14 01:40:00" "2023-09-14 01:00:00"
27600 34.69119 45.53178 40.26239 "2023-09-14 01:40:00" "2023-09-14 01:10:00"
27600 34.69119 45.53178 36.41578 "2023-09-14 01:40:00" "2023-09-14 01:20:00"
27600 34.69119 45.53178 32.89275 "2023-09-14 01:40:00" "2023-09-14 01:30:00"
27600 34.69119 45.53178 33.83719 "2023-09-14 01:40:00" "2023-09-14 01:40:00"
28200 31.63366 46.96557 49.21794 "2023-09-14 01:50:00" "2023-09-14 01:00:00"
28200 31.63366 46.96557 40.45525 "2023-09-14 01:50:00" "2023-09-14 01:10:00"
28200 31.63366 46.96557 36.03095 "2023-09-14 01:50:00" "2023-09-14 01:20:00"
28200 31.63366 46.96557 31.42040 "2023-09-14 01:50:00" "2023-09-14 01:30:00"
28200 31.63366 46.96557 33.74406 "2023-09-14 01:50:00" "2023-09-14 01:40:00"
28200 31.63366 46.96557 31.05680 "2023-09-14 01:50:00" "2023-09-14 01:50:00"
28800 30.61965 47.20269 40.43091 "2023-09-14 02:00:00" "2023-09-14 01:10:00"
28800 30.61965 47.20269 35.54628 "2023-09-14 02:00:00" "2023-09-14 01:20:00"
28800 30.61965 47.20269 30.10857 "2023-09-14 02:00:00" "2023-09-14 01:30:00"
28800 30.61965 47.20269 33.27627 "2023-09-14 02:00:00" "2023-09-14 01:40:00"
28800 30.61965 47.20269 27.99283 "2023-09-14 02:00:00" "2023-09-14 01:50:00"
28800 30.61965 47.20269 29.46431 "2023-09-14 02:00:00" "2023-09-14 02:00:00"
29400 31.27824 46.84618 34.60806 "2023-09-14 02:10:00" "2023-09-14 01:20:00"
29400 31.27824 46.84618 28.43599 "2023-09-14 02:10:00" "2023-09-14 01:30:00"
29400 31.27824 46.84618 32.22896 "2023-09-14 02:10:00" "2023-09-14 01:40:00"
29400 31.27824 46.84618 25.13496 "2023-09-14 02:10:00" "2023-09-14 01:50:00"
29400 31.27824 46.84618 27.52038 "2023-09-14 02:10:00" "2023-09-14 02:00:00"
29400 31.27824 46.84618 30.52923 "2023-09-14 02:10:00" "2023-09-14 02:10:00"
30000 30.72377 47.79937 28.39470 "2023-09-14 02:20:00" "2023-09-14 01:30:00"
30000 30.72377 47.79937 32.74972 "2023-09-14 02:20:00" "2023-09-14 01:40:00"
30000 30.72377 47.79937 24.30437 "2023-09-14 02:20:00" "2023-09-14 01:50:00"
30000 30.72377 47.79937 27.26194 "2023-09-14 02:20:00" "2023-09-14 02:00:00"
30000 30.72377 47.79937 31.11784 "2023-09-14 02:20:00" "2023-09-14 02:10:00"
30000 30.72377 47.79937 31.00921 "2023-09-14 02:20:00" "2023-09-14 02:20:00"
30600 33.54741 49.06588 34.62786 "2023-09-14 02:30:00" "2023-09-14 01:40:00"
30600 33.54741 49.06588 24.96128 "2023-09-14 02:30:00" "2023-09-14 01:50:00"
30600 33.54741 49.06588 28.38374 "2023-09-14 02:30:00" "2023-09-14 02:00:00"
30600 33.54741 49.06588 32.93123 "2023-09-14 02:30:00" "2023-09-14 02:10:00"
30600 33.54741 49.06588 31.89370 "2023-09-14 02:30:00" "2023-09-14 02:20:00"
30600 33.54741 49.06588 31.18873 "2023-09-14 02:30:00" "2023-09-14 02:30:00"
31200 35.25948 49.34986 24.61694 "2023-09-14 02:40:00" "2023-09-14 01:50:00"
31200 35.25948 49.34986 28.41591 "2023-09-14 02:40:00" "2023-09-14 02:00:00"
31200 35.25948 49.34986 33.55756 "2023-09-14 02:40:00" "2023-09-14 02:10:00"
31200 35.25948 49.34986 31.97875 "2023-09-14 02:40:00" "2023-09-14 02:20:00"
31200 35.25948 49.34986 30.80404 "2023-09-14 02:40:00" "2023-09-14 02:30:00"
31200 35.25948 49.34986 35.75757 "2023-09-14 02:40:00" "2023-09-14 02:40:00"
31800 36.88886 50.59194 30.07751 "2023-09-14 02:50:00" "2023-09-14 02:00:00"
31800 36.88886 50.59194 35.69870 "2023-09-14 02:50:00" "2023-09-14 02:10:00"
31800 36.88886 50.59194 33.70787 "2023-09-14 02:50:00" "2023-09-14 02:20:00"
31800 36.88886 50.59194 32.21557 "2023-09-14 02:50:00" "2023-09-14 02:30:00"
31800 36.88886 50.59194 38.58105 "2023-09-14 02:50:00" "2023-09-14 02:40:00"
31800 36.88886 50.59194 37.15990 "2023-09-14 02:50:00" "2023-09-14 02:50:00"
32400 38.60643 50.63325 36.74307 "2023-09-14 03:00:00" "2023-09-14 02:10:00"
32400 38.60643 50.63325 34.36083 "2023-09-14 03:00:00" "2023-09-14 02:20:00"
32400 38.60643 50.63325 32.61930 "2023-09-14 03:00:00" "2023-09-14 02:30:00"
32400 38.60643 50.63325 40.19001 "2023-09-14 03:00:00" "2023-09-14 02:40:00"
32400 38.60643 50.63325 38.21633 "2023-09-14 03:00:00" "2023-09-14 02:50:00"
32400 38.60643 50.63325 38.88960 "2023-09-14 03:00:00" "2023-09-14 03:00:00"
33000 39.21997 50.52885 34.53556 "2023-09-14 03:10:00" "2023-09-14 02:20:00"
33000 39.21997 50.52885 32.59623 "2023-09-14 03:10:00" "2023-09-14 02:30:00"
33000 39.21997 50.52885 41.21227 "2023-09-14 03:10:00" "2023-09-14 02:40:00"
33000 39.21997 50.52885 38.86853 "2023-09-14 03:10:00" "2023-09-14 02:50:00"
33000 39.21997 50.52885 40.48389 "2023-09-14 03:10:00" "2023-09-14 03:00:00"
33000 39.21997 50.52885 38.84833 "2023-09-14 03:10:00" "2023-09-14 03:10:00"
33600 41.36539 50.47805 32.73716 "2023-09-14 03:20:00" "2023-09-14 02:30:00"
33600 41.36539 50.47805 42.09745 "2023-09-14 03:20:00" "2023-09-14 02:40:00"
33600 41.36539 50.47805 39.43080 "2023-09-14 03:20:00" "2023-09-14 02:50:00"
33600 41.36539 50.47805 41.65447 "2023-09-14 03:20:00" "2023-09-14 03:00:00"
33600 41.36539 50.47805 39.15571 "2023-09-14 03:20:00" "2023-09-14 03:10:00"
33600 41.36539 50.47805 41.57101 "2023-09-14 03:20:00" "2023-09-14 03:20:00"
34200 42.38668 50.18945 42.43085 "2023-09-14 03:30:00" "2023-09-14 02:40:00"
34200 42.38668 50.18945 39.52647 "2023-09-14 03:30:00" "2023-09-14 02:50:00"
34200 42.38668 50.18945 42.22437 "2023-09-14 03:30:00" "2023-09-14 03:00:00"
34200 42.38668 50.18945 39.11147 "2023-09-14 03:30:00" "2023-09-14 03:10:00"
34200 42.38668 50.18945 42.88031 "2023-09-14 03:30:00" "2023-09-14 03:20:00"
34200 42.38668 50.18945 43.28349 "2023-09-14 03:30:00" "2023-09-14 03:30:00"
34800 43.67525 50.52867 40.08055 "2023-09-14 03:40:00" "2023-09-14 02:50:00"
34800 43.67525 50.52867 43.19074 "2023-09-14 03:40:00" "2023-09-14 03:00:00"
34800 43.67525 50.52867 39.56877 "2023-09-14 03:40:00" "2023-09-14 03:10:00"
34800 43.67525 50.52867 44.33945 "2023-09-14 03:40:00" "2023-09-14 03:20:00"
34800 43.67525 50.52867 44.59442 "2023-09-14 03:40:00" "2023-09-14 03:30:00"
34800 43.67525 50.52867 44.13653 "2023-09-14 03:40:00" "2023-09-14 03:40:00"
35400 45.14144 50.34856 43.77110 "2023-09-14 03:50:00" "2023-09-14 03:00:00"
35400 45.14144 50.34856 39.73900 "2023-09-14 03:50:00" "2023-09-14 03:10:00"
35400 45.14144 50.34856 45.31460 "2023-09-14 03:50:00" "2023-09-14 03:20:00"
35400 45.14144 50.34856 45.53712 "2023-09-14 03:50:00" "2023-09-14 03:30:00"
