20230901
Seconds MEASURES_glf(%) MNH_GLF(%) "AR_GLF (%)" Date_of_forecast Date_of_computing
19800 21.12214 48.31359 22.99995 "2023-09-01 23:30:00" "2023-09-01 23:30:00"
20400 24.36237 49.57058 25.45112 "2023-09-01 23:40:00" "2023-09-01 23:30:00"
20400 24.36237 49.57058 23.05854 "2023-09-01 23:40:00" "2023-09-01 23:40:00"
21000 28.36895 50.11515 26.17307 "2023-09-01 23:50:00" "2023-09-01 23:30:00"
21000 28.36895 50.11515 23.04018 "2023-09-01 23:50:00" "2023-09-01 23:40:00"
21000 28.36895 50.11515 27.90591 "2023-09-01 23:50:00" "2023-09-01 23:50:00"
21600 31.70735 54.21333 30.53379 "2023-09-02 00:00:00" "2023-09-01 23:30:00"
21600 31.70735 54.21333 26.73458 "2023-09-02 00:00:00" "2023-09-01 23:40:00"
21600 31.70735 54.21333 34.47367 "2023-09-02 00:00:00" "2023-09-01 23:50:00"
21600 31.70735 54.21333 31.08177 "2023-09-02 00:00:00" "2023-09-02 00:00:00"
22200 37.65921 57.46871 35.74529 "2023-09-02 00:10:00" "2023-09-01 23:30:00"
22200 37.65921 57.46871 31.50062 "2023-09-02 00:10:00" "2023-09-01 23:40:00"
22200 37.65921 57.46871 41.52890 "2023-09-02 00:10:00" "2023-09-01 23:50:00"
22200 37.65921 57.46871 35.17167 "2023-09-02 00:10:00" "2023-09-02 00:00:00"
22200 37.65921 57.46871 35.22266 "2023-09-02 00:10:00" "2023-09-02 00:10:00"
22800 43.46087 57.57117 37.35011 "2023-09-02 00:20:00" "2023-09-01 23:30:00"
22800 43.46087 57.57117 32.86093 "2023-09-02 00:20:00" "2023-09-01 23:40:00"
22800 43.46087 57.57117 44.56543 "2023-09-02 00:20:00" "2023-09-01 23:50:00"
22800 43.46087 57.57117 36.02204 "2023-09-02 00:20:00" "2023-09-02 00:00:00"
22800 43.46087 57.57117 35.00986 "2023-09-02 00:20:00" "2023-09-02 00:10:00"
22800 43.46087 57.57117 44.06194 "2023-09-02 00:20:00" "2023-09-02 00:20:00"
23400 47.02386 54.67192 32.06672 "2023-09-02 00:30:00" "2023-09-01 23:40:00"
23400 47.02386 54.67192 44.82764 "2023-09-02 00:30:00" "2023-09-01 23:50:00"
23400 47.02386 54.67192 34.68492 "2023-09-02 00:30:00" "2023-09-02 00:00:00"
23400 47.02386 54.67192 33.15396 "2023-09-02 00:30:00" "2023-09-02 00:10:00"
