20230902
Seconds MEASURES_glf(%) MNH_GLF(%) "AR_GLF (%)" Date_of_forecast Date_of_computing
31800 68.79589 68.27547 68.19961 "2023-09-03 02:50:00" "2023-09-03 02:30:00"
31800 68.79589 68.27547 68.52747 "2023-09-03 02:50:00" "2023-09-03 02:40:00"
31800 68.79589 68.27547 68.53785 "2023-09-03 02:50:00" "2023-09-03 02:50:00"
32400 70.54171 66.87217 67.86411 "2023-09-03 03:00:00" "2023-09-03 02:10:00"
32400 70.54171 66.87217 66.74834 "2023-09-03 03:00:00" "2023-09-03 02:20:00"
32400 70.54171 66.87217 67.20617 "2023-09-03 03:00:00" "2023-09-03 02:30:00"
32400 70.54171 66.87217 67.60739 "2023-09-03 03:00:00" "2023-09-03 02:40:00"
32400 70.54171 66.87217 67.59338 "2023-09-03 03:00:00" "2023-09-03 02:50:00"
32400 70.54171 66.87217 68.60863 "2023-09-03 03:00:00" "2023-09-03 03:00:00"
33000 70.34906 65.92867 65.94621 "2023-09-03 03:10:00" "2023-09-03 02:20:00"
33000 70.34906 65.92867 66.37357 "2023-09-03 03:10:00" "2023-09-03 02:30:00"
33000 70.34906 65.92867 66.81692 "2023-09-03 03:10:00" "2023-09-03 02:40:00"
33000 70.34906 65.92867 66.77355 "2023-09-03 03:10:00" "2023-09-03 02:50:00"
33000 70.34906 65.92867 68.21875 "2023-09-03 03:10:00" "2023-09-03 03:00:00"
33000 70.34906 65.92867 67.93966 "2023-09-03 03:10:00" "2023-09-03 03:10:00"
33600 67.84151 64.42903 65.07131 "2023-09-03 03:20:00" "2023-09-03 02:30:00"
33600 67.84151 64.42903 65.54005 "2023-09-03 03:20:00" "2023-09-03 02:40:00"
33600 67.84151 64.42903 65.46547 "2023-09-03 03:20:00" "2023-09-03 02:50:00"
33600 67.84151 64.42903 67.26480 "2023-09-03 03:20:00" "2023-09-03 03:00:00"
33600 67.84151 64.42903 66.51910 "2023-09-03 03:20:00" "2023-09-03 03:10:00"
33600 67.84151 64.42903 64.71809 "2023-09-03 03:20:00" "2023-09-03 03:20:00"
34200 55.95825 63.89596 64.73972 "2023-09-03 03:30:00" "2023-09-03 02:40:00"
34200 55.95825 63.89596 64.64862 "2023-09-03 03:30:00" "2023-09-03 02:50:00"
34200 55.95825 63.89596 66.65606 "2023-09-03 03:30:00" "2023-09-03 03:00:00"
34200 55.95825 63.89596 65.58780 "2023-09-03 03:30:00" "2023-09-03 03:10:00"
34200 55.95825 63.89596 63.30231 "2023-09-03 03:30:00" "2023-09-03 03:20:00"
34200 55.95825 63.89596 59.55813 "2023-09-03 03:30:00" "2023-09-03 03:30:00"
34800 47.88571 62.35157 63.46730 "2023-09-03 03:40:00" "2023-09-03 02:50:00"
34800 47.88571 62.35157 65.59240 "2023-09-03 03:40:00" "2023-09-03 03:00:00"
34800 47.88571 62.35157 64.22465 "2023-09-03 03:40:00" "2023-09-03 03:10:00"
34800 47.88571 62.35157 61.39789 "2023-09-03 03:40:00" "2023-09-03 03:20:00"
