20230918
Seconds MEASURES_glf(%) MNH_GLF(%) "AR_GLF (%)" Date_of_forecast Date_of_computing
20400 47.56263 60.23715 47.00544 "2023-09-18 23:40:00" "2023-09-18 23:40:00"
21000 44.82305 61.69991 48.80076 "2023-09-18 23:50:00" "2023-09-18 23:40:00"
21000 44.82305 61.69991 46.04657 "2023-09-18 23:50:00" "2023-09-18 23:50:00"
21600 43.03277 62.23170 50.36950 "2023-09-19 00:00:00" "2023-09-18 23:40:00"
21600 43.03277 62.23170 45.63099 "2023-09-19 00:00:00" "2023-09-18 23:50:00"
21600 43.03277 62.23170 43.52931 "2023-09-19 00:00:00" "2023-09-19 00:00:00"
22200 41.53399 62.38827 51.36158 "2023-09-19 00:10:00" "2023-09-18 23:40:00"
22200 41.53399 62.38827 45.12716 "2023-09-19 00:10:00" "2023-09-18 23:50:00"
22200 41.53399 62.38827 42.46303 "2023-09-19 00:10:00" "2023-09-19 00:00:00"
22200 41.53399 62.38827 40.74810 "2023-09-19 00:10:00" "2023-09-19 00:10:00"
22800 40.67625 62.77262 52.18531 "2023-09-19 00:20:00" "2023-09-18 23:40:00"
22800 40.67625 62.77262 44.49815 "2023-09-19 00:20:00" "2023-09-18 23:50:00"
22800 40.67625 62.77262 41.22350 "2023-09-19 00:20:00" "2023-09-19 00:00:00"
22800 40.67625 62.77262 38.66723 "2023-09-19 00:20:00" "2023-09-19 00:10:00"
22800 40.67625 62.77262 43.65566 "2023-09-19 00:20:00" "2023-09-19 00:20:00"
23400 44.16667 63.30482 53.26140 "2023-09-19 00:30:00" "2023-09-18 23:40:00"
23400 44.16667 63.30482 44.36162 "2023-09-19 00:30:00" "2023-09-18 23:50:00"
23400 44.16667 63.30482 40.51031 "2023-09-19 00:30:00" "2023-09-19 00:00:00"
23400 44.16667 63.30482 37.19007 "2023-09-19 00:30:00" "2023-09-19 00:10:00"
23400 44.16667 63.30482 44.53853 "2023-09-19 00:30:00" "2023-09-19 00:20:00"
23400 44.16667 63.30482 47.41825 "2023-09-19 00:30:00" "2023-09-19 00:30:00"
24000 49.08443 64.26704 44.89595 "2023-09-19 00:40:00" "2023-09-18 23:50:00"
