20230927
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
25800 3.22331 4.20117 3.64211 "2023-09-28 01:10:00" "2023-09-28 00:50:00"
25800 3.22331 4.20117 3.64296 "2023-09-28 01:10:00" "2023-09-28 01:00:00"
25800 3.22331 4.20117 3.24897 "2023-09-28 01:10:00" "2023-09-28 01:10:00"
26400 3.14907 4.44511 4.13397 "2023-09-28 01:20:00" "2023-09-28 00:30:00"
26400 3.14907 4.44511 3.93901 "2023-09-28 01:20:00" "2023-09-28 00:40:00"
26400 3.14907 4.44511 3.85214 "2023-09-28 01:20:00" "2023-09-28 00:50:00"
26400 3.14907 4.44511 3.83504 "2023-09-28 01:20:00" "2023-09-28 01:00:00"
26400 3.14907 4.44511 3.20488 "2023-09-28 01:20:00" "2023-09-28 01:10:00"
26400 3.14907 4.44511 3.22099 "2023-09-28 01:20:00" "2023-09-28 01:20:00"
27000 3.04184 4.68837 4.16395 "2023-09-28 01:30:00" "2023-09-28 00:40:00"
27000 3.04184 4.68837 4.05990 "2023-09-28 01:30:00" "2023-09-28 00:50:00"
27000 3.04184 4.68837 4.03444 "2023-09-28 01:30:00" "2023-09-28 01:00:00"
27000 3.04184 4.68837 3.24828 "2023-09-28 01:30:00" "2023-09-28 01:10:00"
27000 3.04184 4.68837 3.32095 "2023-09-28 01:30:00" "2023-09-28 01:20:00"
27000 3.04184 4.68837 3.08692 "2023-09-28 01:30:00" "2023-09-28 01:30:00"
27600 3.03467 4.97496 4.27039 "2023-09-28 01:40:00" "2023-09-28 00:50:00"
27600 3.03467 4.97496 4.23037 "2023-09-28 01:40:00" "2023-09-28 01:00:00"
27600 3.03467 4.97496 3.30624 "2023-09-28 01:40:00" "2023-09-28 01:10:00"
27600 3.03467 4.97496 3.41190 "2023-09-28 01:40:00" "2023-09-28 01:20:00"
27600 3.03467 4.97496 3.07393 "2023-09-28 01:40:00" "2023-09-28 01:30:00"
27600 3.03467 4.97496 3.01854 "2023-09-28 01:40:00" "2023-09-28 01:40:00"
28200 2.98338 5.37881 4.55547 "2023-09-28 01:50:00" "2023-09-28 01:00:00"
28200 2.98338 5.37881 3.51055 "2023-09-28 01:50:00" "2023-09-28 01:10:00"
28200 2.98338 5.37881 3.63903 "2023-09-28 01:50:00" "2023-09-28 01:20:00"
28200 2.98338 5.37881 3.22891 "2023-09-28 01:50:00" "2023-09-28 01:30:00"
28200 2.98338 5.37881 3.18563 "2023-09-28 01:50:00" "2023-09-28 01:40:00"
28200 2.98338 5.37881 2.98672 "2023-09-28 01:50:00" "2023-09-28 01:50:00"
28800 3.09293 5.51357 3.62998 "2023-09-28 02:00:00" "2023-09-28 01:10:00"
28800 3.09293 5.51357 3.78668 "2023-09-28 02:00:00" "2023-09-28 01:20:00"
28800 3.09293 5.51357 3.30800 "2023-09-28 02:00:00" "2023-09-28 01:30:00"
28800 3.09293 5.51357 3.26734 "2023-09-28 02:00:00" "2023-09-28 01:40:00"
28800 3.09293 5.51357 2.83110 "2023-09-28 02:00:00" "2023-09-28 01:50:00"
28800 3.09293 5.51357 3.00749 "2023-09-28 02:00:00" "2023-09-28 02:00:00"
29400 3.06910 5.31342 3.62946 "2023-09-28 02:10:00" "2023-09-28 01:20:00"
29400 3.06910 5.31342 3.09321 "2023-09-28 02:10:00" "2023-09-28 01:30:00"
29400 3.06910 5.31342 3.04933 "2023-09-28 02:10:00" "2023-09-28 01:40:00"
29400 3.06910 5.31342 2.46231 "2023-09-28 02:10:00" "2023-09-28 01:50:00"
29400 3.06910 5.31342 2.80459 "2023-09-28 02:10:00" "2023-09-28 02:00:00"
29400 3.06910 5.31342 3.02709 "2023-09-28 02:10:00" "2023-09-28 02:10:00"
30000 3.05903 5.31842 3.07619 "2023-09-28 02:20:00" "2023-09-28 01:30:00"
30000 3.05903 5.31842 3.03811 "2023-09-28 02:20:00" "2023-09-28 01:40:00"
30000 3.05903 5.31842 2.33494 "2023-09-28 02:20:00" "2023-09-28 01:50:00"
30000 3.05903 5.31842 2.78287 "2023-09-28 02:20:00" "2023-09-28 02:00:00"
30000 3.05903 5.31842 3.09251 "2023-09-28 02:20:00" "2023-09-28 02:10:00"
