20230831
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
21600 5.86949 2.14457 5.82691 "2023-09-01 00:00:00" "2023-09-01 00:00:00"
22200 5.76795 2.19802 5.83106 "2023-09-01 00:10:00" "2023-09-01 00:00:00"
22200 5.76795 2.19802 5.84377 "2023-09-01 00:10:00" "2023-09-01 00:10:00"
22800 5.52567 2.25229 5.77448 "2023-09-01 00:20:00" "2023-09-01 00:00:00"
22800 5.52567 2.25229 5.71059 "2023-09-01 00:20:00" "2023-09-01 00:10:00"
22800 5.52567 2.25229 5.59103 "2023-09-01 00:20:00" "2023-09-01 00:20:00"
23400 5.41544 2.32074 5.66274 "2023-09-01 00:30:00" "2023-09-01 00:00:00"
23400 5.41544 2.32074 5.54698 "2023-09-01 00:30:00" "2023-09-01 00:10:00"
23400 5.41544 2.32074 5.41341 "2023-09-01 00:30:00" "2023-09-01 00:20:00"
23400 5.41544 2.32074 5.40445 "2023-09-01 00:30:00" "2023-09-01 00:30:00"
24000 5.22931 2.29114 5.39949 "2023-09-01 00:40:00" "2023-09-01 00:00:00"
24000 5.22931 2.29114 5.24358 "2023-09-01 00:40:00" "2023-09-01 00:10:00"
24000 5.22931 2.29114 5.09298 "2023-09-01 00:40:00" "2023-09-01 00:20:00"
24000 5.22931 2.29114 5.19308 "2023-09-01 00:40:00" "2023-09-01 00:30:00"
24000 5.22931 2.29114 5.23038 "2023-09-01 00:40:00" "2023-09-01 00:40:00"
24600 5.02143 2.21790 5.08400 "2023-09-01 00:50:00" "2023-09-01 00:00:00"
24600 5.02143 2.21790 4.89451 "2023-09-01 00:50:00" "2023-09-01 00:10:00"
24600 5.02143 2.21790 4.73364 "2023-09-01 00:50:00" "2023-09-01 00:20:00"
24600 5.02143 2.21790 4.90428 "2023-09-01 00:50:00" "2023-09-01 00:30:00"
24600 5.02143 2.21790 4.97093 "2023-09-01 00:50:00" "2023-09-01 00:40:00"
24600 5.02143 2.21790 5.05584 "2023-09-01 00:50:00" "2023-09-01 00:50:00"
25200 4.91184 2.31883 4.76353 "2023-09-01 01:00:00" "2023-09-01 00:10:00"
25200 4.91184 2.31883 4.60435 "2023-09-01 01:00:00" "2023-09-01 00:20:00"
25200 4.91184 2.31883 4.82917 "2023-09-01 01:00:00" "2023-09-01 00:30:00"
25200 4.91184 2.31883 4.90998 "2023-09-01 01:00:00" "2023-09-01 00:40:00"
25200 4.91184 2.31883 5.08217 "2023-09-01 01:00:00" "2023-09-01 00:50:00"
25200 4.91184 2.31883 4.88885 "2023-09-01 01:00:00" "2023-09-01 01:00:00"
25800 4.85275 2.39821 4.51948 "2023-09-01 01:10:00" "2023-09-01 00:20:00"
25800 4.85275 2.39821 4.78859 "2023-09-01 01:10:00" "2023-09-01 00:30:00"
25800 4.85275 2.39821 4.87904 "2023-09-01 01:10:00" "2023-09-01 00:40:00"
25800 4.85275 2.39821 5.10825 "2023-09-01 01:10:00" "2023-09-01 00:50:00"
25800 4.85275 2.39821 4.79566 "2023-09-01 01:10:00" "2023-09-01 01:00:00"
