20230919
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "PERSISTENCE("")" Date_of_forecast Date_of_computing
27600 0.67217 0.82020 0.61933 "2023-09-20 01:40:00" "2023-09-20 01:40:00"
28200 0.67184 0.82027 0.61933 "2023-09-20 01:50:00" "2023-09-20 01:40:00"
28200 0.67184 0.82027 0.66171 "2023-09-20 01:50:00" "2023-09-20 01:50:00"
28800 0.71042 0.80844 0.61933 "2023-09-20 02:00:00" "2023-09-20 01:40:00"
28800 0.71042 0.80844 0.66171 "2023-09-20 02:00:00" "2023-09-20 01:50:00"
28800 0.71042 0.80844 0.65386 "2023-09-20 02:00:00" "2023-09-20 02:00:00"
29400 0.84984 0.77777 0.61933 "2023-09-20 02:10:00" "2023-09-20 01:40:00"
29400 0.84984 0.77777 0.66171 "2023-09-20 02:10:00" "2023-09-20 01:50:00"
29400 0.84984 0.77777 0.65386 "2023-09-20 02:10:00" "2023-09-20 02:00:00"
29400 0.84984 0.77777 0.68425 "2023-09-20 02:10:00" "2023-09-20 02:10:00"
30000 0.92649 0.76252 0.61933 "2023-09-20 02:20:00" "2023-09-20 01:40:00"
30000 0.92649 0.76252 0.66171 "2023-09-20 02:20:00" "2023-09-20 01:50:00"
30000 0.92649 0.76252 0.65386 "2023-09-20 02:20:00" "2023-09-20 02:00:00"
30000 0.92649 0.76252 0.68425 "2023-09-20 02:20:00" "2023-09-20 02:10:00"
30000 0.92649 0.76252 0.76571 "2023-09-20 02:20:00" "2023-09-20 02:20:00"
30600 0.96830 0.74840 0.61933 "2023-09-20 02:30:00" "2023-09-20 01:40:00"
30600 0.96830 0.74840 0.66171 "2023-09-20 02:30:00" "2023-09-20 01:50:00"
30600 0.96830 0.74840 0.65386 "2023-09-20 02:30:00" "2023-09-20 02:00:00"
30600 0.96830 0.74840 0.68425 "2023-09-20 02:30:00" "2023-09-20 02:10:00"
30600 0.96830 0.74840 0.76571 "2023-09-20 02:30:00" "2023-09-20 02:20:00"
30600 0.96830 0.74840 0.60857 "2023-09-20 02:30:00" "2023-09-20 02:30:00"
31200 0.94751 0.73865 0.66171 "2023-09-20 02:40:00" "2023-09-20 01:50:00"
31200 0.94751 0.73865 0.65386 "2023-09-20 02:40:00" "2023-09-20 02:00:00"
31200 0.94751 0.73865 0.68425 "2023-09-20 02:40:00" "2023-09-20 02:10:00"
31200 0.94751 0.73865 0.76571 "2023-09-20 02:40:00" "2023-09-20 02:20:00"
31200 0.94751 0.73865 0.60857 "2023-09-20 02:40:00" "2023-09-20 02:30:00"
31200 0.94751 0.73865 1.38850 "2023-09-20 02:40:00" "2023-09-20 02:40:00"
31800 0.92997 0.72497 0.65386 "2023-09-20 02:50:00" "2023-09-20 02:00:00"
31800 0.92997 0.72497 0.68425 "2023-09-20 02:50:00" "2023-09-20 02:10:00"
31800 0.92997 0.72497 0.76571 "2023-09-20 02:50:00" "2023-09-20 02:20:00"
31800 0.92997 0.72497 0.60857 "2023-09-20 02:50:00" "2023-09-20 02:30:00"
31800 0.92997 0.72497 1.38850 "2023-09-20 02:50:00" "2023-09-20 02:40:00"
31800 0.92997 0.72497 1.30271 "2023-09-20 02:50:00" "2023-09-20 02:50:00"
32400 0.89786 0.71532 0.68425 "2023-09-20 03:00:00" "2023-09-20 02:10:00"
32400 0.89786 0.71532 0.76571 "2023-09-20 03:00:00" "2023-09-20 02:20:00"
32400 0.89786 0.71532 0.60857 "2023-09-20 03:00:00" "2023-09-20 02:30:00"
32400 0.89786 0.71532 1.38850 "2023-09-20 03:00:00" "2023-09-20 02:40:00"
32400 0.89786 0.71532 1.30271 "2023-09-20 03:00:00" "2023-09-20 02:50:00"
32400 0.89786 0.71532 1.00633 "2023-09-20 03:00:00" "2023-09-20 03:00:00"
