20230910
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "PERSISTENCE("")" Date_of_forecast Date_of_computing
22200 2.35632 1.60346 1.86600 "2023-09-11 00:10:00" "2023-09-11 00:10:00"
22800 2.32473 1.65787 1.86600 "2023-09-11 00:20:00" "2023-09-11 00:10:00"
22800 2.32473 1.65787 2.06900 "2023-09-11 00:20:00" "2023-09-11 00:20:00"
23400 2.40402 1.67185 1.86600 "2023-09-11 00:30:00" "2023-09-11 00:10:00"
23400 2.40402 1.67185 2.06900 "2023-09-11 00:30:00" "2023-09-11 00:20:00"
23400 2.40402 1.67185 2.42620 "2023-09-11 00:30:00" "2023-09-11 00:30:00"
24000 2.41155 1.63915 1.86600 "2023-09-11 00:40:00" "2023-09-11 00:10:00"
24000 2.41155 1.63915 2.06900 "2023-09-11 00:40:00" "2023-09-11 00:20:00"
24000 2.41155 1.63915 2.42620 "2023-09-11 00:40:00" "2023-09-11 00:30:00"
24000 2.41155 1.63915 2.29400 "2023-09-11 00:40:00" "2023-09-11 00:40:00"
24600 2.38284 1.58796 1.86600 "2023-09-11 00:50:00" "2023-09-11 00:10:00"
24600 2.38284 1.58796 2.06900 "2023-09-11 00:50:00" "2023-09-11 00:20:00"
24600 2.38284 1.58796 2.42620 "2023-09-11 00:50:00" "2023-09-11 00:30:00"
24600 2.38284 1.58796 2.29400 "2023-09-11 00:50:00" "2023-09-11 00:40:00"
24600 2.38284 1.58796 2.54083 "2023-09-11 00:50:00" "2023-09-11 00:50:00"
25200 2.36309 1.59586 1.86600 "2023-09-11 01:00:00" "2023-09-11 00:10:00"
25200 2.36309 1.59586 2.06900 "2023-09-11 01:00:00" "2023-09-11 00:20:00"
25200 2.36309 1.59586 2.42620 "2023-09-11 01:00:00" "2023-09-11 00:30:00"
25200 2.36309 1.59586 2.29400 "2023-09-11 01:00:00" "2023-09-11 00:40:00"
25200 2.36309 1.59586 2.54083 "2023-09-11 01:00:00" "2023-09-11 00:50:00"
