20230902
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
18000 3.54636 2.79726 9999.00000 "2023-09-02 23:00:00" "2023-09-02 23:00:00"
18600 3.53761 2.79403 9999.00000 "2023-09-02 23:10:00" "2023-09-02 23:00:00"
18600 3.53761 2.79403 3.55650 "2023-09-02 23:10:00" "2023-09-02 23:10:00"
19200 3.52874 2.79401 9999.00000 "2023-09-02 23:20:00" "2023-09-02 23:00:00"
19200 3.52874 2.79401 3.55650 "2023-09-02 23:20:00" "2023-09-02 23:10:00"
19200 3.52874 2.79401 9999.00000 "2023-09-02 23:20:00" "2023-09-02 23:20:00"
19800 3.51940 2.81246 9999.00000 "2023-09-02 23:30:00" "2023-09-02 23:00:00"
19800 3.51940 2.81246 3.55650 "2023-09-02 23:30:00" "2023-09-02 23:10:00"
19800 3.51940 2.81246 9999.00000 "2023-09-02 23:30:00" "2023-09-02 23:20:00"
19800 3.51940 2.81246 3.52700 "2023-09-02 23:30:00" "2023-09-02 23:30:00"
20400 3.49650 2.81202 9999.00000 "2023-09-02 23:40:00" "2023-09-02 23:00:00"
20400 3.49650 2.81202 3.55650 "2023-09-02 23:40:00" "2023-09-02 23:10:00"
20400 3.49650 2.81202 9999.00000 "2023-09-02 23:40:00" "2023-09-02 23:20:00"
20400 3.49650 2.81202 3.52700 "2023-09-02 23:40:00" "2023-09-02 23:30:00"
20400 3.49650 2.81202 3.52050 "2023-09-02 23:40:00" "2023-09-02 23:40:00"
21000 3.46005 2.80998 9999.00000 "2023-09-02 23:50:00" "2023-09-02 23:00:00"
21000 3.46005 2.80998 3.55650 "2023-09-02 23:50:00" "2023-09-02 23:10:00"
21000 3.46005 2.80998 9999.00000 "2023-09-02 23:50:00" "2023-09-02 23:20:00"
21000 3.46005 2.80998 3.52700 "2023-09-02 23:50:00" "2023-09-02 23:30:00"
21000 3.46005 2.80998 3.52050 "2023-09-02 23:50:00" "2023-09-02 23:40:00"
21000 3.46005 2.80998 9999.00000 "2023-09-02 23:50:00" "2023-09-02 23:50:00"
21600 3.43365 2.81794 3.55650 "2023-09-03 00:00:00" "2023-09-02 23:10:00"
21600 3.43365 2.81794 9999.00000 "2023-09-03 00:00:00" "2023-09-02 23:20:00"
21600 3.43365 2.81794 3.52700 "2023-09-03 00:00:00" "2023-09-02 23:30:00"
21600 3.43365 2.81794 3.52050 "2023-09-03 00:00:00" "2023-09-02 23:40:00"
21600 3.43365 2.81794 9999.00000 "2023-09-03 00:00:00" "2023-09-02 23:50:00"
