20230921
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
25800 3.98649 2.76158 3.96000 "2023-09-22 01:10:00" "2023-09-22 00:50:00"
25800 3.98649 2.76158 9999.00000 "2023-09-22 01:10:00" "2023-09-22 01:00:00"
25800 3.98649 2.76158 3.92333 "2023-09-22 01:10:00" "2023-09-22 01:10:00"
26400 3.99555 2.80576 3.95600 "2023-09-22 01:20:00" "2023-09-22 00:30:00"
26400 3.99555 2.80576 3.94300 "2023-09-22 01:20:00" "2023-09-22 00:40:00"
26400 3.99555 2.80576 3.96000 "2023-09-22 01:20:00" "2023-09-22 00:50:00"
26400 3.99555 2.80576 9999.00000 "2023-09-22 01:20:00" "2023-09-22 01:00:00"
26400 3.99555 2.80576 3.92333 "2023-09-22 01:20:00" "2023-09-22 01:10:00"
26400 3.99555 2.80576 4.03867 "2023-09-22 01:20:00" "2023-09-22 01:20:00"
27000 4.00227 2.84990 3.94300 "2023-09-22 01:30:00" "2023-09-22 00:40:00"
27000 4.00227 2.84990 3.96000 "2023-09-22 01:30:00" "2023-09-22 00:50:00"
27000 4.00227 2.84990 9999.00000 "2023-09-22 01:30:00" "2023-09-22 01:00:00"
27000 4.00227 2.84990 3.92333 "2023-09-22 01:30:00" "2023-09-22 01:10:00"
27000 4.00227 2.84990 4.03867 "2023-09-22 01:30:00" "2023-09-22 01:20:00"
27000 4.00227 2.84990 9999.00000 "2023-09-22 01:30:00" "2023-09-22 01:30:00"
27600 4.06413 2.89404 3.96000 "2023-09-22 01:40:00" "2023-09-22 00:50:00"
27600 4.06413 2.89404 9999.00000 "2023-09-22 01:40:00" "2023-09-22 01:00:00"
27600 4.06413 2.89404 3.92333 "2023-09-22 01:40:00" "2023-09-22 01:10:00"
27600 4.06413 2.89404 4.03867 "2023-09-22 01:40:00" "2023-09-22 01:20:00"
27600 4.06413 2.89404 9999.00000 "2023-09-22 01:40:00" "2023-09-22 01:30:00"
27600 4.06413 2.89404 9999.00000 "2023-09-22 01:40:00" "2023-09-22 01:40:00"
28200 4.13350 2.93182 9999.00000 "2023-09-22 01:50:00" "2023-09-22 01:00:00"
28200 4.13350 2.93182 3.92333 "2023-09-22 01:50:00" "2023-09-22 01:10:00"
28200 4.13350 2.93182 4.03867 "2023-09-22 01:50:00" "2023-09-22 01:20:00"
28200 4.13350 2.93182 9999.00000 "2023-09-22 01:50:00" "2023-09-22 01:30:00"
28200 4.13350 2.93182 9999.00000 "2023-09-22 01:50:00" "2023-09-22 01:40:00"
28200 4.13350 2.93182 4.05000 "2023-09-22 01:50:00" "2023-09-22 01:50:00"
28800 4.14920 2.97462 3.92333 "2023-09-22 02:00:00" "2023-09-22 01:10:00"
28800 4.14920 2.97462 4.03867 "2023-09-22 02:00:00" "2023-09-22 01:20:00"
28800 4.14920 2.97462 9999.00000 "2023-09-22 02:00:00" "2023-09-22 01:30:00"
28800 4.14920 2.97462 9999.00000 "2023-09-22 02:00:00" "2023-09-22 01:40:00"
28800 4.14920 2.97462 4.05000 "2023-09-22 02:00:00" "2023-09-22 01:50:00"
28800 4.14920 2.97462 4.06600 "2023-09-22 02:00:00" "2023-09-22 02:00:00"
29400 4.17128 3.01438 4.03867 "2023-09-22 02:10:00" "2023-09-22 01:20:00"
29400 4.17128 3.01438 9999.00000 "2023-09-22 02:10:00" "2023-09-22 01:30:00"
29400 4.17128 3.01438 9999.00000 "2023-09-22 02:10:00" "2023-09-22 01:40:00"
29400 4.17128 3.01438 4.05000 "2023-09-22 02:10:00" "2023-09-22 01:50:00"
29400 4.17128 3.01438 4.06600 "2023-09-22 02:10:00" "2023-09-22 02:00:00"
29400 4.17128 3.01438 4.16100 "2023-09-22 02:10:00" "2023-09-22 02:10:00"
30000 4.17843 3.05711 9999.00000 "2023-09-22 02:20:00" "2023-09-22 01:30:00"
30000 4.17843 3.05711 9999.00000 "2023-09-22 02:20:00" "2023-09-22 01:40:00"
30000 4.17843 3.05711 4.05000 "2023-09-22 02:20:00" "2023-09-22 01:50:00"
30000 4.17843 3.05711 4.06600 "2023-09-22 02:20:00" "2023-09-22 02:00:00"
30000 4.17843 3.05711 4.16100 "2023-09-22 02:20:00" "2023-09-22 02:10:00"
30000 4.17843 3.05711 4.25700 "2023-09-22 02:20:00" "2023-09-22 02:20:00"
30600 4.17972 3.11222 9999.00000 "2023-09-22 02:30:00" "2023-09-22 01:40:00"
30600 4.17972 3.11222 4.05000 "2023-09-22 02:30:00" "2023-09-22 01:50:00"
30600 4.17972 3.11222 4.06600 "2023-09-22 02:30:00" "2023-09-22 02:00:00"
30600 4.17972 3.11222 4.16100 "2023-09-22 02:30:00" "2023-09-22 02:10:00"
30600 4.17972 3.11222 4.25700 "2023-09-22 02:30:00" "2023-09-22 02:20:00"
30600 4.17972 3.11222 4.21200 "2023-09-22 02:30:00" "2023-09-22 02:30:00"
31200 4.16167 3.16614 4.05000 "2023-09-22 02:40:00" "2023-09-22 01:50:00"
31200 4.16167 3.16614 4.06600 "2023-09-22 02:40:00" "2023-09-22 02:00:00"
31200 4.16167 3.16614 4.16100 "2023-09-22 02:40:00" "2023-09-22 02:10:00"
31200 4.16167 3.16614 4.25700 "2023-09-22 02:40:00" "2023-09-22 02:20:00"
31200 4.16167 3.16614 4.21200 "2023-09-22 02:40:00" "2023-09-22 02:30:00"
31200 4.16167 3.16614 9999.00000 "2023-09-22 02:40:00" "2023-09-22 02:40:00"
31800 4.10840 3.21112 4.06600 "2023-09-22 02:50:00" "2023-09-22 02:00:00"
31800 4.10840 3.21112 4.16100 "2023-09-22 02:50:00" "2023-09-22 02:10:00"
31800 4.10840 3.21112 4.25700 "2023-09-22 02:50:00" "2023-09-22 02:20:00"
31800 4.10840 3.21112 4.21200 "2023-09-22 02:50:00" "2023-09-22 02:30:00"
31800 4.10840 3.21112 9999.00000 "2023-09-22 02:50:00" "2023-09-22 02:40:00"
31800 4.10840 3.21112 4.18800 "2023-09-22 02:50:00" "2023-09-22 02:50:00"
32400 4.05224 3.25555 4.16100 "2023-09-22 03:00:00" "2023-09-22 02:10:00"
32400 4.05224 3.25555 4.25700 "2023-09-22 03:00:00" "2023-09-22 02:20:00"
32400 4.05224 3.25555 4.21200 "2023-09-22 03:00:00" "2023-09-22 02:30:00"
32400 4.05224 3.25555 9999.00000 "2023-09-22 03:00:00" "2023-09-22 02:40:00"
32400 4.05224 3.25555 4.18800 "2023-09-22 03:00:00" "2023-09-22 02:50:00"
32400 4.05224 3.25555 4.11300 "2023-09-22 03:00:00" "2023-09-22 03:00:00"
33000 4.00513 3.28917 4.25700 "2023-09-22 03:10:00" "2023-09-22 02:20:00"
33000 4.00513 3.28917 4.21200 "2023-09-22 03:10:00" "2023-09-22 02:30:00"
33000 4.00513 3.28917 9999.00000 "2023-09-22 03:10:00" "2023-09-22 02:40:00"
33000 4.00513 3.28917 4.18800 "2023-09-22 03:10:00" "2023-09-22 02:50:00"
33000 4.00513 3.28917 4.11300 "2023-09-22 03:10:00" "2023-09-22 03:00:00"
33000 4.00513 3.28917 4.08000 "2023-09-22 03:10:00" "2023-09-22 03:10:00"
33600 3.97074 3.31956 4.21200 "2023-09-22 03:20:00" "2023-09-22 02:30:00"
33600 3.97074 3.31956 9999.00000 "2023-09-22 03:20:00" "2023-09-22 02:40:00"
33600 3.97074 3.31956 4.18800 "2023-09-22 03:20:00" "2023-09-22 02:50:00"
33600 3.97074 3.31956 4.11300 "2023-09-22 03:20:00" "2023-09-22 03:00:00"
33600 3.97074 3.31956 4.08000 "2023-09-22 03:20:00" "2023-09-22 03:10:00"
33600 3.97074 3.31956 3.94900 "2023-09-22 03:20:00" "2023-09-22 03:20:00"
34200 3.94077 3.35123 9999.00000 "2023-09-22 03:30:00" "2023-09-22 02:40:00"
34200 3.94077 3.35123 4.18800 "2023-09-22 03:30:00" "2023-09-22 02:50:00"
34200 3.94077 3.35123 4.11300 "2023-09-22 03:30:00" "2023-09-22 03:00:00"
34200 3.94077 3.35123 4.08000 "2023-09-22 03:30:00" "2023-09-22 03:10:00"
34200 3.94077 3.35123 3.94900 "2023-09-22 03:30:00" "2023-09-22 03:20:00"
