20230918
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
25800 10.53082 11.58858 10.85540 "2023-09-19 01:10:00" "2023-09-19 00:50:00"
25800 10.53082 11.58858 10.55461 "2023-09-19 01:10:00" "2023-09-19 01:00:00"
25800 10.53082 11.58858 10.61680 "2023-09-19 01:10:00" "2023-09-19 01:10:00"
26400 10.65275 11.47830 10.49764 "2023-09-19 01:20:00" "2023-09-19 00:30:00"
26400 10.65275 11.47830 10.99986 "2023-09-19 01:20:00" "2023-09-19 00:40:00"
26400 10.65275 11.47830 11.28814 "2023-09-19 01:20:00" "2023-09-19 00:50:00"
26400 10.65275 11.47830 10.91057 "2023-09-19 01:20:00" "2023-09-19 01:00:00"
26400 10.65275 11.47830 11.00002 "2023-09-19 01:20:00" "2023-09-19 01:10:00"
26400 10.65275 11.47830 10.70249 "2023-09-19 01:20:00" "2023-09-19 01:20:00"
27000 10.73457 11.23616 11.12862 "2023-09-19 01:30:00" "2023-09-19 00:40:00"
27000 10.73457 11.23616 11.43662 "2023-09-19 01:30:00" "2023-09-19 00:50:00"
27000 10.73457 11.23616 11.00548 "2023-09-19 01:30:00" "2023-09-19 01:00:00"
27000 10.73457 11.23616 11.13144 "2023-09-19 01:30:00" "2023-09-19 01:10:00"
27000 10.73457 11.23616 10.67974 "2023-09-19 01:30:00" "2023-09-19 01:20:00"
27000 10.73457 11.23616 10.73313 "2023-09-19 01:30:00" "2023-09-19 01:30:00"
27600 10.74961 10.98979 11.34231 "2023-09-19 01:40:00" "2023-09-19 00:50:00"
27600 10.74961 10.98979 10.88001 "2023-09-19 01:40:00" "2023-09-19 01:00:00"
27600 10.74961 10.98979 11.03269 "2023-09-19 01:40:00" "2023-09-19 01:10:00"
27600 10.74961 10.98979 10.46904 "2023-09-19 01:40:00" "2023-09-19 01:20:00"
27600 10.74961 10.98979 10.62109 "2023-09-19 01:40:00" "2023-09-19 01:30:00"
27600 10.74961 10.98979 10.67540 "2023-09-19 01:40:00" "2023-09-19 01:40:00"
28200 10.59864 10.67311 10.74845 "2023-09-19 01:50:00" "2023-09-19 01:00:00"
28200 10.59864 10.67311 10.92524 "2023-09-19 01:50:00" "2023-09-19 01:10:00"
28200 10.59864 10.67311 10.28368 "2023-09-19 01:50:00" "2023-09-19 01:20:00"
28200 10.59864 10.67311 10.50669 "2023-09-19 01:50:00" "2023-09-19 01:30:00"
28200 10.59864 10.67311 10.59155 "2023-09-19 01:50:00" "2023-09-19 01:40:00"
28200 10.59864 10.67311 10.52095 "2023-09-19 01:50:00" "2023-09-19 01:50:00"
28800 10.45172 10.44135 10.65313 "2023-09-19 02:00:00" "2023-09-19 01:10:00"
28800 10.45172 10.44135 9.96862 "2023-09-19 02:00:00" "2023-09-19 01:20:00"
28800 10.45172 10.44135 10.24645 "2023-09-19 02:00:00" "2023-09-19 01:30:00"
28800 10.45172 10.44135 10.35272 "2023-09-19 02:00:00" "2023-09-19 01:40:00"
28800 10.45172 10.44135 10.15734 "2023-09-19 02:00:00" "2023-09-19 01:50:00"
28800 10.45172 10.44135 10.42709 "2023-09-19 02:00:00" "2023-09-19 02:00:00"
29400 10.27664 10.41789 9.70658 "2023-09-19 02:10:00" "2023-09-19 01:20:00"
