20230909
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
18000 11.47513 10.21776 13.17100 "2023-09-09 23:00:00" "2023-09-09 23:00:00"
18600 12.04380 10.18199 13.17100 "2023-09-09 23:10:00" "2023-09-09 23:00:00"
18600 12.04380 10.18199 12.77200 "2023-09-09 23:10:00" "2023-09-09 23:10:00"
18600 12.04380 10.18199 13.17100 "2023-09-09 23:10:00" "2023-09-09 23:00:00"
18600 12.04380 10.18199 12.77200 "2023-09-09 23:10:00" "2023-09-09 23:10:00"
19200 12.44370 10.40753 13.17100 "2023-09-09 23:20:00" "2023-09-09 23:00:00"
19200 12.44370 10.40753 12.77200 "2023-09-09 23:20:00" "2023-09-09 23:10:00"
19200 12.44370 10.40753 12.81600 "2023-09-09 23:20:00" "2023-09-09 23:20:00"
19200 12.44370 10.40753 13.17100 "2023-09-09 23:20:00" "2023-09-09 23:00:00"
19200 12.44370 10.40753 12.77200 "2023-09-09 23:20:00" "2023-09-09 23:10:00"
19200 12.44370 10.40753 12.81600 "2023-09-09 23:20:00" "2023-09-09 23:20:00"
19200 12.44370 10.40753 13.17100 "2023-09-09 23:20:00" "2023-09-09 23:00:00"
19200 12.44370 10.40753 12.77200 "2023-09-09 23:20:00" "2023-09-09 23:10:00"
19200 12.44370 10.40753 12.81600 "2023-09-09 23:20:00" "2023-09-09 23:20:00"
19800 12.71764 10.36085 13.17100 "2023-09-09 23:30:00" "2023-09-09 23:00:00"
19800 12.71764 10.36085 12.77200 "2023-09-09 23:30:00" "2023-09-09 23:10:00"
19800 12.71764 10.36085 12.81600 "2023-09-09 23:30:00" "2023-09-09 23:20:00"
19800 12.71764 10.36085 12.60100 "2023-09-09 23:30:00" "2023-09-09 23:30:00"
19800 12.71764 10.36085 13.17100 "2023-09-09 23:30:00" "2023-09-09 23:00:00"
19800 12.71764 10.36085 12.77200 "2023-09-09 23:30:00" "2023-09-09 23:10:00"
19800 12.71764 10.36085 12.81600 "2023-09-09 23:30:00" "2023-09-09 23:20:00"
19800 12.71764 10.36085 12.60100 "2023-09-09 23:30:00" "2023-09-09 23:30:00"
19800 12.71764 10.36085 13.17100 "2023-09-09 23:30:00" "2023-09-09 23:00:00"
19800 12.71764 10.36085 12.77200 "2023-09-09 23:30:00" "2023-09-09 23:10:00"
19800 12.71764 10.36085 12.81600 "2023-09-09 23:30:00" "2023-09-09 23:20:00"
19800 12.71764 10.36085 12.60100 "2023-09-09 23:30:00" "2023-09-09 23:30:00"
19800 12.71764 10.36085 13.17100 "2023-09-09 23:30:00" "2023-09-09 23:00:00"
19800 12.71764 10.36085 12.77200 "2023-09-09 23:30:00" "2023-09-09 23:10:00"
19800 12.71764 10.36085 12.81600 "2023-09-09 23:30:00" "2023-09-09 23:20:00"
19800 12.71764 10.36085 12.60100 "2023-09-09 23:30:00" "2023-09-09 23:30:00"
20400 12.78834 10.18714 13.17100 "2023-09-09 23:40:00" "2023-09-09 23:00:00"
20400 12.78834 10.18714 12.77200 "2023-09-09 23:40:00" "2023-09-09 23:10:00"
20400 12.78834 10.18714 12.81600 "2023-09-09 23:40:00" "2023-09-09 23:20:00"
20400 12.78834 10.18714 12.60100 "2023-09-09 23:40:00" "2023-09-09 23:30:00"
20400 12.78834 10.18714 12.41500 "2023-09-09 23:40:00" "2023-09-09 23:40:00"
20400 12.78834 10.18714 13.17100 "2023-09-09 23:40:00" "2023-09-09 23:00:00"
20400 12.78834 10.18714 12.77200 "2023-09-09 23:40:00" "2023-09-09 23:10:00"
20400 12.78834 10.18714 12.81600 "2023-09-09 23:40:00" "2023-09-09 23:20:00"
20400 12.78834 10.18714 12.60100 "2023-09-09 23:40:00" "2023-09-09 23:30:00"
20400 12.78834 10.18714 12.41500 "2023-09-09 23:40:00" "2023-09-09 23:40:00"
20400 12.78834 10.18714 13.17100 "2023-09-09 23:40:00" "2023-09-09 23:00:00"
20400 12.78834 10.18714 12.77200 "2023-09-09 23:40:00" "2023-09-09 23:10:00"
20400 12.78834 10.18714 12.81600 "2023-09-09 23:40:00" "2023-09-09 23:20:00"
20400 12.78834 10.18714 12.60100 "2023-09-09 23:40:00" "2023-09-09 23:30:00"
20400 12.78834 10.18714 12.41500 "2023-09-09 23:40:00" "2023-09-09 23:40:00"
20400 12.78834 10.18714 13.17100 "2023-09-09 23:40:00" "2023-09-09 23:00:00"
20400 12.78834 10.18714 12.77200 "2023-09-09 23:40:00" "2023-09-09 23:10:00"
20400 12.78834 10.18714 12.81600 "2023-09-09 23:40:00" "2023-09-09 23:20:00"
20400 12.78834 10.18714 12.60100 "2023-09-09 23:40:00" "2023-09-09 23:30:00"
20400 12.78834 10.18714 12.41500 "2023-09-09 23:40:00" "2023-09-09 23:40:00"
20400 12.78834 10.18714 13.17100 "2023-09-09 23:40:00" "2023-09-09 23:00:00"
20400 12.78834 10.18714 12.77200 "2023-09-09 23:40:00" "2023-09-09 23:10:00"
20400 12.78834 10.18714 12.81600 "2023-09-09 23:40:00" "2023-09-09 23:20:00"
20400 12.78834 10.18714 12.60100 "2023-09-09 23:40:00" "2023-09-09 23:30:00"
20400 12.78834 10.18714 12.41500 "2023-09-09 23:40:00" "2023-09-09 23:40:00"
21000 12.87697 10.34185 13.17100 "2023-09-09 23:50:00" "2023-09-09 23:00:00"
21000 12.87697 10.34185 12.77200 "2023-09-09 23:50:00" "2023-09-09 23:10:00"
21000 12.87697 10.34185 12.81600 "2023-09-09 23:50:00" "2023-09-09 23:20:00"
21000 12.87697 10.34185 12.60100 "2023-09-09 23:50:00" "2023-09-09 23:30:00"
21000 12.87697 10.34185 12.41500 "2023-09-09 23:50:00" "2023-09-09 23:40:00"
21000 12.87697 10.34185 13.29900 "2023-09-09 23:50:00" "2023-09-09 23:50:00"
21000 12.87697 10.34185 13.17100 "2023-09-09 23:50:00" "2023-09-09 23:00:00"
21000 12.87697 10.34185 12.77200 "2023-09-09 23:50:00" "2023-09-09 23:10:00"
