20230917
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
21000 10.33821 9.19910 9.42800 "2023-09-17 23:50:00" "2023-09-17 23:50:00"
21000 10.33821 9.19910 10.47700 "2023-09-17 23:50:00" "2023-09-17 23:00:00"
21000 10.33821 9.19910 11.01000 "2023-09-17 23:50:00" "2023-09-17 23:10:00"
21000 10.33821 9.19910 10.80700 "2023-09-17 23:50:00" "2023-09-17 23:20:00"
21000 10.33821 9.19910 10.61800 "2023-09-17 23:50:00" "2023-09-17 23:30:00"
21000 10.33821 9.19910 10.40143 "2023-09-17 23:50:00" "2023-09-17 23:40:00"
21000 10.33821 9.19910 9.42800 "2023-09-17 23:50:00" "2023-09-17 23:50:00"
21000 10.33821 9.19910 10.47700 "2023-09-17 23:50:00" "2023-09-17 23:00:00"
21000 10.33821 9.19910 11.01000 "2023-09-17 23:50:00" "2023-09-17 23:10:00"
21000 10.33821 9.19910 10.80700 "2023-09-17 23:50:00" "2023-09-17 23:20:00"
21000 10.33821 9.19910 10.61800 "2023-09-17 23:50:00" "2023-09-17 23:30:00"
21000 10.33821 9.19910 10.40143 "2023-09-17 23:50:00" "2023-09-17 23:40:00"
21000 10.33821 9.19910 9.42800 "2023-09-17 23:50:00" "2023-09-17 23:50:00"
21000 10.33821 9.19910 10.47700 "2023-09-17 23:50:00" "2023-09-17 23:00:00"
21000 10.33821 9.19910 11.01000 "2023-09-17 23:50:00" "2023-09-17 23:10:00"
21000 10.33821 9.19910 10.80700 "2023-09-17 23:50:00" "2023-09-17 23:20:00"
21000 10.33821 9.19910 10.61800 "2023-09-17 23:50:00" "2023-09-17 23:30:00"
21000 10.33821 9.19910 10.40143 "2023-09-17 23:50:00" "2023-09-17 23:40:00"
21000 10.33821 9.19910 9.42800 "2023-09-17 23:50:00" "2023-09-17 23:50:00"
21000 10.33821 9.19910 10.47700 "2023-09-17 23:50:00" "2023-09-17 23:00:00"
21000 10.33821 9.19910 11.01000 "2023-09-17 23:50:00" "2023-09-17 23:10:00"
21000 10.33821 9.19910 10.80700 "2023-09-17 23:50:00" "2023-09-17 23:20:00"
21000 10.33821 9.19910 10.61800 "2023-09-17 23:50:00" "2023-09-17 23:30:00"
21000 10.33821 9.19910 10.40143 "2023-09-17 23:50:00" "2023-09-17 23:40:00"
21000 10.33821 9.19910 9.42800 "2023-09-17 23:50:00" "2023-09-17 23:50:00"
21600 10.02481 9.32023 11.01000 "2023-09-18 00:00:00" "2023-09-17 23:10:00"
21600 10.02481 9.32023 10.80700 "2023-09-18 00:00:00" "2023-09-17 23:20:00"
21600 10.02481 9.32023 10.61800 "2023-09-18 00:00:00" "2023-09-17 23:30:00"
21600 10.02481 9.32023 10.40143 "2023-09-18 00:00:00" "2023-09-17 23:40:00"
21600 10.02481 9.32023 9.42800 "2023-09-18 00:00:00" "2023-09-17 23:50:00"
21600 10.02481 9.32023 8.80200 "2023-09-18 00:00:00" "2023-09-18 00:00:00"
21600 10.02481 9.32023 11.01000 "2023-09-18 00:00:00" "2023-09-17 23:10:00"
21600 10.02481 9.32023 10.80700 "2023-09-18 00:00:00" "2023-09-17 23:20:00"
21600 10.02481 9.32023 10.61800 "2023-09-18 00:00:00" "2023-09-17 23:30:00"
21600 10.02481 9.32023 10.40143 "2023-09-18 00:00:00" "2023-09-17 23:40:00"
21600 10.02481 9.32023 9.42800 "2023-09-18 00:00:00" "2023-09-17 23:50:00"
21600 10.02481 9.32023 8.80200 "2023-09-18 00:00:00" "2023-09-18 00:00:00"
21600 10.02481 9.32023 11.01000 "2023-09-18 00:00:00" "2023-09-17 23:10:00"
21600 10.02481 9.32023 10.80700 "2023-09-18 00:00:00" "2023-09-17 23:20:00"
21600 10.02481 9.32023 10.61800 "2023-09-18 00:00:00" "2023-09-17 23:30:00"
21600 10.02481 9.32023 10.40143 "2023-09-18 00:00:00" "2023-09-17 23:40:00"
21600 10.02481 9.32023 9.42800 "2023-09-18 00:00:00" "2023-09-17 23:50:00"
21600 10.02481 9.32023 8.80200 "2023-09-18 00:00:00" "2023-09-18 00:00:00"
21600 10.02481 9.32023 11.01000 "2023-09-18 00:00:00" "2023-09-17 23:10:00"
21600 10.02481 9.32023 10.80700 "2023-09-18 00:00:00" "2023-09-17 23:20:00"
21600 10.02481 9.32023 10.61800 "2023-09-18 00:00:00" "2023-09-17 23:30:00"
21600 10.02481 9.32023 10.40143 "2023-09-18 00:00:00" "2023-09-17 23:40:00"
21600 10.02481 9.32023 9.42800 "2023-09-18 00:00:00" "2023-09-17 23:50:00"
21600 10.02481 9.32023 8.80200 "2023-09-18 00:00:00" "2023-09-18 00:00:00"
21600 10.02481 9.32023 11.01000 "2023-09-18 00:00:00" "2023-09-17 23:10:00"
21600 10.02481 9.32023 10.80700 "2023-09-18 00:00:00" "2023-09-17 23:20:00"
21600 10.02481 9.32023 10.61800 "2023-09-18 00:00:00" "2023-09-17 23:30:00"
21600 10.02481 9.32023 10.40143 "2023-09-18 00:00:00" "2023-09-17 23:40:00"
21600 10.02481 9.32023 9.42800 "2023-09-18 00:00:00" "2023-09-17 23:50:00"
21600 10.02481 9.32023 8.80200 "2023-09-18 00:00:00" "2023-09-18 00:00:00"
21600 10.02481 9.32023 11.01000 "2023-09-18 00:00:00" "2023-09-17 23:10:00"
21600 10.02481 9.32023 10.80700 "2023-09-18 00:00:00" "2023-09-17 23:20:00"
21600 10.02481 9.32023 10.61800 "2023-09-18 00:00:00" "2023-09-17 23:30:00"
21600 10.02481 9.32023 10.40143 "2023-09-18 00:00:00" "2023-09-17 23:40:00"
21600 10.02481 9.32023 9.42800 "2023-09-18 00:00:00" "2023-09-17 23:50:00"
21600 10.02481 9.32023 8.80200 "2023-09-18 00:00:00" "2023-09-18 00:00:00"
22200 9.68667 9.55775 10.80700 "2023-09-18 00:10:00" "2023-09-17 23:20:00"
22200 9.68667 9.55775 10.61800 "2023-09-18 00:10:00" "2023-09-17 23:30:00"
