20230917
Seconds MEASURES_rh(%) MNH_RH_30m(%) "AR_RH (%)" Date_of_forecast Date_of_computing
18000 13.59508 19.18926 14.08262 "2023-09-17 11:00:00" "2023-09-17 11:00:00"
18600 13.87213 19.80179 13.85950 "2023-09-17 11:10:00" "2023-09-17 11:00:00"
18600 13.87213 19.80179 13.85550 "2023-09-17 11:10:00" "2023-09-17 11:10:00"
19200 14.06557 20.19912 13.72624 "2023-09-17 11:20:00" "2023-09-17 11:00:00"
19200 14.06557 20.19912 13.67797 "2023-09-17 11:20:00" "2023-09-17 11:10:00"
19200 14.06557 20.19912 13.95657 "2023-09-17 11:20:00" "2023-09-17 11:20:00"
19800 14.23279 20.07206 13.60431 "2023-09-17 11:30:00" "2023-09-17 11:00:00"
19800 14.23279 20.07206 13.49961 "2023-09-17 11:30:00" "2023-09-17 11:10:00"
19800 14.23279 20.07206 13.99931 "2023-09-17 11:30:00" "2023-09-17 11:20:00"
19800 14.23279 20.07206 14.08873 "2023-09-17 11:30:00" "2023-09-17 11:30:00"
20400 14.40328 19.53553 13.49599 "2023-09-17 11:40:00" "2023-09-17 11:00:00"
20400 14.40328 19.53553 13.35851 "2023-09-17 11:40:00" "2023-09-17 11:10:00"
20400 14.40328 19.53553 14.03024 "2023-09-17 11:40:00" "2023-09-17 11:20:00"
20400 14.40328 19.53553 14.23696 "2023-09-17 11:40:00" "2023-09-17 11:30:00"
20400 14.40328 19.53553 14.01830 "2023-09-17 11:40:00" "2023-09-17 11:40:00"
21000 14.51639 18.95910 13.38809 "2023-09-17 11:50:00" "2023-09-17 11:00:00"
21000 14.51639 18.95910 13.22307 "2023-09-17 11:50:00" "2023-09-17 11:10:00"
21000 14.51639 18.95910 14.02434 "2023-09-17 11:50:00" "2023-09-17 11:20:00"
21000 14.51639 18.95910 14.33911 "2023-09-17 11:50:00" "2023-09-17 11:30:00"
21000 14.51639 18.95910 14.01061 "2023-09-17 11:50:00" "2023-09-17 11:40:00"
21000 14.51639 18.95910 14.00692 "2023-09-17 11:50:00" "2023-09-17 11:50:00"
21600 14.43279 18.35453 12.96683 "2023-09-17 12:00:00" "2023-09-17 11:10:00"
21600 14.43279 18.35453 13.91642 "2023-09-17 12:00:00" "2023-09-17 11:20:00"
21600 14.43279 18.35453 14.30456 "2023-09-17 12:00:00" "2023-09-17 11:30:00"
21600 14.43279 18.35453 13.91052 "2023-09-17 12:00:00" "2023-09-17 11:40:00"
21600 14.43279 18.35453 13.88867 "2023-09-17 12:00:00" "2023-09-17 11:50:00"
21600 14.43279 18.35453 14.08760 "2023-09-17 12:00:00" "2023-09-17 12:00:00"
22200 14.17377 17.90377 13.65256 "2023-09-17 12:10:00" "2023-09-17 11:20:00"
22200 14.17377 17.90377 14.11408 "2023-09-17 12:10:00" "2023-09-17 11:30:00"
22200 14.17377 17.90377 13.65263 "2023-09-17 12:10:00" "2023-09-17 11:40:00"
22200 14.17377 17.90377 13.61304 "2023-09-17 12:10:00" "2023-09-17 11:50:00"
22200 14.17377 17.90377 13.99594 "2023-09-17 12:10:00" "2023-09-17 12:00:00"
22200 14.17377 17.90377 14.01697 "2023-09-17 12:10:00" "2023-09-17 12:10:00"
22800 14.00984 17.43822 13.85742 "2023-09-17 12:20:00" "2023-09-17 11:30:00"
22800 14.00984 17.43822 13.31617 "2023-09-17 12:20:00" "2023-09-17 11:40:00"
22800 14.00984 17.43822 13.26132 "2023-09-17 12:20:00" "2023-09-17 11:50:00"
22800 14.00984 17.43822 13.79053 "2023-09-17 12:20:00" "2023-09-17 12:00:00"
22800 14.00984 17.43822 13.89303 "2023-09-17 12:20:00" "2023-09-17 12:10:00"
22800 14.00984 17.43822 14.03332 "2023-09-17 12:20:00" "2023-09-17 12:20:00"
23400 13.93115 17.03264 13.04273 "2023-09-17 12:30:00" "2023-09-17 11:40:00"
23400 13.93115 17.03264 12.97822 "2023-09-17 12:30:00" "2023-09-17 11:50:00"
23400 13.93115 17.03264 13.61160 "2023-09-17 12:30:00" "2023-09-17 12:00:00"
23400 13.93115 17.03264 13.78545 "2023-09-17 12:30:00" "2023-09-17 12:10:00"
23400 13.93115 17.03264 14.04624 "2023-09-17 12:30:00" "2023-09-17 12:20:00"
23400 13.93115 17.03264 13.96059 "2023-09-17 12:30:00" "2023-09-17 12:30:00"
24000 13.70328 16.65159 12.87488 "2023-09-17 12:40:00" "2023-09-17 11:50:00"
24000 13.70328 16.65159 13.62661 "2023-09-17 12:40:00" "2023-09-17 12:00:00"
24000 13.70328 16.65159 13.84733 "2023-09-17 12:40:00" "2023-09-17 12:10:00"
24000 13.70328 16.65159 14.19982 "2023-09-17 12:40:00" "2023-09-17 12:20:00"
24000 13.70328 16.65159 14.03518 "2023-09-17 12:40:00" "2023-09-17 12:30:00"
24000 13.70328 16.65159 13.69820 "2023-09-17 12:40:00" "2023-09-17 12:40:00"
24600 13.50328 16.14078 13.65395 "2023-09-17 12:50:00" "2023-09-17 12:00:00"
24600 13.50328 16.14078 13.91647 "2023-09-17 12:50:00" "2023-09-17 12:10:00"
24600 13.50328 16.14078 14.34002 "2023-09-17 12:50:00" "2023-09-17 12:20:00"
24600 13.50328 16.14078 14.11218 "2023-09-17 12:50:00" "2023-09-17 12:30:00"
24600 13.50328 16.14078 13.50167 "2023-09-17 12:50:00" "2023-09-17 12:40:00"
24600 13.50328 16.14078 13.47881 "2023-09-17 12:50:00" "2023-09-17 12:50:00"
25200 13.33115 15.75683 13.92176 "2023-09-17 13:00:00" "2023-09-17 12:10:00"
25200 13.33115 15.75683 14.42267 "2023-09-17 13:00:00" "2023-09-17 12:20:00"
