20230910
Seconds MEASURES_rh(%) MNH_RH_30m(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
18000 10.45082 8.35474 10.60000 "2023-09-10 11:00:00" "2023-09-10 11:00:00"
18600 10.28689 8.38333 10.60000 "2023-09-10 11:10:00" "2023-09-10 11:00:00"
18600 10.28689 8.38333 10.50000 "2023-09-10 11:10:00" "2023-09-10 11:10:00"
19200 10.13934 8.38307 10.60000 "2023-09-10 11:20:00" "2023-09-10 11:00:00"
19200 10.13934 8.38307 10.50000 "2023-09-10 11:20:00" "2023-09-10 11:10:00"
19200 10.13934 8.38307 10.00000 "2023-09-10 11:20:00" "2023-09-10 11:20:00"
19800 10.03770 8.38528 10.60000 "2023-09-10 11:30:00" "2023-09-10 11:00:00"
19800 10.03770 8.38528 10.50000 "2023-09-10 11:30:00" "2023-09-10 11:10:00"
19800 10.03770 8.38528 10.00000 "2023-09-10 11:30:00" "2023-09-10 11:20:00"
19800 10.03770 8.38528 10.00000 "2023-09-10 11:30:00" "2023-09-10 11:30:00"
20400 10.00000 8.43142 10.60000 "2023-09-10 11:40:00" "2023-09-10 11:00:00"
20400 10.00000 8.43142 10.50000 "2023-09-10 11:40:00" "2023-09-10 11:10:00"
20400 10.00000 8.43142 10.00000 "2023-09-10 11:40:00" "2023-09-10 11:20:00"
20400 10.00000 8.43142 10.00000 "2023-09-10 11:40:00" "2023-09-10 11:30:00"
20400 10.00000 8.43142 10.00000 "2023-09-10 11:40:00" "2023-09-10 11:40:00"
21000 10.00000 8.46156 10.60000 "2023-09-10 11:50:00" "2023-09-10 11:00:00"
21000 10.00000 8.46156 10.50000 "2023-09-10 11:50:00" "2023-09-10 11:10:00"
21000 10.00000 8.46156 10.00000 "2023-09-10 11:50:00" "2023-09-10 11:20:00"
21000 10.00000 8.46156 10.00000 "2023-09-10 11:50:00" "2023-09-10 11:30:00"
21000 10.00000 8.46156 10.00000 "2023-09-10 11:50:00" "2023-09-10 11:40:00"
21000 10.00000 8.46156 10.00000 "2023-09-10 11:50:00" "2023-09-10 11:50:00"
21600 10.00000 8.44509 10.50000 "2023-09-10 12:00:00" "2023-09-10 11:10:00"
21600 10.00000 8.44509 10.00000 "2023-09-10 12:00:00" "2023-09-10 11:20:00"
21600 10.00000 8.44509 10.00000 "2023-09-10 12:00:00" "2023-09-10 11:30:00"
21600 10.00000 8.44509 10.00000 "2023-09-10 12:00:00" "2023-09-10 11:40:00"
21600 10.00000 8.44509 10.00000 "2023-09-10 12:00:00" "2023-09-10 11:50:00"
21600 10.00000 8.44509 10.00000 "2023-09-10 12:00:00" "2023-09-10 12:00:00"
22200 9.99344 8.42974 10.00000 "2023-09-10 12:10:00" "2023-09-10 11:20:00"
