20230902
Seconds MEASURES_rh(%) MNH_RH_30m(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
25200 4.04262 10.75924 3.90000 "2023-09-02 13:00:00" "2023-09-02 12:20:00"
25200 4.04262 10.75924 4.00000 "2023-09-02 13:00:00" "2023-09-02 12:30:00"
25200 4.04262 10.75924 4.30000 "2023-09-02 13:00:00" "2023-09-02 12:40:00"
25200 4.04262 10.75924 4.10000 "2023-09-02 13:00:00" "2023-09-02 12:50:00"
25200 4.04262 10.75924 4.00000 "2023-09-02 13:00:00" "2023-09-02 13:00:00"
25800 4.00000 10.71327 3.90000 "2023-09-02 13:10:00" "2023-09-02 12:20:00"
25800 4.00000 10.71327 4.00000 "2023-09-02 13:10:00" "2023-09-02 12:30:00"
25800 4.00000 10.71327 4.30000 "2023-09-02 13:10:00" "2023-09-02 12:40:00"
25800 4.00000 10.71327 4.10000 "2023-09-02 13:10:00" "2023-09-02 12:50:00"
25800 4.00000 10.71327 4.00000 "2023-09-02 13:10:00" "2023-09-02 13:00:00"
25800 4.00000 10.71327 4.00000 "2023-09-02 13:10:00" "2023-09-02 13:10:00"
26400 3.98361 10.63642 4.00000 "2023-09-02 13:20:00" "2023-09-02 12:30:00"
26400 3.98361 10.63642 4.30000 "2023-09-02 13:20:00" "2023-09-02 12:40:00"
26400 3.98361 10.63642 4.10000 "2023-09-02 13:20:00" "2023-09-02 12:50:00"
26400 3.98361 10.63642 4.00000 "2023-09-02 13:20:00" "2023-09-02 13:00:00"
26400 3.98361 10.63642 4.00000 "2023-09-02 13:20:00" "2023-09-02 13:10:00"
26400 3.98361 10.63642 4.00000 "2023-09-02 13:20:00" "2023-09-02 13:20:00"
27000 3.98361 10.56561 4.30000 "2023-09-02 13:30:00" "2023-09-02 12:40:00"
27000 3.98361 10.56561 4.10000 "2023-09-02 13:30:00" "2023-09-02 12:50:00"
27000 3.98361 10.56561 4.00000 "2023-09-02 13:30:00" "2023-09-02 13:00:00"
27000 3.98361 10.56561 4.00000 "2023-09-02 13:30:00" "2023-09-02 13:10:00"
27000 3.98361 10.56561 4.00000 "2023-09-02 13:30:00" "2023-09-02 13:20:00"
27000 3.98361 10.56561 4.00000 "2023-09-02 13:30:00" "2023-09-02 13:30:00"
27600 3.98361 10.34491 4.10000 "2023-09-02 13:40:00" "2023-09-02 12:50:00"
27600 3.98361 10.34491 4.00000 "2023-09-02 13:40:00" "2023-09-02 13:00:00"
27600 3.98361 10.34491 4.00000 "2023-09-02 13:40:00" "2023-09-02 13:10:00"
27600 3.98361 10.34491 4.00000 "2023-09-02 13:40:00" "2023-09-02 13:20:00"
27600 3.98361 10.34491 4.00000 "2023-09-02 13:40:00" "2023-09-02 13:30:00"
27600 3.98361 10.34491 3.90000 "2023-09-02 13:40:00" "2023-09-02 13:40:00"
28200 4.00000 9.97789 4.00000 "2023-09-02 13:50:00" "2023-09-02 13:00:00"
28200 4.00000 9.97789 4.00000 "2023-09-02 13:50:00" "2023-09-02 13:10:00"
28200 4.00000 9.97789 4.00000 "2023-09-02 13:50:00" "2023-09-02 13:20:00"
28200 4.00000 9.97789 4.00000 "2023-09-02 13:50:00" "2023-09-02 13:30:00"
28200 4.00000 9.97789 3.90000 "2023-09-02 13:50:00" "2023-09-02 13:40:00"
28200 4.00000 9.97789 4.00000 "2023-09-02 13:50:00" "2023-09-02 13:50:00"
28800 4.14590 9.58110 4.00000 "2023-09-02 14:00:00" "2023-09-02 13:10:00"
28800 4.14590 9.58110 4.00000 "2023-09-02 14:00:00" "2023-09-02 13:20:00"
28800 4.14590 9.58110 4.00000 "2023-09-02 14:00:00" "2023-09-02 13:30:00"
28800 4.14590 9.58110 3.90000 "2023-09-02 14:00:00" "2023-09-02 13:40:00"
28800 4.14590 9.58110 4.00000 "2023-09-02 14:00:00" "2023-09-02 13:50:00"
